DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Children's Services Directorate,02/05/2023," 2,682.07 ",REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,02/05/2023, 650.91 ,Prepaid Financial Services (E-,Invoice,Special Guardianship
Adult Social Services Directorate,02/05/2023," 20,000.00 ",Edwards Duthie Shamash Solicit,Invoice,Legal & Court Fees 
Chief Executives Directorate,02/05/2023," 7,000.00 ",Weave Stories CIC,Invoice,Wandsworth Grant Fund Was Bsf
Housing & Regeneration Directorate,02/05/2023," 7,045.74 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Environment & Community Services Directorate,02/05/2023," 1,039.27 ",Rexel (UK) LTD,Invoice,Materials
Resources Directorate,02/05/2023," 6,739.38 ",Royal Mail Group Ltd,Invoice,Postage
Chief Executives Directorate,02/05/2023," 2,565.00 ",Aston Colour Press Ltd.,Invoice,Printing 
Chief Executives Directorate,02/05/2023," 6,180.00 ",Westco Trading Ltd,Invoice,Consultants Fees
Resources Directorate,02/05/2023," 6,248.45 ",Newsquest Media Group Ltd,Invoice,Miscellaneous Expenses
Capital Expenditure,02/05/2023," 49,688.73 ",F M Conway Limited,Invoice,CAPEXP Construction Work
Environment & Community Services Directorate,02/05/2023," 359,564.54 ",Continental Landscapes Ltd,Invoice,General Contract Work
Chief Executives Directorate,02/05/2023," 418,849.05 ",London Borough Of Merton,Invoice,Legal Fees SLLP
Capital Expenditure,02/05/2023," 440,932.16 ",HILTON ABBEY LTD,Invoice,CAPEXP Construction Work
Environment & Community Services Directorate,02/05/2023," 2,815.17 ",PARMENTER BUILDERS LTD (P M PA,Invoice,Payments To Sub-Contractors
Environment & Community Services Directorate,02/05/2023, 600.00 ,AIR SURVEYS LTD,Invoice,Payments To Sub-Contractors
Adult Social Services Directorate,02/05/2023," 1,947.68 ",HESTIA HOUSING & SUPPORT,Invoice,Grants to Voluntary Orgs
Children's Services Directorate,02/05/2023, 934.61 ,JT ENTERPRISES,Invoice,Property Maintenance 
Children's Services Directorate,02/05/2023," 5,300.00 ",Careoline Carers Services Ltd,Invoice,Preventing Accom
Adult Social Services Directorate,02/05/2023," 1,595.20 ",KAIROS COMMUNITY TRUST,Invoice,Supporting People Contracts
Chief Executives Directorate,02/05/2023," 3,660.28 ",Beta Distribution (South) Ltd,Invoice,Printing 
Children's Services Directorate,02/05/2023," 1,800.00 ",THE NATIONAL FOSTERING AGENCY,Invoice,APC - External Fostering
Capital Expenditure,02/05/2023," 1,336.80 ",F G KEEN LTD,Invoice,CAPEXP Housing Grants Analysis
Resources Directorate,02/05/2023," 4,800.00 ",ARGOS BUSINESS SOLUTIONS,Invoice,Social Fund Payments
Environment & Community Services Directorate,02/05/2023," 40,128.10 ",RBC SCAFFOLDING LTD,Invoice,Materials
Housing & Regeneration Directorate,02/05/2023," 62,873.74 ",MITIE PROPERTY SERVICES UK LTD,Invoice,External Decs
Children's Services Directorate,02/05/2023," 9,098.00 ",KINGSWOOD HOUSE SCHOOL TRUST L,Invoice,Independent Fees
Capital Expenditure,02/05/2023," 4,976.00 ",Closomat Ltd,Invoice,CAPEXP Housing Grants Analysis
Chief Executives Directorate,02/05/2023," 11,627.10 ",ASHFORDS,Invoice,Contract 4- Litigation
Environment & Community Services Directorate,02/05/2023, 604.06 ,CROWN PAINTS LIMITED,Invoice,Materials
Adult Social Services Directorate,02/05/2023," 17,544.00 ",EVERSHED BROS LTD,Invoice,APC - Funerals
Chief Executives Directorate,02/05/2023," 8,706.61 ",KALL KWIK,Invoice,Printing 
Environment & Community Services Directorate,02/05/2023," 367,234.78 ",NSL LIMITED,Invoice,Enforcement  Contractor
Environment & Community Services Directorate,02/05/2023," 4,407.95 ",STONECROFT BUILDING SERVICES L,Invoice,Payments To Sub-Contractors
Children's Services Directorate,02/05/2023," 1,696.00 ",BINDMANS LLP,Invoice,APC - Other Cla Services
Adult Social Services Directorate,02/05/2023," 34,108.06 ",VIBRANCE,Invoice,Workstep
Environment & Community Services Directorate,02/05/2023," 1,057.45 ",D W Windsor Lighting Ltd,Invoice,Materials
Children's Services Directorate,02/05/2023," 4,275.00 ",THE DEVAS CLUB,Invoice,Grants to Voluntary Orgs
Children's Services Directorate,02/05/2023," 17,820.00 ",TES GLOBAL LTD,Invoice,Recruitment Costs
Children's Services Directorate,02/05/2023, 801.60 ,GLOBALSIGN,Invoice,Software Maintenance
Housing & Regeneration Directorate,02/05/2023," 1,242.00 ",TOP REMOVALS,Invoice,General Repairs Non S/C
Environment & Community Services Directorate,02/05/2023," 1,486.08 ",D POWELL SURVEYING LTD,Invoice,Materials
Environment & Community Services Directorate,02/05/2023," 14,072.81 ",KC SERVICES GROUP LTD,Invoice,Payments To Sub-Contractors
Housing & Regeneration Directorate,02/05/2023, 937.15 ,Underley Furnishing Limited,Invoice,Furniture
Children's Services Directorate,02/05/2023, 978.00 ,HIGHFIELD INTERNATIONAL,Invoice,Project Work
Environment & Community Services Directorate,02/05/2023," 21,810.00 ",PW ELECTRICAL SERVICES LTD,Invoice,Payments To Sub-Contractors
Chief Executives Directorate,02/05/2023," 2,379.60 ",Newman Thomson Ltd,Invoice,Printing 
Environment & Community Services Directorate,02/05/2023," 42,353.97 ",KPS Contractors Ltd,Invoice,Arboricultural Contract
Environment & Community Services Directorate,02/05/2023," 1,218.00 ",NATIONCARE WINDOWS LTD,Invoice,Materials
Capital Expenditure,02/05/2023," 27,748.98 ",S.T. Construction (London) Ltd,Invoice,CAPEXP Construction Work
Adult Social Services Directorate,02/05/2023," 1,195.20 ",Mulberry House Limited,Invoice,Conference Expenses
Capital Expenditure,02/05/2023," 131,941.32 ",PREMIER ROOFING AND CONSTRUCTI,Invoice,CAPEXP Construction Work
Adult Social Services Directorate,02/05/2023," 1,584.41 ",NonStop Consulting Ltd,Invoice,Agency Staff
Capital Expenditure,02/05/2023," 2,400.00 ",Barton Willmore LLP,Invoice,CAPEXP Professional Fees
Children's Services Directorate,02/05/2023," 1,200.00 ",Bounce Theatre,Invoice,Grants to Voluntary Orgs
Children's Services Directorate,02/05/2023," 7,380.00 ",Academia Ltd,Invoice,Equipment
Capital Expenditure,02/05/2023," 1,164.00 ",GREENGAGE ENVIRONMENTAL LTD,Invoice,CAPEXP Surveys and Comms Costs
Chief Executives Directorate,02/05/2023, 576.00 ,REDACTED PERSONAL DATA,Invoice,Graphics Income
Children's Services Directorate,02/05/2023," 14,460.07 ",Supreme Linguistic Services Lt,Invoice,Interpreting Services
Housing & Regeneration Directorate,02/05/2023, 750.00 ,Fire Compliance Management Ser,Invoice,Miscellaneous Expenses
Children's Services Directorate,02/05/2023, 692.40 ,Teen Crisis UK t/a Ment4,Invoice,CLA Support
Children's Services Directorate,02/05/2023," 2,660.20 ",FIT 4 KIDZ FC,Invoice,Grants to Voluntary Orgs
Environment & Community Services Directorate,02/05/2023, 764.40 ,T.O.K. Construction Ltd,Invoice,Materials
Chief Executives Directorate,02/05/2023," 5,040.00 ",Starfish Search Limited,Invoice,Recruitment Costs
Resources Directorate,02/05/2023," 1,380.00 ",SPATIALISED LTD,Invoice,Software purchases
Resources Directorate,02/05/2023," 11,520.00 ",Law Morgan Ltd T/as Morgan Law,Invoice,Consultants Fees
Adult Social Services Directorate,02/05/2023," 1,264.90 ",NonStop Consulting Ltd,Invoice,Agency Staff
Housing & Regeneration Directorate,02/05/2023," 3,300.00 ",Marks Consulting Partners Limited,Invoice,Agency Staff
Adult Social Services Directorate,03/05/2023," 25,772.20 ",The Meath,Invoice,External Residential Care
