DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Environment & Community Services Directorate,23/Nov/2023,900.00,SE ENGINEERING LIMITED,Invoice,General Contract Work
Adult Social Services Directorate,29/Nov/2023,"5,760.00",REFIL EATERIE LTD,Invoice,Training
Environment & Community Services Directorate,30/Nov/2023,"1,758.00",ANTHONY COLLINS SOLICITORS LLP,Invoice,Legal & Court Fees 
Adult Social Services Directorate,01/Nov/2023,900.00,3 Spirit Enterprise UK Ltd,Invoice,Other Minor Contract Payments
Resources Directorate,02/Nov/2023,"27,634.20",BT Global Services,Invoice,Hardware purchases
Adult Social Services Directorate,02/Nov/2023,"2,738.02",Reed Specialist Recruitment Ltd,Invoice,Agency Staff
Housing & Regeneration Directorate,02/Nov/2023,530.54,POSTURITE LTD,Invoice,Equipment
Resources Directorate,02/Nov/2023,"3,168.00",Hands On At Work Ltd,Invoice,Consultants Fees
Adult Social Services Directorate,02/Nov/2023,"132,183.66",IMPOWER Consulting Limited,Invoice,Consultants Fees
Resources Directorate,02/Nov/2023,"30,265.93",Employee Pulsecheck Limited,Invoice,Consultants Fees
Adult Social Services Directorate,03/Nov/2023,"1,186.27",Reed Specialist Recruitment Ltd,Invoice,Materials
Environment & Community Services Directorate,03/Nov/2023,"3,446.40",CONTRACT DATA RESEARCH LTD,Invoice,Software Maintenance
Resources Directorate,03/Nov/2023,"8,332.98",EE LTD,Invoice,Mobile Phones
Resources Directorate,03/Nov/2023,"2,635.00",Frontline Training Ltd,Invoice,Consultants Fees
Adult Social Services Directorate,03/Nov/2023,907.20,Globe Locums Ltd,Invoice,Agency Staff
Adult Social Services Directorate,03/Nov/2023,"14,393.00",Flex360 Limited,Invoice,Agency Staff
Resources Directorate,06/Nov/2023,"1,011.11",CFH Docmail Ltd,Invoice,Materials
Adult Social Services Directorate,06/Nov/2023,"1,159.92",Hays Specialist Recruitment Group,Invoice,Agency Staff
Resources Directorate,06/Nov/2023,"4,000.00",Rocket Fuel Wellbeing Ltd,Invoice,Consultants Fees
Adult Social Services Directorate,07/Nov/2023,"3,806.22",Baltimore Consulting Ltd,Invoice,Recruitment Costs
Adult Social Services Directorate,07/Nov/2023,"2,319.84",Hays Specialist Recruitment Group,Invoice,Agency Staff
Resources Directorate,07/Nov/2023,"5,060.23",SOFTCAT LIMITED,Invoice,Consultants Fees
Adult Social Services Directorate,07/Nov/2023,648.00,SMARTSURVEY LTD,Invoice,Training
Adult Social Services Directorate,07/Nov/2023,"9,650.62",Traverse Procurement Ltd,Invoice,Consultants Fees
Housing & Regeneration Directorate,07/Nov/2023,"3,300.00",Marks Consulting Partners Limited,Invoice,Agency Staff
Adult Social Services Directorate,07/Nov/2023,"9,992.50",Info Insight Limited,Invoice,Other PH Contracts
Environment & Community Services Directorate,08/Nov/2023,778.80,PTRC Education & Research Services Ltd,Invoice,Consultants Fees
Resources Directorate,08/Nov/2023,"5,400.00",ACCESS INDEPENDENT,Invoice,Agency Staff
Resources Directorate,08/Nov/2023,"30,707.82",PHOENIX SOFTWARE LTD,Invoice,Software purchases
Resources Directorate,08/Nov/2023,"14,210.38",Upgrade Recruitment Tra Div of,Invoice,Agency Staff
Adult Social Services Directorate,09/Nov/2023,"2,738.02",Reed Specialist Recruitment Ltd,Invoice,Agency Staff
Resources Directorate,09/Nov/2023,"7,821.28",Gamma Business Communications Ltd,Invoice,Telephone Charges
Housing & Regeneration Directorate,09/Nov/2023,558.00,Shelter Trading Ltd,Invoice,Software purchases
Resources Directorate,09/Nov/2023,"5,766.83",PHOENIX SOFTWARE LTD,Invoice,Software purchases
Adult Social Services Directorate,10/Nov/2023,955.61,Reed Specialist Recruitment Ltd,Invoice,Materials
Resources Directorate,10/Nov/2023,"5,251.81",CFH Docmail Ltd,Invoice,Materials
Resources Directorate,10/Nov/2023,782.40,Roehampton Venues,Invoice,Consultants Fees
Resources Directorate,10/Nov/2023,850.00,Specsavers Optical Superstores Ltd.,Invoice,Other Indirect Employee Exp
Adult Social Services Directorate,10/Nov/2023,"5,417.22",LEADERS in Care,Invoice,Recruitment Costs
