DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Resources Directorate,04/07/2023," 4,317.54 ",REDACTED PERSONAL DATA,Invoice,Occupational Health Doctors
Adult Social Services Directorate,05/07/2023," 1,121.59 ",Reed Specialist Recruitment Ltd,Invoice,Materials
Resources Directorate,05/07/2023," 3,300.00 ",Alcumus Info Exchange Limited,Invoice,Software Maintenance
Resources Directorate,05/07/2023," 2,160.00 ",ACCESS INDEPENDENT,Invoice,Agency Staff
Adult Social Services Directorate,05/07/2023," 1,710.00 ",Access UK Ltd,Invoice,Equipment
Adult Social Services Directorate,06/07/2023, 841.20 ,Reed Specialist Recruitment Ltd,Invoice,Materials
Resources Directorate,06/07/2023," 5,174.74 ",XMA LIMITED,Invoice,Hardware purchases
Adult Social Services Directorate,06/07/2023," 30,968.40 ",Flex360 Limited,Invoice,Agency Staff
Adult Social Services Directorate,07/07/2023," 9,134.93 ",Baltimore Consulting Ltd,Invoice,Recruitment Costs
Capital Expenditure,07/07/2023," 2,413.31 ",EUROPEAN ELECTRONIQUE LTD,Invoice,CAPEXP Equipment Purchase
Adult Social Services Directorate,07/07/2023, 650.00 ,Herts Handling Training Limited,Invoice,Conference Expenses
Adult Social Services Directorate,07/07/2023," 32,400.00 ",Peopletoo Ltd,Invoice,Consultants Fees
Adult Social Services Directorate,10/07/2023," 2,729.76 ",Reed Specialist Recruitment Ltd,Invoice,Materials
Adult Social Services Directorate,10/07/2023," 2,593.03 ",NonStop Consulting Ltd,Invoice,Agency Staff
Resources Directorate,11/07/2023," 17,855.64 ",BT Global Services,Invoice,Hardware purchases
Resources Directorate,11/07/2023," 20,097.49 ",SITEIMPROVE LTD,Invoice,Application maintenance
Resources Directorate,11/07/2023," 12,000.00 ",QA LTD,Invoice,Training
Adult Social Services Directorate,11/07/2023," 3,000.00 ",PANORAMIC ASSOCIATES LTD,Invoice,Agency Staff
Resources Directorate,11/07/2023," 3,579.60 ",Tribepad Ltd,Invoice,Application maintenance
Adult Social Services Directorate,11/07/2023," 5,923.94 ",NonStop Consulting Ltd,Invoice,Agency Staff
Adult Social Services Directorate,12/07/2023," 1,187.57 ",Reed Specialist Recruitment Ltd,Invoice,Materials
Adult Social Services Directorate,13/07/2023, 900.00 ,Edge Training and Consultancy Ltd,Invoice,Training
Adult Social Services Directorate,13/07/2023," 2,160.00 ",Westco Trading Ltd,Invoice,Equipment
Adult Social Services Directorate,13/07/2023, 900.00 ,3 Spirit Enterprise UK Ltd,Invoice,Other Minor Contract Payments
Environment & Community Services Directorate,14/07/2023," 7,200.00 ",GATENBYSANDERSON LIMITED,Invoice,Recruitment Costs
Resources Directorate,14/07/2023," 25,732.60 ",Daisy Communications Ltd,Invoice,Telephone Charges
Adult Social Services Directorate,14/07/2023," 1,800.00 ",3 Spirit Enterprise UK Ltd,Invoice,Other Minor Contract Payments
Resources Directorate,14/07/2023," 7,417.76 ",Marsh Ltd,Invoice,Premises Insurance
Environment & Community Services Directorate,14/07/2023," 1,957.20 ",Roar B2B Ltd,Invoice,Subscriptions
Environment & Community Services Directorate,14/07/2023," 3,966.30 ",Starfish Search Limited,Invoice,Agency Staff
Resources Directorate,14/07/2023," 11,700.00 ",Logjec Recruitment,Invoice,Recruitment Costs
