DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Chief Executives Directorate,01-Mar-24,"3,600.00", FCS Software Solutions Ltd,INVOICE,Software purchases
Adult Social Services Directorate,01-Mar-24,"32,493.40",A Step Beyond Limited,INVOICE,Supported Living
Adult Social Services Directorate,01-Mar-24,"3,748.16",Aahana House,INVOICE,Supported Living
Children's Services Directorate,01-Mar-24,"1,191.60",Abacus Mobility Ltd,INVOICE,Transport
Adult Social Services Directorate,01-Mar-24,"42,613.20",ABBEY HOUSE LTD,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,569.98,Absolute Care Services (Richmo,INVOICE,External Homecare
Adult Social Services Directorate,01-Mar-24,"8,114.84",Accomplish Group Contract Mana,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"48,466.84",Achieve Together Limited,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"6,168.00",ACORN VILLAGE LIMITED,INVOICE,External Residential Care
Children's Services Directorate,01-Mar-24,"2,691.87",Active Recruitment SEN,INVOICE,Preventing Accom
Resources Directorate,01-Mar-24,"3,046.84",ADARE SEC LIMITED,INVOICE,Printing 
Adult Social Services Directorate,01-Mar-24,"29,057.03",ADMIRAL HEALTHCARE LTD,INVOICE,External Residential Care
Children's Services Directorate,01-Mar-24,"6,858.79",Affinity Fostering,INVOICE,External Fostering
Adult Social Services Directorate,01-Mar-24,"8,028.12",AGENCY ASSISTANCE,INVOICE,Supported Living
Housing & Regeneration Directorate,01-Mar-24,609.23,AGENTIS WORKWEAR LTD,INVOICE,"Clothing, Uniform & Laundry"
Children's Services Directorate,01-Mar-24,"7,769.50",Agoe Empowerment Network Ltd,INVOICE,Food & Consumables
Adult Social Services Directorate,01-Mar-24,"23,423.96",AIMS CARE PARTNERSHIP,INVOICE,External Residential Care
Capital Expenditure,01-Mar-24,"14,187.78",Airey Miller Limited,INVOICE,CAPEXP Clerk of Works
Adult Social Services Directorate,01-Mar-24,"2,725.12",AKJ Healthcare Ltd,INVOICE,Supported Living
Resources Directorate,01-Mar-24,820.34,ALLIED PUBLICITY SERV (MANCHES,INVOICE,Materials
Adult Social Services Directorate,01-Mar-24,"9,956.00",ALMOND CARE PROVIDERS LTD,INVOICE,Supported Living
Housing & Regeneration Directorate,01-Mar-24,"375,507.58",Amber Construction Services Lt,INVOICE,External Decs
Adult Social Services Directorate,01-Mar-24,"12,296.00",Anavo Care Ltd T/A Surbitonian,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"3,406.40",ANCHOR TRUST - SILK COURT RESI,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,510.63,Areli Care Ltd t/a Caremark (B,INVOICE,External Homecare
Adult Social Services Directorate,01-Mar-24,"2,504.72",ASHTON CARE,INVOICE,External Residential Care
Capital Expenditure,01-Mar-24,"4,680.00",Ashton Fire Limited,INVOICE,CAPEXP Professional Fees
Adult Social Services Directorate,01-Mar-24,"20,562.24",ASHTON LODGE,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"8,779.80",ASSURANCE CARE SERVICES LTD,INVOICE,External Residential Care
Resources Directorate,01-Mar-24,"6,799.10",AVC Wise LTD,INVOICE,Consultants Fees
Adult Social Services Directorate,01-Mar-24,"10,387.22",BALHAM PARK SURGERY,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"4,800.00",Barchester Healthcare Homes Lt,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"3,771.12",BARCHESTER HEALTHCARE-WIMBLEDO,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"17,189.17",Barrington Lodge,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"1,218.32",BATTERSEA FIELDS PRACTICE,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"1,814.26",BATTERSEA RISE GROUP PRACTICE ,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"31,894.37",Bavani Care Home,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"4,966.52",Baycroft Care Homes,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"1,853.78",BEDFORD HILL FAMILY PRACTICE H,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"23,600.00",Beitel Care Services Limited,INVOICE,Supported Living
Children's Services Directorate,01-Mar-24,566.65,Bliss Care and Training Ltd,INVOICE,Preventing Accom
Adult Social Services Directorate,01-Mar-24,"17,441.08",BNP Care Ltd,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"1,881.18",BOLINGBROKE MEDICAL CENTRE H85,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"37,345.16",Bramley Health Ltd,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"24,780.00",Bramley Health t/a Forest Lodg,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"2,882.62",BRIDGE LANE GROUP PRACTICE (H5,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"2,761.74",BROCKLEBANK GROUP PRACTICE,INVOICE,Third Party Pymt - Health
Environment & Community Services Directorate,01-Mar-24,"4,180.80",BROOKSON ENGINEERING (5618i) L,INVOICE,Materials
Environment & Community Services Directorate,01-Mar-24,"2,168.80",BT Global Services,INVOICE,Telephone Charges
Adult Social Services Directorate,01-Mar-24,"115,123.41",BUPA CARE SERVICES,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"24,129.76",BUTTERFLYS CARE HOMES LTD,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"27,322.80",C/O CLIFFORD OAKLEY,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"9,221.26",Callisto Healthcare Limited,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"1,853.08",CARE UK CLINICAL SERVICES LTD,INVOICE,Third Party Pymt - Health
Capital Expenditure,01-Mar-24,"1,134.00",Cass Allen Associates Ltd,INVOICE,CAPEXP Surveys and Comms Costs
Children's Services Directorate,01-Mar-24,"1,920.00",Castlebridge Finance SPV Ltd,INVOICE,Client Travel Expenses
Children's Services Directorate,01-Mar-24,"105,785.25",Central London Comm Healthcare,INVOICE,School Nursing Service
Adult Social Services Directorate,01-Mar-24,"12,664.52",CENTRUST CARE HOMES LTD,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"2,970.92",CHARTFIELD SURGERY Y01132,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"2,417.48",CHATFIELD HEALTH CARE (H85047),INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"4,541.88",Chatfield House,INVOICE,Supported Living
Adult Social Services Directorate,01-Mar-24,"9,610.06",CHD Care Ltd T/a The Summers,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"11,054.34",CHD Living Ltd/Kingston Rehab ,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"6,263.67",CHD Living T/A Crest Lodge,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"82,413.84",Choice Support,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"24,296.66",Christ the King Residential,INVOICE,External Residential Care
Children's Services Directorate,01-Mar-24,"2,541.12",CLEAPSS,INVOICE,Subscriptions
Adult Social Services Directorate,01-Mar-24,"3,693.04",Cognithan,INVOICE,Supported Living
Adult Social Services Directorate,01-Mar-24,"31,111.60",Comfort Care Living,INVOICE,Supported Living
Adult Social Services Directorate,01-Mar-24,"12,118.61",Community Housing ,INVOICE,Residentl Care Conts
Children's Services Directorate,01-Mar-24,"1,009.60",Complete Therapy Solutions Lim,INVOICE,Other Therapies
Adult Social Services Directorate,01-Mar-24,"5,776.32",Contemplation Home Ltd,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"300,904.14",Country Court,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"2,416.28",Crossways Nursing Care Home,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"13,469.32",CROWNWISE LTD,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"9,727.56",CTK Residential Care Homes 2 L,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"6,812.29",Curado Ltd,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"127,154.24",CURANS CARE LTD,INVOICE,Supported Living
Environment & Community Services Directorate,01-Mar-24,"1,624.32",D POWELL SURVEYING LTD,INVOICE,Materials
Adult Social Services Directorate,01-Mar-24,"3,464.00",Daniels Care Ltd,INVOICE,Supported Living
Adult Social Services Directorate,01-Mar-24,"17,165.36",DEEPDENE CARE LTD,INVOICE,External Residential Care
Children's Services Directorate,01-Mar-24,"5,012.65",Delivering Outcomes LTD,INVOICE,External Lodgings
Adult Social Services Directorate,01-Mar-24,"1,460.40",Dr Dev Archarya (H85082) t/a T,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,582.86,DR P ILVES T/A DANEBURY SURGER,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"4,935.84",EARLSFIELD PRACTICE,INVOICE,Third Party Pymt - Health
Adult Social Services Directorate,01-Mar-24,"1,050.00",Edge Training and Consultancy Ltd,INVOICE,Training
Capital Expenditure,01-Mar-24,"11,002.30",Effectable Construction Servic,INVOICE,CAPEXP Housing Grants Analysis
Adult Social Services Directorate,01-Mar-24,"2,374.48",ELBOROUGH STREET SURGERY H8505,INVOICE,Third Party Pymt - Health
Children's Services Directorate,01-Mar-24,"42,548.57",ELITE SUPPORT PROVIDER'S LTD,INVOICE,External Lodgings
Adult Social Services Directorate,01-Mar-24,"3,858.40",Elizabeth Peters Care Homes Li,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"89,384.16",Elysium Care Partnerships Ltd,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"6,145.24",EMAS Ltd,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"6,423.76",ENHAM,INVOICE,External Residential Care
Children's Services Directorate,01-Mar-24,"10,600.00",FURZEDOWN PRIMARY SCHOOL NATWE,INVOICE,Other Indirect Employee Exp
Adult Social Services Directorate,01-Mar-24,"36,970.44",Future Steps Project - Homes A,INVOICE,External Outreach
Housing & Regeneration Directorate,01-Mar-24,900.00,GEOMAR TRANS LTD,INVOICE,Homeless Red Act Initiatives
Adult Social Services Directorate,01-Mar-24,"34,164.72",GEORGE POTTER CARE HOME LTD,INVOICE,External Nursing Care
Capital Expenditure,01-Mar-24,"18,504.13",Gjini Building Services Ltd,INVOICE,CAPEXP Construction Work
Adult Social Services Directorate,01-Mar-24,"6,400.00",Glancestyle Care Homes T/A Bee,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"21,444.32",GLORY CARE CENTRE LTD,INVOICE,External Residential Care
Children's Services Directorate,01-Mar-24,"16,470.00",GRAVENEY ACADEMY,INVOICE,Transfers to Schools
Children's Services Directorate,01-Mar-24,600.00,Gravitas Training Consultants ,INVOICE,Project Work
Adult Social Services Directorate,01-Mar-24,"3,501.00",Greensleeves Homes Trust,INVOICE,External Residential Care
Adult Social Services Directorate,01-Mar-24,"78,681.58",GREENSLEEVES HOMES TRUST THE M,INVOICE,External Nursing Care
Adult Social Services Directorate,01-Mar-24,"3,896.36",HAYDON PARK LODGE LTD,INVOICE,External Residential Care
Resources Directorate,01-Mar-24,756.00,HBINFO LTD,INVOICE,Subscriptions
