DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Children's Services Directorate,01/06/2023," 4,789.81 ",XCEL 2000 FOSTERCARE SERVICES ,Invoice,Staying Put
Housing & Regeneration Directorate,01/06/2023," 11,268.90 ",WooWoo Waterless Toilets,Invoice,Major Repairs & Alterations
Capital Expenditure,01/06/2023," 75,484.32 ",WESTMINSTER BUILDING SERVICES ,Invoice,CAPEXP Construction Work
Environment & Community Services Directorate,01/06/2023," 1,024,331.19 ",WESTERN RIVERSIDE WASTE AUTHOR,Invoice,Wrwa - Refuse Disposal
Capital Expenditure,01/06/2023," 2,424.60 ",Wardell Armstrong LLP,Invoice,CAPEXP Professional Fees
Chief Executives Directorate,01/06/2023," 2,051.82 ",VIRGIN MEDIA BUSINESS,Invoice,Telephone Charges
Housing & Regeneration Directorate,01/06/2023," 5,000.00 ",Veritas Solicitors,Invoice,Legal & Court Fees 
Adult Social Services Directorate,01/06/2023, 520.00 ,Unit Works Social Enterprises,Invoice,External Daycare
Capital Expenditure,01/06/2023," 4,620.00 ",TOTTERIDGE HOUSE CO-OPERATIVE ,Invoice,CAPEXP Professional Fees
Capital Expenditure,01/06/2023," 82,829.57 ",Topcoat Construction Ltd t/a,Invoice,CAPEXP HRA House Purchase
Adult Social Services Directorate,01/06/2023, 500.00 ,Top Class UK Services Ltd,Invoice,External- Misc (Clean-Ups Etc)
Housing & Regeneration Directorate,01/06/2023," 2,760.00 ",TJR VENTILLATION SOLUTIONS LTD,Invoice,General Repairs Non S/C
Children's Services Directorate,01/06/2023," 39,647.40 ",The Lioncare Group,Invoice,External Residential Care
Adult Social Services Directorate,01/06/2023," 16,013.72 ",THE BRANDON TRUST,Invoice,Supporting People Contracts
Children's Services Directorate,01/06/2023," 4,667.10 ",The Appropriate Adult Service ,Invoice,Legal & Court Fees 
Capital Expenditure,01/06/2023," 4,728.00 ",T Mohan ,Invoice,CAPEXP Other Building Reltd Wk
Housing & Regeneration Directorate,01/06/2023, 603.96 ,T BROWN GROUP LTD,Invoice,Reactive maintenance - bldgs
Housing & Regeneration Directorate,01/06/2023," 14,073.60 ",SW1LIGHTING & ELECTRICAL LTD,Invoice,General Repairs Non S/C
Adult Social Services Directorate,01/06/2023," 6,319.69 ",SUPREME CARE SERVICE LTD,Invoice,External Homecare
Capital Expenditure,01/06/2023," 6,450.00 ",Summers-Inman LLP,Invoice,CAPEXP Professional Fees
Housing & Regeneration Directorate,01/06/2023, 850.00 ,Sterling Winshaw Solicitors,Invoice,Legal & Court Fees 
Housing & Regeneration Directorate,01/06/2023," 29,803.20 ",Stef & Phillips ltd,Invoice,B&B Payments
Housing & Regeneration Directorate,01/06/2023," 43,613.32 ",Smith ,Invoice,Boiler House Repairs
Adult Social Services Directorate,01/06/2023," 8,024.71 ",SEEABILITY,Invoice,External Residential Care
Housing & Regeneration Directorate,01/06/2023," 17,024.17 ",SADLER SERVICES LTD,Invoice,Vacants
