DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Resources Directorate,01/09/2023, 713.81 ,REDACTED PERSONAL DATA,Invoice,Personal Account
Resources Directorate,01/09/2023," 1,267.08 ",REDACTED PERSONAL DATA,Invoice,Personal Account
Environment & Community Services Directorate,01/09/2023, 863.00 ,REDACTED PERSONAL DATA,Invoice,Business Permits
Children's Services Directorate,01/09/2023," 1,487.80 ",REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Chief Executives Directorate,04/09/2023," 1,988.40 ",IMPRESS PRINT SERVICES LTD,Invoice,Printing 
Children's Services Directorate,04/09/2023," 1,513.72 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,302.40 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 2,294.00 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,193.46 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 909.31 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 2,015.16 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,071.24 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 2,069.63 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 568.32 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,108.22 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,079.80 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 980.35 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,851.77 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 672.76 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,108.22 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 898.65 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 900.84 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,193.47 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 591.32 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 980.35 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 568.32 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 1,524.99 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 2,056.75 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023, 596.73 ,REDACTED PERSONAL DATA,Invoice,Travelling expenses
Children's Services Directorate,04/09/2023," 4,440.00 ",REDACTED PERSONAL DATA,Invoice,Travelling expenses
