Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,3D LOCKERS,1728.68,Asset Clearing,Jun-23
Balance Sheet,ALT LABS AGENCY LTD,1461.54,Asset Clearing,Jun-23
Balance Sheet,ASTUN TECHNOLOGY LTD,1460,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,3200,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,11106.630000000001,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,894.2,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,10991,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,1219.52,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,670.8000000000001,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,800,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,4628.57,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,4573.2,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,543.46,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,1054.3600000000001,Asset Clearing,Jun-23
Balance Sheet,ATOS IT SERVICES UK LTD,8948.57,Asset Clearing,Jun-23
Balance Sheet,CASTLE CONSTRUCTION NORTH EAST LTD,571.1800000000001,Asset Clearing,Jun-23
Balance Sheet,COOL BREEZE FM LTD,5996.56,Asset Clearing,Jun-23
Balance Sheet,CORNERS ELECTRICAL LTD,2760,Asset Clearing,Jun-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,Jun-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1227.5,Asset Clearing,Jun-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1227.5,Asset Clearing,Jun-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jun-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1430,Asset Clearing,Jun-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,16445,Asset Clearing,Jun-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,2300,Asset Clearing,Jun-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1430,Asset Clearing,Jun-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1346,Asset Clearing,Jun-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1282,Asset Clearing,Jun-23
Balance Sheet,HARVEY NASH LIMITED,3736.32,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,37543,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,2804.02,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1272.5,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,924.75,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,15832.44,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,545.4,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1317.4,Asset Clearing,Jun-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,2727,Asset Clearing,Jun-23
Balance Sheet,JH MECHANICAL SERVICES LTD,825.64,Asset Clearing,Jun-23
Balance Sheet,MAVAL ELECTRICAL AND MECHANICAL ENGINEERING LTD,6457.8,Asset Clearing,Jun-23
Balance Sheet,N&N REMOVALS,610,Asset Clearing,Jun-23
Balance Sheet,N&N REMOVALS,505,Asset Clearing,Jun-23
Balance Sheet,N&N REMOVALS,617,Asset Clearing,Jun-23
Balance Sheet,POLICE AND CRIME COMMISSIONER NORTHUMBRIA,7561.31,Asset Clearing,Jun-23
Balance Sheet,PURE AUDIO VISUAL LTD,2250,Asset Clearing,Jun-23
Balance Sheet,REDACTED,1000,Asset Clearing,Jun-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1000,Asset Clearing,Jun-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1250,Asset Clearing,Jun-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1250,Asset Clearing,Jun-23
Balance Sheet,RS FLEET INSTALLATIONS LTD T/A RS CONNECT,1131.24,Asset Clearing,Jun-23
Balance Sheet,SEYMOUR CIVIL (ENGINEERING CONTRACTORS) LTD,6026.41,Asset Clearing,Jun-23
Balance Sheet,STERON LOCKSMITHS LTD,3190.4,Asset Clearing,Jun-23
Balance Sheet,STERON LOCKSMITHS LTD,6334.6,Asset Clearing,Jun-23
Balance Sheet,TIGER COMMUNICATIONS PLC,9017,Asset Clearing,Jun-23
Balance Sheet,VICKERS CONSTRUCTION LTD,510,Asset Clearing,Jun-23
Balance Sheet,VICKERS CONSTRUCTION LTD,2850,Asset Clearing,Jun-23
Business Support,AA BUSINESS SERVICES,680,Vehicle Recovery,Jun-23
Business Support,AA BUSINESS SERVICES,550,Vehicle Recovery,Jun-23
Business Support,ACCESS UK LTD,2172,Professional Fees,Jun-23
Business Support,ACCESS UK LTD,2432.64,Professional Fees,Jun-23
Business Support,ACTES TRUST T/A ACKLAM GREEN CENTRE,529.62,Development Fund,Jun-23
Business Support,ALLIANCE PSYCHOLOGICAL SERVICES,6875,Private Treatment / Health Initiatives,Jun-23
Business Support,ALLIANCE PSYCHOLOGICAL SERVICES,3960,Private Treatment / Health Initiatives,Jun-23
Business Support,ALLIANCE PSYCHOLOGICAL SERVICES,3000,Private Treatment / Health Initiatives,Jun-23
Business Support,ALLSTAR BUSINESS SOLUTIONS,607.07,Petrol,Jun-23
Business Support,ALLSTAR BUSINESS SOLUTIONS,842.51,Petrol,Jun-23
Business Support,ALLSTAR BUSINESS SOLUTIONS,713.19,Petrol,Jun-23
Business Support,ASSURA PROPERTIES PLC,7175.5,Rent / Lease,Jun-23
Business Support,ASSURA PROPERTIES PLC,2244.5,Rent / Lease,Jun-23
Business Support,AWAAZ PROJECT CIC,650,Training - Course Fees / Seminars etc - Police,Jun-23
Business Support,BERLA,2630.61,Information Technology Expenditure - General,45078
Business Support,BERROW HILL CONSULTING LIMITED,2429.57,Professional Fees,Jun-23
Business Support,BT (NEWCASTLE),2848.79,Telephone Charges - Landlines,Jun-23
Business Support,BT GLOBAL SERVICES SOLUTIONS,32169.06,Telephone Charges - Landlines,Jun-23
Business Support,BT PLC (IT SERVICES LTD),2451.4500000000003,Information Technology Expenditure - General,Jun-23
Business Support,BT PLC (IT SERVICES LTD),1042.43,Telephony Hardware & Support Contract,Jun-23
Business Support,BT PLC (IT SERVICES LTD),780.3000000000001,Telephony Hardware & Support Contract,Jun-23
Business Support,BT PLC (IT SERVICES LTD),4344.7,Telephony Hardware & Support Contract,Jun-23
Business Support,CAP AUTOMOTIVE LTD,886.2,Maintenance Agreements - General,Jun-23
Business Support,CAP AUTOMOTIVE LTD,702.84,Maintenance Agreements - General,Jun-23
Business Support,CHARLES PUGH (WINDSCREENS) LTD T/A NATIONAL WINDSCREENS,770,Vehicle Repairs & Maintenance - Parts,Jun-23
Business Support,CHARLES PUGH (WINDSCREENS) LTD T/A NATIONAL WINDSCREENS,770,Vehicle Repairs & Maintenance - Parts,Jun-23
Business Support,CHARLES PUGH (WINDSCREENS) LTD T/A NATIONAL WINDSCREENS,770,Vehicle Repairs & Maintenance - Parts,Jun-23
