Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,ANELEC ELECTRICAL CONTRACTORS LTD,1950,Asset Clearing,Dec-23
Balance Sheet,ASTUN TECHNOLOGY LTD,730,Asset Clearing,Dec-23
Balance Sheet,BOXXE LIMITED,3252.8,Asset Clearing,Dec-23
Balance Sheet,CASTLE CONSTRUCTION NORTH EAST LTD,2839,Asset Clearing,Dec-23
Balance Sheet,CASTLE CONSTRUCTION NORTH EAST LTD,2023,Asset Clearing,Dec-23
Balance Sheet,CASTLE CONSTRUCTION NORTH EAST LTD,12019,Asset Clearing,Dec-23
Balance Sheet,CIVIL DEFENCE SUPPLY LTD,10414.5,Asset Clearing,Dec-23
Balance Sheet,CIVIL DEFENCE SUPPLY LTD,9381,Asset Clearing,Dec-23
Balance Sheet,CORNERS ELECTRICAL LTD,4333.93,Asset Clearing,Dec-23
Balance Sheet,DELL CORPORATION LTD,520.5600000000001,Asset Clearing,Dec-23
Balance Sheet,DELL CORPORATION LTD,830.12,Asset Clearing,Dec-23
Balance Sheet,DFP SERVICES LTD,584.25,Asset Clearing,Dec-23
Balance Sheet,DFP SERVICES LTD,697.78,Asset Clearing,Dec-23
Balance Sheet,DFP SERVICES LTD,632.91,Asset Clearing,Dec-23
Balance Sheet,G V DECORATORS,1456,Asset Clearing,Dec-23
Balance Sheet,G V DECORATORS,4980,Asset Clearing,Dec-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Dec-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Dec-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,Dec-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Dec-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1473,Asset Clearing,Dec-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,670,Asset Clearing,Dec-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,570,Asset Clearing,Dec-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,6110.61,Asset Clearing,Dec-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,37812,Asset Clearing,Dec-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,509.58,Asset Clearing,Dec-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1360.5,Asset Clearing,Dec-23
Balance Sheet,JH MECHANICAL SERVICES LTD,819.2,Asset Clearing,Dec-23
Balance Sheet,JH MECHANICAL SERVICES LTD,2921.41,Asset Clearing,Dec-23
Balance Sheet,JML SOFTWARE SOLUTIONS LTD,35000,Asset Clearing,Dec-23
Balance Sheet,JML SOFTWARE SOLUTIONS LTD,4800,Asset Clearing,Dec-23
Balance Sheet,JML SOFTWARE SOLUTIONS LTD,11000,Asset Clearing,Dec-23
Balance Sheet,N T SWEETING ROOFING CONTRACTORS LTD,1966,Asset Clearing,Dec-23
Balance Sheet,N T SWEETING ROOFING CONTRACTORS LTD,850,Asset Clearing,Dec-23
Balance Sheet,PHOENIX SOFTWARE LTD,1316.04,Asset Clearing,Dec-23
Balance Sheet,POLICE AND CRIME COMMISSIONER NORTHUMBRIA,21754.41,Asset Clearing,Dec-23
Balance Sheet,POLICE AND CRIME COMMISSIONER NORTHUMBRIA,3745.59,Asset Clearing,Dec-23
Balance Sheet,POLICE AND CRIME COMMISSIONER NORTHUMBRIA,21754.41,Asset Clearing,Dec-23
