Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,3D LOCKERS,2607.2400000000002,Asset Clearing,Nov-23
Balance Sheet,ASTUN TECHNOLOGY LTD,730,Asset Clearing,Nov-23
Balance Sheet,BT PLC (IT SERVICES LTD),166314.96,Asset Clearing,Nov-23
Balance Sheet,CORNERS ELECTRICAL LTD,2178,Asset Clearing,Nov-23
Balance Sheet,CORNERS ELECTRICAL LTD,900,Asset Clearing,Nov-23
Balance Sheet,CORNERS ELECTRICAL LTD,685,Asset Clearing,Nov-23
Balance Sheet,CORNERS ELECTRICAL LTD,1995,Asset Clearing,Nov-23
Balance Sheet,CORNERS ELECTRICAL LTD,585,Asset Clearing,Nov-23
Balance Sheet,DFP SERVICES LTD,600.47,Asset Clearing,Nov-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,Nov-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Nov-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,Nov-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Nov-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1127,Asset Clearing,Nov-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,690,Asset Clearing,Nov-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,780.5,Asset Clearing,Nov-23
Balance Sheet,HARVEY NASH LIMITED,7500,Asset Clearing,Nov-23
Balance Sheet,HARVEY NASH LIMITED,2500,Asset Clearing,Nov-23
Balance Sheet,HARVEY NASH LIMITED,4270.08,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,3589.08,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,3029.2000000000003,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1627.2,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1414,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,762.5,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,2503.2000000000003,Asset Clearing,Nov-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,6518.8,Asset Clearing,Nov-23
