Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,AGILE ACOUSTICS TA WEWOW LTD,7300,Asset Clearing,Jan-24
Balance Sheet,ALT LABS AGENCY LTD,3653.85,Asset Clearing,Jan-24
Balance Sheet,COOL BREEZE FM LTD,16089.5,Asset Clearing,Jan-24
Balance Sheet,CORNERS ELECTRICAL LTD,3685,Asset Clearing,Jan-24
Balance Sheet,CORNERS ELECTRICAL LTD,545,Asset Clearing,Jan-24
Balance Sheet,CORNERS ELECTRICAL LTD,685,Asset Clearing,Jan-24
Balance Sheet,CORNERS ELECTRICAL LTD,1295,Asset Clearing,Jan-24
Balance Sheet,DEREK SLACK MOTORS LTD,509.7,Asset Clearing,Jan-24
Balance Sheet,DFP SERVICES LTD,2076.26,Asset Clearing,Jan-24
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,Jan-24
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,Jan-24
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jan-24
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jan-24
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1430,Asset Clearing,Jan-24
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1184,Asset Clearing,Jan-24
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1408,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,634.64,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,9021.48,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,24288.600000000002,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,17830.4,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,5777.72,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,2181.2,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,3050.52,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,1076.24,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,1325,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,40348,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,47495.08,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,652.62,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,500.59000000000003,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,32507.030000000002,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,28171.68,Asset Clearing,Jan-24
Balance Sheet,INSIGHT DIRECT (UK) LTD,81616.72,Asset Clearing,Jan-24
Balance Sheet,JH MECHANICAL SERVICES LTD,819.2,Asset Clearing,Jan-24
Balance Sheet,JH MECHANICAL SERVICES LTD,819.2,Asset Clearing,Jan-24
Balance Sheet,KNIGHTSBRIDGE FURNITURE PRODUCTION LTD,1298,Asset Clearing,Jan-24
Balance Sheet,MER FLEET SERVICES LIMITED,3842.7000000000003,Asset Clearing,Jan-24
Balance Sheet,N&N REMOVALS,605,Asset Clearing,Jan-24
Balance Sheet,PCC FOR WEST YORKSHIRE,1335.2,Asset Clearing,Jan-24
Balance Sheet,PEUGEOT MOTOR CO (PENTAGON CORPORATE FLEET),25533.5,Asset Clearing,Jan-24
Balance Sheet,R J LIFTS GROUP LTD,10783.5,Asset Clearing,Jan-24
Balance Sheet,REDACTED,950,Asset Clearing,Jan-24
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1000,Asset Clearing,Jan-24
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,750,Asset Clearing,Jan-24
Balance Sheet,RIMICK FLOORS,1850,Asset Clearing,Jan-24
Balance Sheet,RS FLEET INSTALLATIONS LTD T/A RS CONNECT,4451,Asset Clearing,Jan-24
Balance Sheet,SIGNAGE SOLUTIONS GBR LTD,1950,Asset Clearing,Jan-24
Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,2477.93,Asset Clearing,Jan-24
Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,1626.14,Asset Clearing,Jan-24
Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,4955.87,Asset Clearing,Jan-24
Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,5412.900000000001,Asset Clearing,Jan-24
Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,8982.51,Asset Clearing,Jan-24
Balance Sheet,STOCKTON-ON-TEES BOROUGH COUNCIL,1559.25,Asset Clearing,Jan-24
Balance Sheet,STOCKTON-ON-TEES BOROUGH COUNCIL,1490,Asset Clearing,Jan-24
Balance Sheet,STOCKTON-ON-TEES BOROUGH COUNCIL,526,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
Balance Sheet,TOYOTA GB PLC,19133.78,Asset Clearing,Jan-24
