Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,ASTUN TECHNOLOGY LTD,21750,Asset Clearing,Oct-23
Balance Sheet,ASTUN TECHNOLOGY LTD,4015,Asset Clearing,Oct-23
Balance Sheet,ASTUN TECHNOLOGY LTD,830,Asset Clearing,Oct-23
Balance Sheet,ATOS IT SERVICES UK LTD,1700,Asset Clearing,Oct-23
Balance Sheet,ATOS IT SERVICES UK LTD,1000,Asset Clearing,Oct-23
Balance Sheet,CLEVELAND CONTAINERS LIMITED,2695,Asset Clearing,Oct-23
Balance Sheet,CORNERS ELECTRICAL LTD,537,Asset Clearing,Oct-23
Balance Sheet,CORNERS ELECTRICAL LTD,1720,Asset Clearing,Oct-23
Balance Sheet,CORNERS ELECTRICAL LTD,3685,Asset Clearing,Oct-23
Balance Sheet,CORNERS ELECTRICAL LTD,1650,Asset Clearing,Oct-23
Balance Sheet,CORNERS ELECTRICAL LTD,3995,Asset Clearing,Oct-23
Balance Sheet,FROSTREE LTD,600,Asset Clearing,Oct-23
Balance Sheet,G V DECORATORS,792,Asset Clearing,Oct-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Oct-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Oct-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Oct-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Oct-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2209.5,Asset Clearing,Oct-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,659.7,Asset Clearing,Oct-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1531,Asset Clearing,Oct-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,8908,Asset Clearing,Oct-23
Balance Sheet,HARVEY NASH LIMITED,6405.12,Asset Clearing,Oct-23
Balance Sheet,HARVEY NASH LIMITED,6405.12,Asset Clearing,Oct-23
Balance Sheet,HARVEY NASH LIMITED,9500,Asset Clearing,Oct-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1244.6000000000001,Asset Clearing,Oct-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1099,Asset Clearing,Oct-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,7906.97,Asset Clearing,Oct-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,3179.16,Asset Clearing,Oct-23
Balance Sheet,JH MECHANICAL SERVICES LTD,2615.37,Asset Clearing,Oct-23
Balance Sheet,JH MECHANICAL SERVICES LTD,33273.32,Asset Clearing,Oct-23
Balance Sheet,KNIGHTSBRIDGE FURNITURE PRODUCTION LTD,3324,Asset Clearing,Oct-23
Balance Sheet,KNIGHTSBRIDGE FURNITURE PRODUCTION LTD,2330,Asset Clearing,Oct-23
Balance Sheet,N&N REMOVALS,510,Asset Clearing,Oct-23
Balance Sheet,R J LIFTS GROUP LTD,21567,Asset Clearing,Oct-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1250,Asset Clearing,Oct-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1000,Asset Clearing,Oct-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1000,Asset Clearing,Oct-23
Balance Sheet,REED SPECIALIST RECRUITMENT LIMITED,1250,Asset Clearing,Oct-23
Balance Sheet,TOYOTA GB PLC,19803.03,Asset Clearing,Oct-23
Balance Sheet,TOYOTA GB PLC,19803.03,Asset Clearing,Oct-23
Balance Sheet,TOYOTA GB PLC,19803.03,Asset Clearing,Oct-23
Balance Sheet,VICKERS CONSTRUCTION LTD,2700,Asset Clearing,Oct-23
Balance Sheet,VICTORY LEISURE HOMES LIMITED T/A VICTORY CONVERSIONS,7587.360000000001,Asset Clearing,Oct-23
Business Support,AA BUSINESS SERVICES,1470,Vehicle Recovery,Oct-23
