Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,1808.96,Asset Clearing,Aug-23
Balance Sheet,AGILE ACOUSTICS TA WEWOW LTD,4744,Asset Clearing,Aug-23
Balance Sheet,AGILE ACOUSTICS TA WEWOW LTD,550,Asset Clearing,Aug-23
Balance Sheet,ANELEC ELECTRICAL CONTRACTORS LTD,72960,Asset Clearing,Aug-23
Balance Sheet,ANELEC ELECTRICAL CONTRACTORS LTD,1040,Asset Clearing,Aug-23
Balance Sheet,ASTUN TECHNOLOGY LTD,9490,Asset Clearing,Aug-23
Balance Sheet,CLASS BLINDS,6850,Asset Clearing,Aug-23
Balance Sheet,CORNERS ELECTRICAL LTD,2965,Asset Clearing,Aug-23
Balance Sheet,DEFENCE COMPOSITES LIMITED,12025,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,1773.76,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,36710.24,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,2080,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,1400,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,7606,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,46640,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,7662.5,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,30477.5,Asset Clearing,Aug-23
Balance Sheet,FROSTREE LTD,5730,Asset Clearing,Aug-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Aug-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Aug-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Aug-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,3582,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,11430,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,2520,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1716,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,977.2,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,2680,Asset Clearing,Aug-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,6707.2,Asset Clearing,Aug-23
Balance Sheet,HARVEY NASH LIMITED,5337.6,Asset Clearing,Aug-23
