FIN.TRANSACTION DATE,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
01/01/2024,E&CC BUSINESS SUPPORT,REACH PUBLISHING SERVI,8.32,1.67,5192,"BOOKS,PERIODICALS AND NEWSPAPERS",REACH PUBLISHING SERVI,107271,GROWTH & REGEN BSO
01/01/2024,INGS GROVE HOUSE,AMAZON MUSIC WW2CR01U5,14.99,3,5735,RECORD SHOPS,AMAZON MUSIC WW2CR01U5,104076,INGS GROVE HOUSE
01/01/2024,STRATEGIC COMMUNICATIONS,SPOTIFY,82.55,0,5815,DIGITAL GOODS AUDIOVISUAL MEDIA,SPOTIFY,101213,STRATEGIC COMMUNICAT
01/01/2024,CLIFFE HOUSE - OPERATIONAL,SPOTIFY,14.99,0,5815,DIGITAL GOODS AUDIOVISUAL MEDIA,SPOTIFY,100318,CLIFFE HOUSE - OPERA
01/01/2024,BUSINESS DEVELOPMENT,GURU,8.99,1.8,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),GURU,106862,TREES FOR CLIMATE R'
02/01/2024,ASSESSMENT & INTERVENTION TEAM (SOUTH),HIE BRADFORD,327.32,65.46,3501,HOLIDAY INNS,HOLIDAY INNS,100050,PERSONS ABROAD
02/01/2024,BED AND BREAKFAST,TRAVELODG TRAVELODGE G,862.88,0,3615,TRAVELODGE,TRAVELODGE,103491,BED AND BREAKFAST
02/01/2024,LEGAL,TRAINLINE,11.61,0,4112,PASSENGER RAILWAYS,TRAINLINE,103939,LEGAL
02/01/2024,LEAVING CARE 18-21 (25) TEAM,TRAINLINE,17.32,0,4112,PASSENGER RAILWAYS,TRAINLINE,100069,LEAVING CARE 18-21 (
02/01/2024,DISABLED CHILDREN SERVICE TEAM,WWW.TPEXPRESS.CO.UK,71.3,0,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100089,DISABLED CHILDREN SE
02/01/2024,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.TPEXPRESS.CO.UK,8.92,1.78,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100037,ASSESSMENT & INT STH
02/01/2024,CHIEF EXECUTIVE & CORPORATE SUPPORT,TRAINLINE,39.12,0,4112,PASSENGER RAILWAYS,TRAINLINE,105561,TOM BRAILSFORD
02/01/2024,CHIEF EXECUTIVE & CORPORATE SUPPORT,LNER ONLINE,55.9,0,4112,PASSENGER RAILWAYS,LNER ONLINE,103937,CHIEF EXECUTIVE & CS
02/01/2024,SERVICE IMPROVEMENT & ASSURANCE,TRAINLINE,86.31,0,4112,PASSENGER RAILWAYS,TRAINLINE,107086,MANAGEMENT SUPPORT
02/01/2024,LIBRARY & INFORMATION CENTRES,BKG HOTEL AT BOOKING.C,141.67,28.33,4722,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,104148,PERSON FROM ABROAD
02/01/2024,E&CC BUSINESS SUPPORT,YW INTERNET BRADFORD,23.34,0,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",YW INTERNET BRADFORD,103492,HRA PROPERTIES
02/01/2024,MOORLANDS GRANGE,COMPLETE CARE SHOP,64.97,0,5047,DENTAL/LAB/MED/OPHTHALMIC HOSP EQUIP & SUPPLIES,COMPLETE CARE SHOP,104080,MOORLANDS GRANGE
