Date,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
01/04/2023,TECHNICIANS,WWW.THOMANN.DE,72.5,14.5,5733,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",WWW.THOMANN.DE,103811,TECHNICIANS
01/04/2023,ELM GROVE,SUPERDRUG STORES PLC,26.12,0,5912,"DRUG STORES, PHARMACIES",SUPERDRUG STORES PLC,100094,ELM GROVE
01/04/2023,DUKE OF EDINBURGH AWARDS,POUNDLAND,3.33,0.67,5310,DISCOUNT STORES,POUNDLAND,100133,DUKE OF EDIN AWARDS
01/04/2023,DUKE OF EDINBURGH AWARDS,THE RANGE,25.48,5.09,5719,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,THE RANGE,100133,DUKE OF EDIN AWARDS
01/04/2023,LIBRARY & INFORMATION CENTRES,LIDL GB MIRFIELD,12.46,2.49,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,104936,CENTRAL EVENTS
01/04/2023,COPTHORNE (PROPOSED 4 BED UNIT),SP CHEF SAC,-38.35,0,5399,MISCELLANEOUS GENERAL MERCHANDISE,SP CHEF SAC,100079,COPTHORNE (PROPOSED
01/04/2023,CLIFFE HOUSE - OPERATIONAL,SPOTIFY,13.99,0,5815,DIGITAL GOODS AUDIOVISUAL MEDIA,SPOTIFY,100318,CLIFFE HOUSE - OPERA
01/04/2023,MUSEUMS & GALLERIES HQ,WILKO RETAIL LIMITED,2.92,0.58,5399,MISCELLANEOUS GENERAL MERCHANDISE,WILKO RETAIL LIMITED,104847,TECHNICAL EVT & REF
01/04/2023,MUSEUMS & GALLERIES HQ,SCREWFIX DIR. LTD,21.58,4.32,5211,"BUILDING MATERIALS, LUMBER STORES",SCREWFIX DIR. LTD,104847,TECHNICAL EVT & REF
01/04/2023,EARLY SUPPORT SERVICE WIDE,SPORTSDIRECT.COM,-46.08,-9.22,5655,"SPORTS APPAREL, RIDING APPAREL STORES",SPORTSDIRECT.COM,106724,DETACHED YOUTH SER
01/04/2023,BED AND BREAKFAST,GAR HOTEL RES,586.67,117.34,4722,TRAVEL AGENCIES AND TOUR OPERATORS,GAR HOTEL RES,103491,BED AND BREAKFAST
01/04/2023,IYCE,ADOBE PRODUCTSŠADOBE.L,83.17,16.63,5734,COMPUTER SOFTWARE STORES,ADOBE PRODUCTSŠADOBE.L,107440,NESTA
01/04/2023,HAF GRANT,GURU,7.49,1.5,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),GURU,106862,TREES FOR CLIMATE R'
02/04/2023,PSYCHOLOGY,AMZNBUSINESS P80639LB5,6.78,0,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS P80639LB5,100260,PSYCHOLOGY
02/04/2023,WOODLANDS,AMZNMKTPLACE AMAZON.CO,7.49,1.5,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,100081,WOODLANDS
02/04/2023,COMMUNITIES PLUS-CENTRAL,AMZNBUSINESS 6T1N46B05,22.2,4.44,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 6T1N46B05,106234,EVERYBODY ACTIVE TEAM
02/04/2023,COMMUNITIES PLUS-CENTRAL,AMZNBUSINESS TJ7NY0H85,55.5,11.1,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS TJ7NY0H85,106234,EVERYBODY ACTIVE TEAM
02/04/2023,LD DAY SERVICES SK,AMZNBUSINESS 4G4WC0PV5,2.29,0.46,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 4G4WC0PV5,104047,LD DAY SERVICES SK
02/04/2023,LD DAY SERVICES SK,AMZNBUSINESS K73994625,13.66,2.28,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS K73994625,104047,LD DAY SERVICES SK
02/04/2023,COMMUNITIES PLUS-CENTRAL,AMZNBUSINESS H40BN63E5,55.5,11.1,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS H40BN63E5,106234,EVERYBODY ACTIVE TEAM
02/04/2023,CLEANSING MANAGEMENT,AMZNMKTPLACE,52.46,10.5,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103553,CLEANSING MANAGEMNT
02/04/2023,MILL DALE,LIDL GB HECKMONDWIKE,17.24,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB HECKMONDWIKE,104081,MILL DALE
03/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.TPEXPRESS.CO.UK,3.25,0.65,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100037,ASSESSMENT & INT STH
03/04/2023,MILL DALE,WM MORRISONS STORE PIC,64.97,3.25,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE PIC,104081,MILL DALE
03/04/2023,LAC 0-18 TEAM,WWW.REDDRIVINGSCHOOL.C,304.99,0,8299,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,WWW.REDDRIVINGSCHOOL.C,100068,LAC 0-18 TEAM
03/04/2023,LAC 0-18 TEAM,KIRKLEES ACTIVE LEISUR,330,0,8699,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",KIRKLEES ACTIVE LEISUR,100069,LEAVING CARE 18-21 (
03/04/2023,LAC 0-18 TEAM,KIRKLEES MC T/T,218.56,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KIRKLEES MC T/T,100069,LEAVING CARE 18-21 (
03/04/2023,CATERING MANAGEMENT,THE RANGE,5.82,1.17,5719,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,THE RANGE,103263,LINDLEY CE INFANTS
03/04/2023,ELM GROVE,TESCO STORES 2187,168.98,1.25,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2187,100094,ELM GROVE
03/04/2023,IT PEOPLE,AMZNMKTPLACE AMAZON.CO,326.32,65.2,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,103858,IT SERVICES
03/04/2023,IT PEOPLE,AMZNBUSINESS B96D25285,19.99,4,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS B96D25285,103858,IT SERVICES
03/04/2023,IT PEOPLE,AMZNMKTPLACE,326.34,65.2,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103858,IT SERVICES
03/04/2023,WOODLANDS,IKEA LTD SHOP ONLINE,2247,0,5712,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",IKEA LTD SHOP ONLINE,100077,HEALDS ROAD
03/04/2023,WOODLANDS,AIRBNB HMNWWE2HRY,-59,0,4722,TRAVEL AGENCIES AND TOUR OPERATORS,AIRBNB HMNWWE2HRY,100077,HEALDS ROAD
03/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,7.65,1.53,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100068,LAC 0-18 TEAM
03/04/2023,LAC 0-18 TEAM,B&M 713 NEW STREET,6.5,0,5399,MISCELLANEOUS GENERAL MERCHANDISE,B&M 713 NEW STREET,100068,LAC 0-18 TEAM
03/04/2023,LAC 0-18 TEAM,HOLIDAY EXTRAS COVER,3.28,0,4722,TRAVEL AGENCIES AND TOUR OPERATORS,HOLIDAY EXTRAS COVER,100068,LAC 0-18 TEAM
03/04/2023,INGS GROVE HOUSE,WWW.ARGOS.CO.UK,43.95,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,104076,INGS GROVE HOUSE
03/04/2023,LAC 0-18 TEAM,THE WORKS,21,0,5310,DISCOUNT STORES,THE WORKS,100068,LAC 0-18 TEAM
03/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,AMAZON PRIME JT31O0BZ5,79.17,15.83,5968,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,AMAZON PRIME JT31O0BZ5,103937,CHIEF EXECUTIVE & CS
03/04/2023,CATERING MANAGEMENT,AVANSAS,27.58,5.52,5311,DEPARTMENT STORES,AVANSAS,103164,CATERING MANAGEMENT
03/04/2023,MOORLANDS GRANGE,ASDA GROCERIES ONLINE,29.55,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,104080,MOORLANDS GRANGE
