Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,03/04/2023,1600708367,828.34,138.06,690.28,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/04/2023,1600708368,835.58,139.26,696.32,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/04/2023,1600708369,1020.53,170.09,850.44,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/04/2023,601488947,15000.00,0.00,15000.00,Aldi Stores Ltd,People (Adults) - CHSC,Client Subsistence
Salford City Council,03/04/2023,601488848,25000.00,0.00,25000.00,Aldi Stores Ltd,People (Adults) - CHSC,Client Subsistence
Salford City Council,03/04/2023,601488902,745.80,0.00,745.80,Beis Ruchel School Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488903,704.55,0.00,704.55,Belz Cheider Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488904,704.55,0.00,704.55,Bnos Margulis Viznitz Girls School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488898,1468.50,0.00,1468.50,Broughton Jewish C F Academy,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488855,8874.80,0.00,8874.80,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488853,10100.46,0.00,10100.46,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488857,11387.53,0.00,11387.53,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,1600705904,8975.71,1495.95,7479.76,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488957,2700.00,450.00,2250.00,Capita Property & Infrastructure Lt,Place Directorate,Other Professional Fees
Salford City Council,03/04/2023,601488945,744.00,0.00,744.00,Department For Work & Pensions,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,03/04/2023,601488851,8759.95,0.00,8759.95,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488899,1592.50,0.00,1592.50,Dukesgate Academy,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,1600708452,871.06,145.18,725.88,Enterprise Flex E-Rent,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,03/04/2023,601488876,4688.64,0.00,4688.64,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,1600707812,12902.40,2150.40,10752.00,Exclusec Group Ltd,Capital Expenditure,External Fees - Other
Salford City Council,03/04/2023,601488955,6470.00,0.00,6470.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,03/04/2023,1600707837,12900.00,2150.00,10750.00,From The Other Ltd,Place Directorate,Other Professional Fees
Salford City Council,03/04/2023,1600708403,1078.00,179.67,898.33,Graystone Action Sports Academy (M/,People (Adults) - CHSC,Grants
Salford City Council,03/04/2023,1600708405,4312.00,718.67,3593.33,Graystone Action Sports Academy (M/,People (Adults) - CHSC,Grants
Salford City Council,03/04/2023,1600707816,11208.75,0.00,11208.75,Greater Manchester Combined,Capital Expenditure,Other Works
Salford City Council,03/04/2023,1600708439,6769.00,0.00,6769.00,Greater Manchester Combined,Public Health,Payments to Agencies
Salford City Council,03/04/2023,601488868,399010.87,0.00,399010.87,Greater Manchester Combined,People (Childrens) Service Group,Payments to Health Authority
Salford City Council,03/04/2023,601488879,1029.60,0.00,1029.60,Happy Feet Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,1600708442,199048.03,33174.67,165873.36,Islington Mill Arts Club,Capital Expenditure,Works & Building
Salford City Council,03/04/2023,1600708427,554.09,92.35,461.74,J. Handford & Sons Ltd,Place Directorate,Horticultural & Grounds Maintenance (not DSO)
Salford City Council,03/04/2023,1600708395,3352.50,480.00,2872.50,Junction 17 Defensive Driving,Place Directorate,Training expenses
Salford City Council,03/04/2023,1600708382,763.58,127.26,636.32,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708379,843.94,140.66,703.28,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708384,903.11,150.52,752.59,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708383,1158.30,193.05,965.25,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708380,1326.11,221.02,1105.09,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708385,1784.53,297.42,1487.11,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708381,2424.60,404.10,2020.50,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,1600708386,2795.92,465.99,2329.93,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,03/04/2023,601488867,1980.00,0.00,1980.00,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488859,4954.94,0.00,4954.94,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488861,8516.70,0.00,8516.70,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488849,9499.36,0.00,9499.36,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488863,10500.00,0.00,10500.00,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,03/04/2023,601488882,522.72,0.00,522.72,Kiddiewinkles Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488911,709.50,0.00,709.50,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488917,750.75,0.00,750.75,Ladybird Private Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,1600708446,6143.45,1023.91,5119.54,Liquidlogic Ltd,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,03/04/2023,601488889,554.40,0.00,554.40,Little People Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,1600707776,279320.74,46553.46,232767.28,Manchester City Council,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,03/04/2023,601488943,862.90,0.00,862.90,Manchester Jnr Girls School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,601488920,1481.70,0.00,1481.70,Manchester Jnr Girls School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,03/04/2023,1600708422,3360.00,560.00,2800.00,Me Learning Ltd,Service Reform (Corp Bus & Transform),Training of Others
Salford City Council,03/04/2023,1600708248,-2156.25,0.00,-2156.25,Midas It (Uk) Ltd,Place Directorate,Training of Staff
Salford City Council,03/04/2023,1600708242,2587.50,431.25,2156.25,Midas It (Uk) Ltd,Place Directorate,Training of Staff
Salford City Council,03/04/2023,1600708250,2587.50,431.25,2156.25,Midas It (Uk) Ltd,Place Directorate,Training of Staff
Salford City Council,03/04/2023,1600708460,2100.00,350.00,1750.00,North West Local Authorities,Service Reform (Corp Bus & Transform),Training of Others
Salford City Council,03/04/2023,1600708451,1370.00,0.00,1370.00,Patricroft Community Group Cic,People (Childrens) Service Group,Hire of Facilities
Salford City Council,03/04/2023,1600708453,1900.00,0.00,1900.00,Patricroft Community Group Cic,People (Childrens) Service Group,Hire of Facilities
