Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,02/07/2023,6003730209,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730222,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730262,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730279,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730305,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730312,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730349,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730261,3060,0,3060,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730245,6120,0,6120,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,02/07/2023,6003730374,1290,0,1290,Bkg*Hotel At Booking.C,People (Childrens) Service Group,Staff Travel
Salford City Council,02/07/2023,6003730318,1186.26,0,1186.26,Browns C.T.P. Limited,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,02/07/2023,6003730206,1350,0,1350,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,02/07/2023,6003730271,650,0,650,Suresolutionsgroupltd,People (Adults) - CHSC,General Repairs
Salford City Council,02/07/2023,6003730204,950,0,950,Suresolutionsgroupltd,People (Adults) - CHSC,General Repairs
Salford City Council,02/07/2023,6003730378,1100,0,1100,Zettle_*Kevin Booth Pa,People (Adults) - CHSC,Other Professional Fees
Salford City Council,02/07/2023,6003730313,1260,0,1260,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,03/07/2023,1600714043,4983.6,830.6,4153,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,03/07/2023,1600714073,594,99,495,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,03/07/2023,1600714076,594,99,495,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,03/07/2023,1600714041,2470.94,411.82,2059.12,Altitude Services Ltd,Place Directorate,Contractors
Salford City Council,03/07/2023,1600714042,2955.82,492.64,2463.18,Altitude Services Ltd,Place Directorate,Contractors
Salford City Council,03/07/2023,601496690,788.24,0,788.24,Ays Estates Ltd,People (Adults) - CHSC,Rents
Salford City Council,03/07/2023,601496640,799.61,0,799.61,Ays Estates Ltd,People (Adults) - CHSC,Rents
Salford City Council,03/07/2023,1600714061,3150,525,2625,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other
Salford City Council,03/07/2023,1600714095,3431.84,571.97,2859.87,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,03/07/2023,601496816,11220,1870,9350,Bureau Van Dijk Electronic Publishi,Place Directorate,Other Professional Fees
Salford City Council,03/07/2023,1600714064,9399.84,1566.64,7833.2,C Smithies Builders,Capital Expenditure,Improvement Grants
