Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/12/2023,6003820627,5299.2,0,5299.2,Age Concern Salford T/A Age Uk Salf,People (Adults) - CHSC,Day Care
Salford City Council,01/12/2023,6003820614,5471.4,0,5471.4,Age Concern Salford T/A Age Uk Salf,People (Adults) - CHSC,Day Care
Salford City Council,01/12/2023,1600722402,15432.46,2572.08,12860.38,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722422,47033.92,7838.99,39194.93,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722406,52346.17,8724.36,43621.81,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722415,56151.02,9358.5,46792.52,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722424,58975.67,9829.28,49146.39,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722413,77597.4,12932.9,64664.5,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722425,92079.18,15346.53,76732.65,Argyle (North West) Construction Lt,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722963,513.6,85.6,428,Bid Group Ltd,Place Directorate,UV Minor Decoration and Flooring
Salford City Council,01/12/2023,1600723015,10914.66,1819.11,9095.55,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/12/2023,1600723014,3431.84,571.97,2859.87,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,01/12/2023,1600722460,29069.4,4844.9,24224.5,Buttress Architects Limited,Capital Expenditure,External Fees - Architects
Salford City Council,01/12/2023,1600722462,41400,6900,34500,Buttress Architects Limited,Capital Expenditure,External Fees - Architects
Salford City Council,01/12/2023,1600722408,68333.32,0,68333.32,Carrington Riding Centre,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,01/12/2023,1600722985,3500,583.33,2916.67,Civica Uk Ltd,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,01/12/2023,1600722252,30448.8,5074.8,25374,Civica Uk Ltd,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,01/12/2023,1600723005,2250,375,1875,Counterculture Partnership Llp,Place Directorate,Grants
Salford City Council,01/12/2023,1600722229,212644.58,35440.76,177203.82,Eurovia Infrastructure Ltd,Capital Expenditure,Other Works
Salford City Council,01/12/2023,1600722196,12328.54,2054.76,10273.78,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722195,28670.36,4778.4,23891.96,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,01/12/2023,1600722198,10114.54,1685.76,8428.78,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,01/12/2023,1600722964,1966,0,1966,Federation Of Community Services,People (Adults) - CHSC,Grants
Salford City Council,01/12/2023,1600722219,11309.22,1884.87,9424.35,Horticon Ltd,Capital Expenditure,Works & Building
Salford City Council,01/12/2023,601508274,701.64,116.94,584.7,Imserv Europe Ltd,Place Directorate,Electricity
Salford City Council,01/12/2023,601508316,2948.16,0,2948.16,Irlam & Cadishead Academy,People (Childrens) Service Group,Trade Union Supply Cover
Salford City Council,01/12/2023,1600722433,143668.9,23944.82,119724.08,Manchester City Council,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,01/12/2023,1600722442,145416.24,22534.6,122881.64,Manchester City Council,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,01/12/2023,1600722449,167066.65,25200.16,141866.49,Manchester City Council,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,01/12/2023,1600722437,212831.99,31623.03,181208.96,Manchester City Council,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,01/12/2023,601508323,1532.14,0,1532.14,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/12/2023,601508322,2635.71,0,2635.71,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/12/2023,601508319,14189.28,0,14189.28,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/12/2023,601508321,14678.57,0,14678.57,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/12/2023,601508318,15321.43,0,15321.43,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/12/2023,601508320,15832.14,0,15832.14,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/12/2023,601508326,15832.14,0,15832.14,Progressive Care Ltd,People (Childrens) Service Group,Payments to Agencies
