Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/03/2024,1600728878,18646.27,3107.71,15538.56,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,01/03/2024,1600728876,22644.48,3774.08,18870.40,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,01/03/2024,1600728877,23113.61,3852.27,19261.34,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,01/03/2024,6003868626,3371.30,0.00,3371.30,Age Concern Salford T/A Age Uk Salf,People (Adults),Day Care
Salford City Council,01/03/2024,6003868620,5703.60,0.00,5703.60,Age Concern Salford T/A Age Uk Salf,People (Adults),Day Care
Salford City Council,01/03/2024,1600729597,547.20,91.20,456.00,Beesley And Fildes Ltd,Place,Materials
Salford City Council,01/03/2024,601516358,3300.00,0.00,3300.00,Blackpool Borough Council,Public Health,Payments to Agencies
Salford City Council,01/03/2024,1600729526,595.20,99.20,496.00,Burgess Security Systems Ltd,People (Childrens),Security Services
Salford City Council,01/03/2024,1600729524,690.00,115.00,575.00,Burgess Security Systems Ltd,Place,Security Services
Salford City Council,01/03/2024,1600729521,918.00,153.00,765.00,Burgess Security Systems Ltd,People (Childrens),Security Services
Salford City Council,01/03/2024,1600729527,1614.00,269.00,1345.00,Burgess Security Systems Ltd,Place,Security Services
Salford City Council,01/03/2024,601516340,10920.60,0.00,10920.60,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,601516344,10000.00,0.00,10000.00,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,1600729612,9521.34,0.00,9521.34,Cambian Childcare Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,6003868635,11740.36,0.00,11740.36,Care Direct Salford Ltd,People (Adults),Day Care
Salford City Council,01/03/2024,1600728793,244806.00,40801.00,204005.00,Career Connect,Place,Payments to Agencies
Salford City Council,01/03/2024,601516452,714.30,0.00,714.30,Caritas Care Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729556,897.00,149.50,747.50,Child In Mind Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729552,4871.68,0.00,4871.68,Community Little Hulton Cio,People (Adults),Grants - Externally Funded
Salford City Council,01/03/2024,1600729532,970.25,161.71,808.54,Dennis Eagle Limited,Place,VMS Materials (Non Stock)
Salford City Council,01/03/2024,601516349,8797.93,0.00,8797.93,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,601516342,12754.02,0.00,12754.02,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,1600729610,3382.21,563.70,2818.51,Eccles Special High Schools Co Ltd,People (Childrens),Unitary Charge
Salford City Council,01/03/2024,1600729220,819.84,136.64,683.20,Ecg Facilities Services Ltd,Place,UV Air conditioning and handling
Salford City Council,01/03/2024,601516304,1750.00,0.00,1750.00,Edintervention Ltd,People (Childrens),Classroom Supplies Capitation
Salford City Council,01/03/2024,601516465,666.19,111.03,555.16,Furniture Resource Centre Ltd,People (Adults),Furniture
Salford City Council,01/03/2024,1600729579,2568.00,0.00,2568.00,Genius Tuition,People (Adults),Grants - Externally Funded
Salford City Council,01/03/2024,1600729517,844.56,140.76,703.80,George Parish & Sons Ltd,Place,Refuse Disposal
Salford City Council,01/03/2024,1600729519,894.00,149.00,745.00,George Parish & Sons Ltd,Place,Refuse Disposal
Salford City Council,01/03/2024,1600729516,1591.80,265.30,1326.50,George Parish & Sons Ltd,Place,Refuse Disposal
Salford City Council,01/03/2024,1600729518,2040.00,340.00,1700.00,George Parish & Sons Ltd,Place,Refuse Disposal
Salford City Council,01/03/2024,1600729580,10067.22,1677.87,8389.35,Greater Manchester Treestation Ltd,Place,Contractors
Salford City Council,01/03/2024,1600728832,175994.00,0.00,175994.00,"Home-Start Trafford, Salford, Wigan",People (Childrens),Equipment Purchase
Salford City Council,01/03/2024,601516472,536.25,0.00,536.25,Huggg Ltd,People (Adults),Insurance Premiums
Salford City Council,01/03/2024,1600728743,11106.60,1851.10,9255.50,Ijm Electrical Contractors Ltd,Capital Expenditure,Payments to Contractors - Improvements
Salford City Council,01/03/2024,1600729506,718.69,119.78,598.91,K J Lines Ltd,Place,Contractors
Salford City Council,01/03/2024,1600729505,1118.14,186.36,931.78,K J Lines Ltd,Place,Contractors
Salford City Council,01/03/2024,601516351,7629.67,0.00,7629.67,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,601516347,10552.89,0.00,10552.89,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,1600729567,615.08,102.51,512.57,Liquidlogic Ltd,Resources & Transformation,Computer Software (no annual fee)
Salford City Council,01/03/2024,6003868525,23685.32,0.00,23685.32,M & N Bland,People (Adults),Day Care
Salford City Council,01/03/2024,601516456,584.05,97.34,486.71,Manchester Alcock & Bradshaw Cura,Place,Servicing
Salford City Council,01/03/2024,601516471,584.05,97.34,486.71,Manchester Alcock & Bradshaw Cura,Place,Servicing
Salford City Council,01/03/2024,601516475,584.05,0.00,584.05,Manchester Alcock & Bradshaw Cura,Place,Servicing
Salford City Council,01/03/2024,601516477,584.05,97.34,486.71,Manchester Alcock & Bradshaw Cura,Place,Servicing
Salford City Council,01/03/2024,601516480,2399.05,399.84,1999.21,Manchester Alcock & Bradshaw Cura,Place,Servicing
Salford City Council,01/03/2024,1600729534,2580.00,430.00,2150.00,Mantank Environmental Service,Place,Contractors
Salford City Council,01/03/2024,1600728937,18000.00,3000.00,15000.00,Marketing Manchester,Capital Expenditure,Miscellaneous Expenses
Salford City Council,01/03/2024,1600729564,4500.00,0.00,4500.00,Montrose Living,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729565,4650.00,0.00,4650.00,Montrose Living,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729492,720.00,120.00,600.00,Nec Software Solutions Uk Ltd,Resources & Transformation,Training of Staff
Salford City Council,01/03/2024,601516478,1293.60,215.60,1078.00,Now Education Group Limited,People (Childrens),Agency Fees
Salford City Council,01/03/2024,6003868769,910.00,0.00,910.00,Ofsted Internet,People (Childrens),Licencing
Salford City Council,01/03/2024,1600729355,3432.00,572.00,2860.00,Pjs Hygiene Ltd,Place,UV Tank Cleaning
Salford City Council,01/03/2024,1600728828,16076.52,0.00,16076.52,Project Inc Ltd,People (Childrens),Pupil Assistance
Salford City Council,01/03/2024,1600729573,544.33,90.72,453.61,Quickco Ltd,Place,VMS Materials (Non Stock)
Salford City Council,01/03/2024,601516440,1317.49,0.00,1317.49,Redacted Data,People (Childrens),Pupil Assistance
Salford City Council,01/03/2024,601516359,1510.00,0.00,1510.00,Redacted Data,People (Childrens),Release of Provision
Salford City Council,01/03/2024,601516446,636.78,0.00,636.78,Redacted Data,People (Childrens),Pupil Assistance
Salford City Council,01/03/2024,6003868667,572.88,0.00,572.88,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868615,3313.62,0.00,3313.62,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868455,11898.12,0.00,11898.12,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868435,13105.83,0.00,13105.83,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868470,15254.81,0.00,15254.81,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868484,15646.72,0.00,15646.72,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868659,21078.88,0.00,21078.88,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868658,22260.98,0.00,22260.98,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868649,28031.08,0.00,28031.08,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868661,28125.68,0.00,28125.68,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868600,39403.86,0.00,39403.86,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868664,40304.20,0.00,40304.20,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,6003868571,40985.06,0.00,40985.06,Redacted Data,People (Adults),Home Helps
Salford City Council,01/03/2024,1600729529,3777.96,629.66,3148.30,Round Midnight Ltd,People (Childrens),Subscriptions
Salford City Council,01/03/2024,1600723060,3822.60,637.10,3185.50,S & S Marquees Ltd,Resources & Transformation,Contract Hire
Salford City Council,01/03/2024,1600729554,1839.20,0.00,1839.20,Salford Arts Theatre,People (Adults),Grants - Externally Funded
Salford City Council,01/03/2024,1600729539,13000.00,0.00,13000.00,Salford Community Leisure Ltd,Place,Payments to Agencies
Salford City Council,01/03/2024,1600727949,-148044.01,0.00,-148044.01,Salford Royal Nhs Foundation Trust,Capital Expenditure,Miscellaneous Expenses
Salford City Council,01/03/2024,1600728288,44437.31,7406.22,37031.09,Salford Royal Nhs Foundation Trust,Capital Expenditure,Miscellaneous Expenses
Salford City Council,01/03/2024,1600726646,148864.43,22325.75,126538.68,Salford Royal Nhs Foundation Trust,Capital Expenditure,Miscellaneous Expenses
Salford City Council,01/03/2024,1600727306,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Resources & Transformation,Other Professional Fees
Salford City Council,01/03/2024,1600727870,-114000.00,0.00,-114000.00,Salford Royal Nhs Foundation Trust,Public Health,Payments to Agencies
Salford City Council,01/03/2024,1600727327,18000.00,0.00,18000.00,Salford Royal Nhs Foundation Trust,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600728781,325206.00,0.00,325206.00,Salford Royal Nhs Foundation Trust,Public Health,Payments to Agencies
Salford City Council,01/03/2024,6003868610,4530.41,0.00,4530.41,Sanctuary Housing Association,People (Adults),Supported Tenancies
Salford City Council,01/03/2024,1600729354,562.80,93.80,469.00,Schofield & Sons Ltd,Place,UV Day to Day Repairs
Salford City Council,01/03/2024,601516306,1806.22,301.03,1505.19,Siemens Financial Services Ltd,Place,Equipment Leasing
Salford City Council,01/03/2024,6003868782,533.00,0.00,533.00,Sq *Property Services Mcr,People (Adults),General Repairs
Salford City Council,01/03/2024,6003868776,638.75,0.00,638.75,Sq *Property Services Mcr,People (Adults),General Repairs
Salford City Council,01/03/2024,6003868783,795.00,0.00,795.00,Sq *Property Services Mcr,People (Adults),General Repairs
Salford City Council,01/03/2024,6003868855,1640.00,0.00,1640.00,Sq *Property Services Mcr,People (Adults),General Repairs
Salford City Council,01/03/2024,1600729502,5845.72,974.29,4871.43,Srl Traffic Systems Limited,Place,Contractors
Salford City Council,01/03/2024,1600727260,27578.05,4596.34,22981.71,Standard Fuel Oils Ltd,Place,Vehicle Ancillary Costs
Salford City Council,01/03/2024,1600729545,4968.00,828.00,4140.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees
Salford City Council,01/03/2024,1600729563,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729575,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729576,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729582,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729583,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729584,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,1600729585,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,6003868835,660.00,0.00,660.00,Suregroup,People (Adults),Client Travel Expenses
Salford City Council,01/03/2024,601516262,-1179.30,-196.55,-982.75,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,01/03/2024,1600729550,1419.12,236.52,1182.60,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,01/03/2024,601516474,5101.56,850.26,4251.30,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,01/03/2024,601516357,4194.00,0.00,4194.00,The Court Service,Place,Debt Collection Agents
Salford City Council,01/03/2024,1600729490,3762.00,0.00,3762.00,The Lucy Faithfull Foundation,People (Childrens),Payments to Agencies
Salford City Council,01/03/2024,601514984,557.68,0.00,557.68,Tiffin Sandwiches Limited,Place,Food and refreshments
Salford City Council,01/03/2024,601516345,9203.22,0.00,9203.22,Ups Building & Maintenance Ltd,Capital Expenditure,Improvement Grants
Salford City Council,01/03/2024,1600729512,1008.00,168.00,840.00,Viatec (Uk) Ltd,Place,Materials
Salford City Council,01/03/2024,1600729511,2016.00,336.00,1680.00,Viatec (Uk) Ltd,Place,Materials
Salford City Council,01/03/2024,601516479,650.21,108.37,541.84,Vision For Education Ltd,People (Childrens),Classroom Supplies Capitation
Salford City Council,01/03/2024,601516481,800.26,133.38,666.88,Vision For Education Ltd,People (Childrens),Classroom Supplies Capitation
Salford City Council,01/03/2024,6003868816,930.08,155.01,775.07,Www.Paper.Co.Uk,Resources & Transformation,Stationery
Salford City Council,01/03/2024,1600729551,3176.80,0.00,3176.80,Yemeni Community Association,People (Adults),Grants - Externally Funded
Salford City Council,01/03/2024,1600729596,800.00,0.00,800.00,Youth Focus North West Ltd,People (Childrens),Conferences / Seminars
