LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,RESOURCES,Telecommunications,45201,4100798521,5028.02,MAINTEL EUROPE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Adult Social Care,45201,4100798457,1736,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Adult Social Care,45201,4100798458,6822.4,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Clothes/Persnal/Lugg,45201,4100798379,1433.71,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PLACE,Build/Constrct Srvcs,45201,4100798437,336.87,WATES LIVING SPACE (MAINT) LTD-LINB
LONDON BOROUGH OF ENFIELD,PLACE,Office Equip Supply,45201,4100795380,365,EBB OFFICE LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45201,4100788757,265,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45201,4100788758,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45201,4100792718,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45201,4100796279,323,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45201,4100788753,325,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45201,4100798378,325,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,RESOURCES,Tree trimming Servcs,45201,4100797484,5080,GRISTWOOD & TOMS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45201,7003413293,3300,STAMFORD CARE HOME
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45201,7003413295,3300,STAMFORD CARE HOME
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45201,4100798508,14380.3,BARNARDOS
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45201,4100798450,3631.65,THE NATIONAL FOSTERING AGENCY LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45201,7003413249,550.17,THE CONIFERS
