LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PLACE,Build/Constrct Srvcs,45352,4100816814,508.2,DENNIS EAGLE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Build/Constrct Srvcs,45352,4100817102,326.7,DENNIS EAGLE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45352,4100819395,737,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45352,4100818717,267.91,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45352,4100820117,572.8,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45352,4100820152,348.89,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45352,4100820189,292.86,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45352,3300328353,1275,LEAPFROG NURSERY SCHOOL
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817111,692.17,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817112,600.49,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817114,1511.06,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817653,521.2,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817657,279.68,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817658,1349.84,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817758,614.41,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs & parts,45352,4100817759,428.12,ERNEST DOE & SONS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003498942,6047.88,MEDSTAR DOMICILIARY CARE SERVICES L
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499199,11290.56,MEDSTAR DOMICILIARY CARE SERVICES L
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499201,7898.2,MEDSTAR DOMICILIARY CARE SERVICES L
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499203,8016.08,MEDSTAR DOMICILIARY CARE SERVICES L
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499273,2775,EASTBROOK
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499190,29329.64,ELIZABETH LODGE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499205,3480,THE CONIFERS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499207,4865.49,SEEABILITY
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45352,3300328352,42909.7,VITA ET PAX SCHOOL
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499275,5428.57,BULLSMOOR LODGE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003499209,1387.88,CHALLENGE CARE
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820188,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820190,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820191,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820192,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820193,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820194,300.48,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820197,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45352,4100820198,287.49,SAFESTORE PLC
LONDON BOROUGH OF ENFIELD,PLACE,Travel/Food/Ent srvc,45352,4100819259,763.4,FORTY HALL BANQUETING
LONDON BOROUGH OF ENFIELD,PLACE,Environ/Waste Srvcs,45352,4100819839,1666.67,CLEARWAY ENVIRONMENTAL SERVS UK LTD
LONDON BOROUGH OF ENFIELD,PLACE,Environ/Waste Srvcs,45352,4100820017,465,CLEARWAY ENVIRONMENTAL SERVS UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003498951,2308.32,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003498952,659.52,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003498953,659.52,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003498954,1025.92,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45352,7003498955,641.2,CORE OUTREACH CARE SERVICES UK LTD
