LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45019,3300302653,361.64,REDACTED
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45019,3300302654,3300,REDACTED
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45019,3300302655,569.59,REDACTED
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45019,3300302656,4725,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,3300302657,120184.59,"Barnet, Enf. & Haringey Mental Heal"
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45019,3300302658,525,RUSSET HOUSE SCHOOL
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45019,3300302659,333.33,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,3300302663,5353.29,ALMA PRIMARY
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,3300302664,8180,Durants School
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,3300302667,13116.52,ST FRANCIS DE SALES CATHOLIC INFANT SCH
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,3300302668,2100,ELLERN MEDE SCHOOL
LONDON BOROUGH OF ENFIELD,PLACE,Training Services,45019,4100766423,575,SOLACE GROUP LTD
LONDON BOROUGH OF ENFIELD,PLACE,Capital,45019,4100768451,1278,INFINITY NETWORKS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Travel/Food/Ent srvc,45019,4100768924,2175,NEW LONDON ARCHITECTURE LTD
LONDON BOROUGH OF ENFIELD,CEX,Training Services,45019,4100769470,4500,DISABILITY RIGHTS UK
LONDON BOROUGH OF ENFIELD,PLACE,Hlth/Medic Supp Srvc,45019,4100769479,16423.05,MEDIGOLD HEALTH CONSULTANCY LIMITED
LONDON BOROUGH OF ENFIELD,CEX,IT Equip/Services,45019,4100769487,2166.66,THE SPEECH CENTRE
LONDON BOROUGH OF ENFIELD,CEX,IT Equip/Services,45019,4100769488,1611.66,THE SPEECH CENTRE
LONDON BOROUGH OF ENFIELD,CEX,IT Equip/Services,45019,4100769490,660,THE SPEECH CENTRE
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,4100769531,1232,SUCCESS CLUB CIO
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45019,4100769552,1096.91,G&S TYRE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Storage/Removal,45019,4100769564,395,WE MOVE HOMES
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45019,4100769634,240,MEDIGOLD HEALTH CONSULTANCY LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Food Catering/Supply,45019,4100769712,955.7,THOMAS RIDLEY & SON LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45019,4100769772,2935,FORWARD4FAMILIES
LONDON BOROUGH OF ENFIELD,PLACE,Office Equip Supply,45019,4100769854,730,EBB OFFICE LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,BusinessConsult Serv,45019,4100769858,1000,KMDIMENSIONS
LONDON BOROUGH OF ENFIELD,PLACE,Food Catering/Supply,45019,4100769933,462.45,SAMP CORP LTD
LONDON BOROUGH OF ENFIELD,PLACE,Fleet services,45019,4100770073,6578.04,ENTERPRISE FLEX-E-RENT
LONDON BOROUGH OF ENFIELD,PLACE,Property/Land Srvcs,45019,4100770096,260,SPENCER CRAIG PARTNERSHIP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,4100770258,367.5,TUITION EXTRA LTD
LONDON BOROUGH OF ENFIELD,PLACE,Food Catering/Supply,45019,4100770698,490.83,THOMAS RIDLEY & SON LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45019,4100770728,1374,THE HELPING HAND COMPANY
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45019,4100770740,5748.33,INTEGRATED SERVICES PROGRAMME
LONDON BOROUGH OF ENFIELD,PLACE,Property/Land Srvcs,45019,4100770768,260,SPENCER CRAIG PARTNERSHIP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Travel/Food/Ent srvc,45019,4100770802,500,PLATINUM PERFORMING ARTS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,4100770944,1000,PROSPERO GROUP LTD
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100770949,121106.8,MULALLEY & CO LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45019,4100770976,490.9,RECARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45019,4100771152,3100,TRANSFORMING LIVES COMPANY
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs,45019,4100771608,260,FLEXX SERVICE CENTRE LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs,45019,4100771609,260,FLEXX SERVICE CENTRE LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100771798,22977.19,CHAS BERGER & SON LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicle repairs,45019,4100771822,260,FLEXX SERVICE CENTRE LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Child Social Care,45019,4100772233,2332,LONDON BOROUGH OF ISLINGTON
LONDON BOROUGH OF ENFIELD,PLACE,Food Catering/Supply,45019,4100772441,277.6,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45019,4100772814,2240,REDACTED
LONDON BOROUGH OF ENFIELD,RESOURCES,Hlth/Medic Supp Srvc,45019,4100772837,330,MEDIGOLD HEALTH CONSULTANCY LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45019,4100772982,558.2,BRADLEY MANN PSYCHOLOGICAL SVCS LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Translate/Lang Srvcs,45019,4100773053,21045.35,THE LANGUAGE SHOP
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45019,4100773116,600,SAFE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Capital,45019,4100773138,692.75,NORMAN ROURKE PRYME LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Domest/Consumer prod,45019,4100773585,5769,ALL SAFE & SOUND
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100773635,2762.09,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45019,4100773721,4240,CLAYHALL EXECUTIVE CARS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45019,4100773748,1650,FRESH START INDPENDENCE PROJECT
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45019,4100773757,3040,SUNRISE MEDICAL LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773780,1677.09,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773782,3273.36,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773784,3252.17,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100773785,3628.59,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773788,7281.89,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100773789,55308.41,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100773790,12618.12,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45019,4100773791,5315.25,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,HRA,Parks/Sport/Recreatn,45019,4100773793,1134.09,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773794,268.33,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,HRA,Parks/Sport/Recreatn,45019,4100773795,469.8,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773796,3447.4,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773797,815.53,GLENDALE COUNTRYSIDE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Parks/Sport/Recreatn,45019,4100773798,1017.41,GLENDALE COUNTRYSIDE LTD
