LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PLACE,Hlth/Medic Supp Srvc,45323,4100811759,399,THE HELPING HAND COMPANY
LONDON BOROUGH OF ENFIELD,PLACE,Adult Social Care,45323,4100815092,13217.4,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,4100812373,23087,WALTHAM FOREST COLLEGE
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45323,4100762684,1020,AIDAPT BATHROOMS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45323,4100798128,851,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45323,4100815679,471,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45323,4100815695,655.4,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45323,4100815696,265,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45323,4100815726,796,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45323,4100815729,700.95,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45323,4100811775,455,OAKWOOD MEDICAL CENTRE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490212,4125,STAMFORD CARE HOME
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490213,471.43,STAMFORD CARE HOME
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490154,11942.2,EDENVALE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490155,3094,SIDNEY AVENUE LODGE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490214,3364,SUNBRIDGE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45323,4100814061,381.41,THOMAS RIDLEY & SON LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490215,17199.29,ALBANY PARK NURSING HOME
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,3300326117,19500,STORMONT HOUSE SCHOOL
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815661,2083.97,JORDAN XAVIER LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815663,616.07,JORDAN XAVIER LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490216,1980,WOODLANDS RESIDENTIAL CARE HOME LTD
LONDON BOROUGH OF ENFIELD,PLACE,Education services,45323,4100815676,225,HQN LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489945,1355.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489947,709.9,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489949,1025.92,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489951,659.52,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489953,2308.32,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489959,2564.8,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489961,1850.32,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489963,641.2,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489967,1355.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489969,1154.16,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489971,641.2,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489973,769.44,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489975,256.48,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489979,769.44,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489981,1035.08,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489985,512.96,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489987,572.5,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489989,1025.92,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489991,512.96,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489993,403.04,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489995,577.08,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489997,458,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003489999,641.2,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490001,439.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490003,348.08,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490005,897.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490007,2308.32,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490009,512.96,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490011,916,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490013,1374,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490019,897.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490021,1154.16,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490023,512.96,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490025,897.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490027,1282.4,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490029,1795.36,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490033,2638.08,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490035,645.78,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490037,897.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490039,384.72,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490156,439.68,CORE OUTREACH CARE SERVICES UK LTD
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45323,4100815687,15450.24,FRANKHAM CONSULTANCY GROUP LTD
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45323,4100815688,5500,FRANKHAM CONSULTANCY GROUP LTD
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45323,4100812679,1156,ENFIELD ARCHAEOLOGICAL SOCIETY
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815778,59741.65,TURNING POINT
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815773,1513.53,INTEGRATED FOSTERING SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Training Services,45323,4100815055,1140,STS COMPLETE HEALTH & SAFETY LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Training Services,45323,4100815527,450,STS COMPLETE HEALTH & SAFETY LTD
LONDON BOROUGH OF ENFIELD,PLACE,Recruitment services,45323,3300326105,112668.49,MATRIX SCM LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Recruitment services,45323,3300326106,508779.62,MATRIX SCM LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,4100815738,11600,HARINGEY SIXTH FORM CENTRE
LONDON BOROUGH OF ENFIELD,HRA,BusinessConsult Serv,45323,4100815707,799.2,TROWERS & HAMLINS LLP
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815770,354.29,FAMILY FIRST FOSTERING
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815772,342.86,FAMILY FIRST FOSTERING
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45323,4100815718,837.9,VOICEABILITY
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815670,600,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815671,600,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,HRD,Capital,45323,4100815761,35631,NORFOLK TRUCK & VAN LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Library services,45323,3300326377,10066,OVERDRIVE INC.
LONDON BOROUGH OF ENFIELD,PEOPLE,BusinessConsult Serv,45323,4100815760,5860.06,VIBRANCE
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,4100815691,3136,FIRST KICKS SPORTS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490041,824,ZAMSS LTD T/A KARE PLUS ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,IT Equip/Services,45323,4100814856,11000,SIGNIS LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490043,760.28,HOPE HOMECARE SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45323,4100815725,8409.86,JAMORES LIMITED T/A JAMORES HOMES
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45323,4100815727,5760,JAMORES LIMITED T/A JAMORES HOMES
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45323,4100815728,11520,JAMORES LIMITED T/A JAMORES HOMES
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45323,4100815776,4904.9,JAMORES LIMITED T/A JAMORES HOMES
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45323,4100815777,8409.86,JAMORES LIMITED T/A JAMORES HOMES
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,3300325432,2641.9,COMMUNICATION & LEARNING ENTERPRISE
LONDON BOROUGH OF ENFIELD,PLACE,Security/Safety Eqpm,45323,4100812431,389.79,CONTEGO SAFETY SOLUTIONS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815781,4207.14,SHINING STARS FOSTERING AGENCY
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490045,2821.28,ELMICH CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490047,2894.56,ELMICH CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490049,2967.84,ELMICH CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490051,2225.88,ELMICH CARE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812318,328,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812350,210,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812356,299.2,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812593,1546.07,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812801,324.08,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100814554,656,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100811777,3638.78,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100811793,4185,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100811828,3666.99,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100811849,4185,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100811851,3742.01,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100811876,1984.35,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100812467,2014.35,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,CEX,Hlth/Medic Supp Srvc,45323,4100812836,16423.05,MEDIGOLD HEALTH CONSULTANCY LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45323,4100812864,348,MEDIGOLD HEALTH CONSULTANCY LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490053,806.08,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490157,1795.36,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490158,732.8,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490161,1722.08,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490162,4140.32,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490163,375.56,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490164,970.96,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490165,1282.4,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490166,1025.92,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490168,5605.92,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490169,3306.76,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490170,769.44,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490171,4983.04,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490172,503.8,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490173,1300.72,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490174,2381.6,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490175,348.08,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490176,1199.96,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490177,2308.32,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490178,1062.56,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490179,512.96,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490180,1025.92,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490181,329.76,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490182,641.2,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490183,696.16,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490184,851.88,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490185,824.4,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490186,3077.76,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490187,2308.32,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490188,3334.24,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490189,1319.04,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490190,384.72,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490191,348.08,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490192,769.44,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490193,888.52,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490194,293.12,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490195,1557.2,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490196,2033.52,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490197,265.64,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490198,1511.4,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490199,1131.26,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490200,2638.08,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490203,1731.24,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490204,3896,ANGELS CARING CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490205,6531.84,CHOSEN CARE GROUP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490206,13070.4,CHOSEN CARE GROUP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490207,8501.76,CHOSEN CARE GROUP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490055,476.32,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490057,274.8,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490059,2587.7,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490061,2564.8,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490063,1172.48,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490065,1538.88,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490069,879.36,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490073,1291.56,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490077,577.08,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490079,1154.16,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490081,769.44,BLOWINGPOINT ENTERPRISES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812276,523.84,G&S TYRE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,3300326362,1470,LOVE ABA LTD
LONDON BOROUGH OF ENFIELD,HRD,Capital,45323,4100815748,390,DEVONSHIRES SOLICITORS LLP
LONDON BOROUGH OF ENFIELD,HRD,Capital,45323,4100815754,2275,DEVONSHIRES SOLICITORS LLP
LONDON BOROUGH OF ENFIELD,HRD,Capital,45323,4100815756,754.5,DEVONSHIRES SOLICITORS LLP
LONDON BOROUGH OF ENFIELD,PLACE,Clothes/Persnal/Lugg,45323,4100811946,1193.28,SMI INT GROUP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815662,1682.99,REACH2CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45323,4100815664,1058.51,REACH2CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45323,4100812253,546.25,WASTEPARTS UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,IT Equip/Services,45323,4100792570,5700,ACCESS UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Translate/Lang Srvcs,45323,4100813901,1470.92,MULTI-LINGUAL INTERPRETING SERV LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Security/Safety Eqpm,45323,4100811879,261,GREATER LONDON LOCKSMITHS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45323,4100815668,83475,SEVA CHILDCARE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490208,2221.37,HEADWAY SUPPORT HOMES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490209,3774.32,HEADWAY SUPPORT HOMES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Fuel and Oil,45323,4100815031,30433.72,NEW ERA FUELS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Marketing&Advertisng,45323,4100815723,1200,INV LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490082,1685.44,DIVINE CARE CONNECTIONS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490084,1630.48,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490086,1758.72,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490088,439.68,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490090,714.44,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490092,458,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490094,842.72,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490098,1154.16,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490100,842.72,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490102,512.96,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490104,1538.56,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490106,659.52,CATCY CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45323,7003490211,5808,CATCY CARE LIMITED
