Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,11/07/2024,ANDTECH SYSTEMS,9153977,revenue,1KJ42,Security Consultancy,631.96
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,10/07/2024,ANDTECH SYSTEMS,9165640,revenue,1KEWQ,Sandhills Depot,1665.00
Investment & Growth,Transport,Capital Expenditure,18/07/2024,ANGLO SCOTTISH ASSET FINANCE LIMITED,9171449,Capital,2CAPI,Capital Investment,173915.02
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,03/07/2024,APEX ACOUSTICS LTD,9156916,revenue,1KVWC,Minor Works Contracts,355.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,24/07/2024,APEX RADIO SYSTEMS LTD,9163330,revenue,1KE1A,Wentworth Pl & Cherry Tree R&M,500.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,10/07/2024,APOLLO DOORS LTD,9152834,revenue,1KVWC,Minor Works Contracts,12450.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,12/07/2024,APOLLO DOORS LTD,9160912,revenue,1KVWC,Minor Works Contracts,2870.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,19/07/2024,APOLLO DOORS LTD,9156919,revenue,1KVWC,Minor Works Contracts,310.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,APPLETON MANOR CARE HOME,9181821,revenue,1MG20,Residential Care OP,3128.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,APPLETON MANOR CARE HOME,9159687,revenue,1MG20,Residential Care OP,3128.00
Adult Social Care & Prevention,Community Support,Revenue Income,31/07/2024,APPLETON MANOR CARE HOME,9181821,revenue,1MG20,Residential Care OP,-1248.48
Adult Social Care & Prevention,Community Support,Revenue Income,02/07/2024,APPLETON MANOR CARE HOME,9159687,revenue,1MG20,Residential Care OP,-1248.48
Children & Families,Children's Social Care,Revenue Expenditure,31/07/2024,AR PROPERTIES,9181268,revenue,1MF01,CIC & Care Leaver Team,1000.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176108,revenue,1MK51,Home Care LD,368.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176108,revenue,1MK60,Ind Day Care LD,547.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176109,revenue,1MK51,Home Care LD,336.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176109,revenue,1MK60,Ind Day Care LD,645.96
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176110,revenue,1MK51,Home Care LD,156.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176110,revenue,1MK60,Ind Day Care LD,669.96
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176111,revenue,1MK51,Home Care LD,384.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176111,revenue,1MK60,Ind Day Care LD,1094.56
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176112,revenue,1MK51,Home Care LD,264.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176112,revenue,1MK60,Ind Day Care LD,820.92
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176113,revenue,1MK51,Home Care LD,156.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176113,revenue,1MK60,Ind Day Care LD,820.92
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176114,revenue,1MK51,Home Care LD,240.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176114,revenue,1MK60,Ind Day Care LD,547.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176115,revenue,1MK51,Home Care LD,288.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176115,revenue,1MK60,Ind Day Care LD,669.96
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176116,revenue,1MK51,Home Care LD,112.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176116,revenue,1MK60,Ind Day Care LD,223.32
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176120,revenue,1MK51,Home Care LD,192.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176120,revenue,1MK60,Ind Day Care LD,820.92
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176122,revenue,1MK51,Home Care LD,272.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176122,revenue,1MK60,Ind Day Care LD,669.96
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176123,revenue,1MK51,Home Care LD,320.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176123,revenue,1MK60,Ind Day Care LD,1094.56
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176104,revenue,1MK60,Ind Day Care LD,446.64
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176106,revenue,1MK60,Ind Day Care LD,446.64
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176117,revenue,1MK60,Ind Day Care LD,893.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176118,revenue,1MK60,Ind Day Care LD,820.92
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176119,revenue,1MK60,Ind Day Care LD,772.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ARCADEA CIO,9176121,revenue,1MK60,Ind Day Care LD,669.96
Children & Families,Education Schools/DSG,Revenue Income,09/07/2024,ARCHBISHOP RUNCIE C OF E FIRST SCHOOL,9164746,revenue,1E910,Archbishop Runcie OutofSchClub,14.10
Investment & Growth,Transport,Revenue Expenditure,10/07/2024,ARCO LTD,9165566,revenue,1KEMC,Highways,4000.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,26/07/2024,ARENAPAL LTD,9178502,revenue,1EJ17,Publications,450.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,24/07/2024,ARNOLD CLARK,9156237,revenue,1KESY,External Hires,252.95
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,24/07/2024,ARNOLD CLARK,9156239,revenue,1KESY,External Hires,251.16
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,24/07/2024,ARNOLD CLARK,9156240,revenue,1KESY,External Hires,423.36
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,18/07/2024,ARNOLD CLARK,9151218,revenue,1KESY,External Hires,282.38
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,18/07/2024,ARNOLD CLARK,9151219,revenue,1KESY,External Hires,296.66
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,18/07/2024,ARNOLD CLARK,9151220,revenue,1KESY,External Hires,417.48
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,18/07/2024,ARNOLD CLARK,9151221,revenue,1KESY,External Hires,402.92
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/07/2024,ARNOLD CLARK,9157807,revenue,1KESY,External Hires,313.69
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/07/2024,ARNOLD CLARK,9157809,revenue,1KESY,External Hires,501.62
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/07/2024,ARNOLD CLARK,9157811,revenue,1KESY,External Hires,346.75
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/07/2024,ARNOLD CLARK,9157815,revenue,1KESY,External Hires,277.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/07/2024,ARNOLD CLARK,9157816,revenue,1KESY,External Hires,423.36
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/07/2024,ARNOLD CLARK,9161311,revenue,1KESY,External Hires,277.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/07/2024,ARNOLD CLARK,9161312,revenue,1KESY,External Hires,277.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/07/2024,ARNOLD CLARK,9161313,revenue,1KESY,External Hires,296.66
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/07/2024,ARNOLD CLARK,9161314,revenue,1KESY,External Hires,402.92
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,03/07/2024,ARNOLD CLARK,9143560,revenue,1KESY,External Hires,282.38
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,03/07/2024,ARNOLD CLARK,9143561,revenue,1KESY,External Hires,296.66
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,03/07/2024,ARNOLD CLARK,9143562,revenue,1KESY,External Hires,417.48
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,05/07/2024,ARNOLD CLARK,9143567,revenue,1KESY,External Hires,560.56
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,05/07/2024,ARNOLD CLARK,9144809,revenue,1KESY,External Hires,437.31
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,05/07/2024,ARNOLD CLARK,9144875,revenue,1KESY,External Hires,402.92
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,23/07/2024,ARNOLD CLARK,9154330,revenue,1KESY,External Hires,277.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,12/07/2024,ARNOLD CLARK,9150458,revenue,1KESY,External Hires,501.62
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,12/07/2024,ARNOLD CLARK,9150462,revenue,1KESY,External Hires,277.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,12/07/2024,ARNOLD CLARK,9150463,revenue,1KESY,External Hires,423.36
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,16/07/2024,ARNOLD CLARK,9150467,revenue,1KESY,External Hires,287.84
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,19/07/2024,ARNOLD CLARK,9153957,revenue,1KESY,External Hires,560.56
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,02/07/2024,ARNOLD CLARK,9141420,revenue,1KESY,External Hires,287.84
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,02/07/2024,ARNOLD CLARK,9141421,revenue,1KESY,External Hires,277.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,11/07/2024,ARNOLD CLARK,9149871,revenue,1KESY,External Hires,251.16
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,11/07/2024,ARNOLD CLARK,9149872,revenue,1KESY,External Hires,423.36
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,11/07/2024,ARNOLD CLARK,9149874,revenue,1KESY,External Hires,277.20
Public Health Service,Public Health,Revenue Expenditure,31/07/2024,ASDA PHARMACY,9181365,revenue,1ML11,PH - Smoking & Tobacco,384.60
Public Health Service,Public Health,Revenue Expenditure,31/07/2024,ASDA STORES LIMITED,9181364,revenue,1ML11,PH - Smoking & Tobacco,480.62
Public Health Service,Public Health,Revenue Expenditure,31/07/2024,ASDA STORES LIMITED,9181480,revenue,1ML11,PH - Smoking & Tobacco,355.18
Public Health Service,Public Health,Revenue Expenditure,04/07/2024,ASDA STORES LIMITED,9160438,revenue,1ML11,PH - Smoking & Tobacco,298.68
Children & Families,Education Schools/DSG,Revenue Expenditure,04/07/2024,ASHBROOKE SCHOOL,9161188,revenue,1E20A,SB Independent Schools,136990.30
Public Health Service,Public Health,Revenue Expenditure,04/07/2024,ASHCHEM PHARMACY LTD,9160441,revenue,1ML11,PH - Smoking & Tobacco,461.61
Adult Social Care & Prevention,Community Support,Revenue Expenditure,16/07/2024,ASHFIELD COURT,9169367,revenue,1MG20,Residential Care OP,40034.19
Adult Social Care & Prevention,Community Support,Revenue Income,16/07/2024,ASHFIELD COURT,9169367,revenue,1MG20,Residential Care OP,-1928.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASHLEIGH COLLEGE,9181843,revenue,1MK20,Residential Care LD,14475.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASHLEIGH COLLEGE,9159710,revenue,1MK20,Residential Care LD,14475.48
Children & Families,Education,Revenue Expenditure,22/07/2024,ASHMOLE MINICOACHES,9173295,revenue,1E212,Transport Special,2515.00
Children & Families,Education,Revenue Expenditure,30/07/2024,ASHMOLE MINICOACHES,9179754,revenue,1E212,Transport Special,2515.00
Children & Families,Education,Revenue Expenditure,09/07/2024,ASHMOLE MINICOACHES,9164654,revenue,1E212,Transport Special,2515.00
Children & Families,Education,Revenue Expenditure,02/07/2024,ASHMOLE MINICOACHES,9159495,revenue,1E212,Transport Special,2515.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,16/07/2024,ASHTON COURT CARE HOME,9169401,revenue,1MG10,Nursing Care OP,48799.95
Adult Social Care & Prevention,Community Support,Revenue Expenditure,16/07/2024,ASHTON COURT CARE HOME,9169401,revenue,1MG20,Residential Care OP,67666.90
Adult Social Care & Prevention,Community Support,Revenue Expenditure,16/07/2024,ASHTON COURT CARE HOME,9169401,revenue,1MH20,Residential Care PD,3499.48
Children & Families,Children's Social Care,Revenue Expenditure,15/07/2024,ASHWOOD CHILDREN?S CARE HOMES LIMITED,9168264,revenue,1MC02,Ind Sector Placements,90890.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,26/07/2024,ASKEWS LIBRARY SERVICES LTD,9161988,revenue,1EJ13,Stock Services,515.80
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,26/07/2024,ASKEWS LIBRARY SERVICES LTD,9161989,revenue,1EJ13,Stock Services,546.54
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,26/07/2024,ASKEWS LIBRARY SERVICES LTD,9161991,revenue,1EJ13,Stock Services,542.94
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,26/07/2024,ASKEWS LIBRARY SERVICES LTD,9169299,revenue,1EJ13,Stock Services,286.34
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,17/07/2024,ASKEWS LIBRARY SERVICES LTD,9157636,revenue,1EJ13,Stock Services,638.24
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,10/07/2024,ASKEWS LIBRARY SERVICES LTD,9157634,revenue,1EJ13,Stock Services,728.33
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,12/07/2024,ASKEWS LIBRARY SERVICES LTD,9167072,revenue,1EJ13,Stock Services,389.18
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,16/07/2024,ASKEWS LIBRARY SERVICES LTD,9169297,revenue,1EJ13,Stock Services,672.36
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,19/07/2024,ASKEWS LIBRARY SERVICES LTD,9167073,revenue,1EJ13,Stock Services,628.82
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASPECTS HOUSE,9181810,revenue,1MM20,Residential Care MH,3886.36
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASPECTS HOUSE,9159675,revenue,1MM20,Residential Care MH,3886.36
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ASPIRE HEALTHCARE LTD,9176150,revenue,1MH50,Home Care PD,4172.05
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ASPIRE HEALTHCARE LTD,9176149,revenue,1MK20,Residential Care LD,5004.72
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ASPIRE HEALTHCARE LTD,9176151,revenue,1MK20,Residential Care LD,2939.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,23/07/2024,ASPIRE HEALTHCARE LTD,9176152,revenue,1MK20,Residential Care LD,4369.20
Adult Social Care & Prevention,Community Support,Revenue Expenditure,09/07/2024,ASPIRE HEALTHCARE LTD,9164443,revenue,1MK50,Supported Living LD,4750.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,26/07/2024,ASPIRE TECHNOLOGY SOLUTIONS LTD,9175832,revenue,1CX50,Technical Refresh,1636.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,17/07/2024,ASPIRE TECHNOLOGY SOLUTIONS LTD,9170358,revenue,1CX50,Technical Refresh,1636.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,31/07/2024,ASPIRE TECHNOLOGY SOLUTIONS LTD,9175854,revenue,1CC24,Telecoms,38294.52
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,31/07/2024,ASPIRE TECHNOLOGY SOLUTIONS LTD,9175853,revenue,1CMSB,SB ICT Broadband Connectivity,14699.16
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,31/07/2024,ASPIRE TECHNOLOGY SOLUTIONS LTD,9175833,revenue,1CX50,Technical Refresh,1636.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,05/07/2024,ASPIRE TECHNOLOGY SOLUTIONS LTD,9161012,revenue,1CX50,Technical Refresh,9852.20
Children & Families,Education Schools/DSG,Revenue Expenditure,05/07/2024,ASPRIS CHILDRENS SERVICES,9162337,revenue,1E20A,SB Independent Schools,6827.94
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181738,revenue,1MG10,Nursing Care OP,126109.89
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181738,revenue,1MG20,Residential Care OP,100356.54
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181738,revenue,1MH10,Nursing Care PD,9080.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181738,revenue,1MK10,Nursing Care LD,3596.72
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181738,revenue,1MM10,Nursing Care MH,11304.49
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181738,revenue,1MM20,Residential Care MH,6950.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,31/07/2024,ASTELL CARE CENTRE,9181862,revenue,1MM10,Nursing Care MH,943.52
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MG10,Nursing Care OP,111310.86
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MG20,Residential Care OP,70960.64
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MH10,Nursing Care PD,9080.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MH20,Residential Care PD,3353.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MK10,Nursing Care LD,3596.72
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MM10,Nursing Care MH,2228.06
Adult Social Care & Prevention,Community Support,Revenue Expenditure,02/07/2024,ASTELL CARE CENTRE,9159598,revenue,1MM20,Residential Care MH,6950.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,18/07/2024,ASTOR BANNERMAN (MEDICAL) LTD,9172106,revenue,1KVWC,Minor Works Contracts,9775.00
Investment & Growth,Major Projects,Capital Expenditure,02/07/2024,ATKINS LTD,9151167,Capital,2CAPI,Capital Investment,2862.97
Children & Families,Children's Social Care,Revenue Expenditure,17/07/2024,AUGUSTA CLOSE IMPREST,9170483,revenue,1MC24,Augusta Close,1636.22
