Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,45036.041666666664,10566.62,12679.91,10566.62,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Tresco Estate,45034.041666666664,3033.33,3640,3033.33,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,22001,Heating Oil,Sibleys Fuel & Marine Services,45043.041666666664,2111.16,2236.48,2127.63,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45022.041666666664,1542.58,1851.09,1542.58,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,25003,Fire Equipment,Perren Engineering Ltd,45020.041666666664,2163.3,2595.96,2163.3,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,31102,Vehicle Repair and Maintenance,1A Engineering,45020.041666666664,4721.06,4721.06,4721.06,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,31204,Derv Purchases,Sibleys Fuel & Marine Services,45043.041666666664,16.47,2236.48,2127.63,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,43505,Professional Services,Robson Site Services Ltd,45029.041666666664,4280,5136,4280,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,43534,Licences,Civil Aviation Authority,45044.041666666664,826.8,826.8,826.8,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,44007,Insurance Premiums - General,Arthur J Gallagher (UK) Ltd,45029.041666666664,36936.79,36936.79,36936.79,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,44007,Insurance Premiums - General,Arthur J Gallagher (UK) Ltd,45029.041666666664,23520,23520,23520,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,49328,Fire Appliance Testing & Maintenance,Advanced Fire and Security South West Ltd,45036.041666666664,754,904.8,754,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Airport,600060,Airport,89106,Landscaping,Scillonian Trading Ltd,45034.041666666664,6539.43,7847.32,6539.43,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,11601,Agency Costs,Island Cleaning Co,45034.041666666664,1178.3,1178.3,1178.3,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45029.041666666664,-1731.6,1731.6,1443,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45029.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45029.041666666664,1731.6,1731.6,1443,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45022.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45036.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,22501,Rent,,45037.041666666664,822.84,822.84,822.84,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,43506,Professional Fees - Legal,Cornwall Council,45020.041666666664,3173.7,3808.44,3173.7,
51 Council of the Isles of Scilly,Community,Adult Social Care,600100,Adult Social Care,43532,Professional Fees - Other,V4 Services Ltd,45041.041666666664,2500,3000,2500,
51 Council of the Isles of Scilly,Community,Adult Social Care,600101,Better Care Fund,31603,Other Public Transport,St Agnes Boating,45036.041666666664,619,619,619,
51 Council of the Isles of Scilly,Community,Adult Social Care,600102,One Public Estate_,43504,Consultancy,Community 1st Cornwall Ltd,45041.041666666664,21100.47,25320.56,21100.47,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Autism West Midlands,45037.041666666664,6942.6,6942.6,6942.6,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45029.041666666664,-790.04,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45029.041666666664,370.04,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45029.041666666664,420,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Shared Lives South West,45029.041666666664,790.04,864.05,790.04,
51 Council of the Isles of Scilly,Community,Adult Social Care,600104,Short and Long Term Support 65,57066,Independent Meals at Home - Private Contractors,Cornwall Partnership NHS Foundation Trust,45022.041666666664,1475,1770,1475,
51 Council of the Isles of Scilly,Community,Adult Social Care,600104,Short and Long Term Support 65,57066,Independent Meals at Home - Private Contractors,Cornwall Partnership NHS Foundation Trust,45043.041666666664,1585,1902,1585,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45029.041666666664,115.97,1772.61,1772.61,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45029.041666666664,1656.64,1772.61,1772.61,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45036.041666666664,3203.5,3203.5,3203.5,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45020.041666666664,1935,1935,1935,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45027.041666666664,2160,2160,2160,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45034.041666666664,2385,2385,2385,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Nurse Plus,45041.041666666664,2227.5,2227.5,2227.5,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,11601,Agency Costs,Sibleys Island Homes,45034.041666666664,1820,1820,1820,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22002,Electricity,Edf Energy Plc,45041.041666666664,19.99,4180.52,3487.11,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22002,Electricity,Edf Energy Plc,45041.041666666664,3467.12,4180.52,3487.11,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22501,Rent,,45044.041666666664,655,655,655,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22501,Rent,Sibleys Island Homes,45034.041666666664,950,950,950,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,22501,Rent,Sibleys Island Homes,45036.041666666664,725,725,725,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,41120,Catering Equipment,Protec Healthcare LLP,45036.041666666664,499,598.8,499,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Booker Ltd,45041.041666666664,66.25,673.58,660.33,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Booker Ltd,45041.041666666664,594.08,673.58,660.33,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,42001,Catering - Provisions,Mike Benney Butchers Ltd,45041.041666666664,1193.37,1193.37,1193.37,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,46103,Hotel Expenses,Scilly Self Catering,45027.041666666664,600,600,600,
51 Council of the Isles of Scilly,Community,Adult Social Care,600105,Park House,89407,Advertising & Publicity,MA Education Ltd,45043.041666666664,1398,1677.6,1398,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,31603,Other Public Transport,St Agnes Boating,45036.041666666664,1725.2,1725.2,1725.2,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,,45036.041666666664,633.1,633.1,633.1,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,Cherry Blossom Childcare,45036.041666666664,7653.45,7653.45,7653.45,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,,45036.041666666664,1129.84,1129.84,1129.84,
51 Council of the Isles of Scilly,Community,Childrens Services,600113,Early Year Provision,47013,Grants & Conts to Other Bodies - Discretionary,Cherry Blossom Childcare,45036.041666666664,2666.03,2666.03,2666.03,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45020.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45020.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45041.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45020.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45020.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45029.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45034.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45041.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45036.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,Community,Childrens Services,600121,Home to School Transport,31603,Other Public Transport,Tresco Estate,45043.041666666664,4240,4240,4240,
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,31603,Other Public Transport,Tresco Estate,45022.041666666664,1384.25,1384.25,1384.25,
51 Council of the Isles of Scilly,Community,Childrens Services,600123,High Need SEND,43532,Professional Fees - Other,St Joseph's School,45041.041666666664,60754,60754,60754,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,11413,Pension Payments - Added Years,Cornwall Council,45029.041666666664,1164.94,1164.94,1164.94,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,12301,Training,IPSEA,45043.041666666664,1600,1600,1600,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,31603,Other Public Transport,St Agnes Boating,45036.041666666664,812.16,812.16,812.16,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,-2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,-2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,-2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,-2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Cornwall Council,45036.041666666664,2400,2400,2400,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Hiraeth Education Management Consultants,45022.041666666664,2750,2750,2750,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,43532,Professional Fees - Other,Hiraeth Education Management Consultants,45022.041666666664,2250,2250,2250,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,47002,Subscriptions,CSW Group Ltd,45043.041666666664,2750,3300,2750,
51 Council of the Isles of Scilly,Community,Childrens Services,600127,C&YP Central Support Services,47002,Subscriptions,Somerset County Council,45043.041666666664,700,700,700,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45020.041666666664,1092,1310.4,1092,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45020.041666666664,1053,1263.6,1053,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45020.041666666664,1287,1544.4,1287,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45036.041666666664,1423.5,1708.2,1423.5,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45043.041666666664,1404,1684.8,1404,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45020.041666666664,2750,3300,2750,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45029.041666666664,3437.5,4125,3437.5,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45029.041666666664,1443.9,1732.68,1443.9,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45043.041666666664,3437.5,4125,3437.5,
51 Council of the Isles of Scilly,Community,Childrens Services,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45043.041666666664,2750,3300,2750,
51 Council of the Isles of Scilly,Community,Childrens Services,600134,C&YP Safeguarding,43555,Partnership Costs,Cornwall Council,45022.041666666664,4800,4800,4800,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Environmental Services,600200,Environmental Health & Food,43505,Professional Services,Cornwall Council,45036.041666666664,275.72,3338.8,2828.29,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Environmental Services,600200,Environmental Health & Food,43505,Professional Services,Cornwall Council,45036.041666666664,2552.57,3338.8,2828.29,
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,12301,Training,Leppitt Associates,45036.041666666664,580,696,580,
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,12301,Training,Leppitt Associates,45036.041666666664,1839,2206.8,1839,
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,12301,Training,South West Councils,45027.041666666664,633,759.6,633,
51 Council of the Isles of Scilly,Community,Learning and Library,600212,Customer Hub,45301,Postage/Franking Charges,Francotyp-Postalia Ltd,45037.041666666664,773.07,927.69,773.07,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600230,Capital Development & Procurement Team,43505,Professional Services,Ashfords,45022.041666666664,609,730.8,609,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43512,Publicity Promotions & Marketing,Leading Edge Academies Partnership (Five Islands),45036.041666666664,2000,2000,2000,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43532,Professional Fees - Other,,45041.041666666664,3404.5,3404.5,3404.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement,600233,CIOS Cultural Centre,43532,Professional Fees - Other,,45034.041666666664,2970.95,2970.95,2970.95,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45029.041666666664,450,540,450,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45029.041666666664,450,540,450,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45034.041666666664,520,624,520,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21124,R&M - Planned Fire equip servicing,Davey & Gilbert Ltd,45041.041666666664,-435,522,435,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21124,R&M - Planned Fire equip servicing,Davey & Gilbert Ltd,45041.041666666664,435,522,435,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21124,R&M - Planned Fire equip servicing,Davey & Gilbert Ltd,45041.041666666664,-435,522,435,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21124,R&M - Planned Fire equip servicing,Davey & Gilbert Ltd,45041.041666666664,435,522,435,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,22002,Electricity,Edf Energy Plc,45027.041666666664,-266,2175.96,2059.68,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,22002,Electricity,Edf Energy Plc,45027.041666666664,2325.68,2175.96,2059.68,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,41302,Materials,Travis Perkins Trading Co Ltd,45027.041666666664,441.28,529.54,441.28,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600241,Private Housing,22501,Rent,,45037.041666666664,700,700,700,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,22501,Rent,Community Venture (Smart Islands Project),45029.041666666664,922.97,922.97,922.97,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45029.041666666664,6484.83,6484.83,6484.83,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45029.041666666664,972.72,972.72,972.72,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,12301,Training,Cornwall Council,45036.041666666664,2066.1,2479.32,2066.1,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43504,Consultancy,Cornwall Council,45022.041666666664,860.18,1032.22,860.18,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43504,Consultancy,Cornwall Council,45022.041666666664,641.41,769.69,641.41,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43506,Professional Fees - Legal,Cornwall Council,45036.041666666664,4002.45,4802.94,4002.45,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43532,Professional Fees - Other,Cornwall Council,45029.041666666664,3500,4200,3500,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43548,External Audit Charges,Grant Thornton Ltd,45022.041666666664,13615,16338,13615,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,43548,External Audit Charges,Cornwall Council,45022.041666666664,9500,11400,9500,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600324,Information Technology,45208,IT Software Support,Cornwall Council,45022.041666666664,52411.91,62894.29,52411.91,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,45043.041666666664,11900,14280,11900,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,45041.041666666664,2940,3528,2940,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,,45034.041666666664,1763,1763,1763,
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43511,Design Costs,Cornwall Council,45029.041666666664,3800,4560,3800,
51 Council of the Isles of Scilly,Community,Childrens Services,690001,Services to Our Community Directorate,89004,Acquisition Costs - Vehicles & Plant,Richard Hand Haulage,45043.041666666664,642.5,771,642.5,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Teignmouth Maritime Services Ltd,45020.041666666664,969049.03,1162858.84,969049.03,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Teignmouth Maritime Services Ltd,45036.041666666664,403977.76,484773.31,403977.76,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89209,Other Professional Fees,Arcadis LLP,45020.041666666664,19578.81,23494.57,19578.81,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89209,Other Professional Fees,Arcadis LLP,45020.041666666664,16540.08,19848.11,16540.08,
