Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21101,R&M - Buildings - Planned,C & M Water Ltd,45125.041666666664,-2303.72,2763.26,2302.72
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21101,R&M - Buildings - Planned,C & M Water Ltd,45125.041666666664,2302.72,2763.26,2302.72
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21101,R&M - Buildings - Planned,C & M Water Ltd,45125.041666666664,2303.72,2763.26,2302.72
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,22002,Electricity,Edf Energy Plc,45114.041666666664,473.52,568.22,473.52
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,,45125.041666666664,-3981.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,,45125.041666666664,796.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,,45125.041666666664,3981.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Greenlaws Guesthouse,45111.041666666664,1295,1295,1295
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,TTH@IOS Limited,45125.041666666664,2250,2700,2250
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,31602,Air Travel,Advanced Fire and Security South West Ltd,45120.041666666664,975,1170,975
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,31602,Air Travel,KK Controls & Equipment Ltd,45111.041666666664,598.08,717.69,598.08
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,41304,Cleaning & Domestic Materials,Scilly Self Catering,45120.041666666664,1759.5,2111.4,1759.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,41304,Cleaning & Domestic Materials,Scilly Self Catering,45120.041666666664,1897.5,2277,1897.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,43501,External Testing & Analysis,KK Controls & Equipment Ltd,45111.041666666664,-550,666,555
