Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Subjective Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,43532,Professional Fees - Other,Cornwall Council,44770.041666666664,1567.74,1567.74,1567.74
51 Council of the Isles of Scilly,Community,Learning and Library,600210,Adult Education,43534,Licences,Cornwall Council,44756.041666666664,4023.75,4828.5,4023.75
51 Council of the Isles of Scilly,Community,Learning and Library,600212,Customer Hub,41102,Equipment Rental,Francotyp-Postalia Ltd,44757.041666666664,733.07,879.69,733.07
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,31201,Marine Gas Oil,Sibleys Fuel & Marine Services,44761.041666666664,1066.48,1279.78,1066.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,31201,Marine Gas Oil,Sibleys Fuel & Marine Services,44768.041666666664,606.09,727.31,606.09
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,43532,Professional Fees - Other,Cornwall Council,44768.041666666664,760,760,760
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities,600220,IFCA,44004,Insurance Premiums - Marine,Knighthood Insurance with Distinction,44749.041666666664,2916.66,2916.66,2916.66
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,DMF Carpentry,44747.041666666664,1200,3993.88,3993.88
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,DMF Carpentry,44747.041666666664,2793.88,3993.88,3993.88
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Harvey Rowe Plumbing,44754.041666666664,-3766.67,4100,3416.67
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Harvey Rowe Plumbing,44754.041666666664,-2100,4100,3416.67
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Harvey Rowe Plumbing,44754.041666666664,1666.67,4100,3416.67
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Harvey Rowe Plumbing,44754.041666666664,1750,4100,3416.67
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Harvey Rowe Plumbing,44754.041666666664,2100,4100,3416.67
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Harvey Rowe Plumbing,44754.041666666664,3766.67,4100,3416.67
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,,44749.041666666664,1682,3502,3502
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,,44749.041666666664,1820,3502,3502
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Peter Gilbert Plumbing & Heating,44749.041666666664,-1615.2,3055.2,2546
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Peter Gilbert Plumbing & Heating,44749.041666666664,1106,3055.2,2546
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Peter Gilbert Plumbing & Heating,44749.041666666664,1440,3055.2,2546
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21101,R&M - Buildings - Planned,Peter Gilbert Plumbing & Heating,44749.041666666664,1615.2,3055.2,2546
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Peter Gilbert Plumbing & Heating,44754.041666666664,120,664.8,554
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Peter Gilbert Plumbing & Heating,44754.041666666664,434,664.8,554
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44747.041666666664,445,534,445
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44747.041666666664,900,1080,900
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44749.041666666664,1070,1284,1070
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44749.041666666664,554,664.8,554
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44763.041666666664,554,664.8,554
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,44768.041666666664,3375,4050,3375
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600241,Private Housing,22501,Rent,One Off Payments,44757.041666666664,-2669,700,700
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600241,Private Housing,22501,Rent,One Off Payments,44757.041666666664,700,700,700
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600241,Private Housing,22501,Rent,One Off Payments,44757.041666666664,2669,700,700
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600242,Housing Staffing,21101,R&M - Buildings - Planned,Wright Construction,44763.041666666664,11380,13656,11380
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness,600243,Housing Delivery Project,43533,Professional Fees - Property Surveys,Vickery Holman Ltd,44756.041666666664,2000,2400,2000
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600250,Strategic Development SLT,12301,Training,,44768.041666666664,1329.28,1329.28,1329.28
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600260,Voucher Scheme,43512,Publicity Promotions & Marketing,Scilly Now & Then,44768.041666666664,570,570,570
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),44770.041666666664,754.47,754.47,754.47
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),44770.041666666664,5029.83,5029.83,5029.83
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Lisensing,600300,Licensing,43532,Professional Fees - Other,Cornwall Council,44756.041666666664,1200,1440,1200
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43532,Professional Fees - Other,Cornwall Council,44756.041666666664,745,894,745
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,43548,External Audit Charges,Grant Thornton Ltd,44768.041666666664,17365,20838,17365
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,49002,Miscellaneous Expenditure,Civica Uk Ltd,44756.041666666664,-4246.92,5096.3,4246.92
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,49002,Miscellaneous Expenditure,Civica Uk Ltd,44756.041666666664,4246.92,5096.3,4246.92
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600303,Corporate Management,89202,Legal Fees & Expenses,The Copyright Licensing Agency Ltd,44747.041666666664,650.43,780.52,650.43
51 Council of the Isles of Scilly,Community,Active Scilly,600313,Normandy Swimming Pool,43532,Professional Fees - Other,Davey & Gilbert Ltd,44768.041666666664,453.11,543.73,453.11
51 Council of the Isles of Scilly,Community,Active Scilly,600313,Normandy Swimming Pool,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44747.041666666664,30,588,490
51 Council of the Isles of Scilly,Community,Active Scilly,600314,Fitness Centre,41104,Equipment & Plant - Direct Purchase,Westech (Sw) Limited,44754.041666666664,-989.5,1164.5,989.5
51 Council of the Isles of Scilly,Community,Active Scilly,600314,Fitness Centre,41104,Equipment & Plant - Direct Purchase,Westech (Sw) Limited,44754.041666666664,114.5,1164.5,989.5
51 Council of the Isles of Scilly,Community,Active Scilly,600314,Fitness Centre,41104,Equipment & Plant - Direct Purchase,Westech (Sw) Limited,44754.041666666664,875,1164.5,989.5
51 Council of the Isles of Scilly,Community,Active Scilly,600314,Fitness Centre,41104,Equipment & Plant - Direct Purchase,Westech (Sw) Limited,44754.041666666664,989.5,1164.5,989.5
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44754.041666666664,-4538.89,4993.19,4538.89
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44754.041666666664,1515.53,4993.19,4538.89
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44754.041666666664,3023.36,4993.19,4538.89
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44754.041666666664,4538.89,4993.19,4538.89
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,43548,External Audit Charges,Cornwall Council,44770.041666666664,8740,8740,8740
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,44757.041666666664,-1008.81,1200.97,1000.81
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,44757.041666666664,1000.81,1200.97,1000.81
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,44757.041666666664,1008.81,1200.97,1000.81
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Human Resources,600323,Human Resources,12504,Occupational Health Charges,,44768.041666666664,660,660,660
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Human Resources,600323,Human Resources,12506,Bike 2 Work Scheme,Cycle Solutions (Cycle to Work) Ltd,44770.041666666664,80.99,1506.8,1269.17
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Human Resources,600323,Human Resources,12506,Bike 2 Work Scheme,Cycle Solutions (Cycle to Work) Ltd,44770.041666666664,1188.18,1506.8,1269.17
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Support Services,600324,Information Technology,45208,IT Software Support,Cornwall Council,44770.041666666664,57535.76,69042.91,57535.76
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,44749.041666666664,1368.36,1642.03,1368.36
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,44763.041666666664,9579,11494.8,9579
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,44770.041666666664,1881.58,2257.9,1881.58
51 Council of the Isles of Scilly,Democrative & Corporate Governance,Democrative and Corporate Governance,600334,Covid-19 Non Discretionary Grant Payments,92111,DCLG Other Non Specific Grants,One Off Payments,44743.041666666664,504090,504090,504090
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89104,Major Enhancement Works,Wright Construction,44763.041666666664,34404,41284.8,34404
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89208,Inspection / Survey Fees,British Telecommunications Plc Openreach,44756.041666666664,2135.37,2562.44,2135.37
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89209,Other Professional Fees,Currie & Brown UK Ltd,44770.041666666664,3922.5,4707,3922.5
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89301,Capital Grants Paid,,44763.041666666664,2121.93,2121.93,2121.93
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89301,Capital Grants Paid,,44763.041666666664,18817.93,18817.93,18817.93
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89301,Capital Grants Paid,Troytown Farm,44747.041666666664,8794.07,8794.07,8794.07
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,22002,Electricity,Edf Energy Plc,44785.041666666664,587.1,704.52,587.1
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,24001,Water,South West Water Ltd,44796.041666666664,644.72,644.72,644.72
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44775.041666666664,2013.76,2416.52,2013.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44775.041666666664,2013.76,2416.52,2013.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44791.041666666664,2013.76,2416.52,2013.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44798.041666666664,2013.76,2416.52,2013.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44791.041666666664,2008.14,2409.78,2008.14
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,49002,Miscellaneous Expenditure,AADNunn Energy Assessors,44796.041666666664,600,600,600
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44784.041666666664,796.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,ESPO Eastern Shires Purchasing Organisation,44798.041666666664,688.3,825.96,688.3
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44775.041666666664,30,528,440
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44789.041666666664,30,648,540
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,22002,Electricity,Edf Energy Plc,44778.041666666664,894.84,1073.8,894.84
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,Marine Management Organisation,44775.041666666664,854,854,854
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,RSK Environmental Ltd,44791.041666666664,2688.66,3226.39,2688.66
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600010,Operational R & M Services,41104,Equipment & Plant - Direct Purchase,Flowplant Group Ltd,44782.041666666664,1757.14,2108.56,1757.14
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600012,Highways,31102,Vehicle Repair and Maintenance,Munihire Ltd,44791.041666666664,1779.29,2135.15,1779.29
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600013,Open Spaces & Beaches,49369,Pest Control,Scillonian Trading Ltd,44789.041666666664,50,648,540
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600013,Open Spaces & Beaches,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44775.041666666664,30,528,440
51 Council of the Isles of Scilly,"Place, Economy and Environment",Operational Services,600013,Open Spaces & Beaches,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44789.041666666664,30,648,540
51 Council of the Isles of Scilly,Community,Fire and Rescue,600030,Fire & Rescue,21124,R&M - Planned Fire equip servicing,1A Engineering,44803.041666666664,6742.5,6742.5,6742.5
51 Council of the Isles of Scilly,Community,Fire and Rescue,600030,Fire & Rescue,21124,R&M - Planned Fire equip servicing,1A Engineering,44803.041666666664,2650.11,2650.11,2650.11
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,22501,Rent,Duchy Of Cornwall,44803.041666666664,1687.5,1687.5,1687.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,22501,Rent,Duchy Of Cornwall,44803.041666666664,999.66,999.66,999.66
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Harrison Fork Trucks Ltd,44798.041666666664,-1034.32,1241.3,1034.42
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Harrison Fork Trucks Ltd,44798.041666666664,1034.32,1241.3,1034.42
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Harrison Fork Trucks Ltd,44798.041666666664,1034.42,1241.3,1034.42
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Kellands (Plant Sales) Ltd,44803.041666666664,836.59,1003.91,836.59
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44803.041666666664,-2995.13,3430.34,2995.13
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44803.041666666664,1092.15,3430.34,2995.13
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44803.041666666664,1902.98,3430.34,2995.13
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,44803.041666666664,2995.13,3430.34,2995.13
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,31102,Vehicle Repair and Maintenance,Vincent Tractors Ltd,44784.041666666664,792.53,951.03,792.53
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,44789.041666666664,3535.69,4242.84,3535.69
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,44789.041666666664,14448.11,17337.7,14448.11
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44775.041666666664,290,528,440
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57050,Pest Control Contractor - Private Contractors,Scillonian Trading Ltd,44789.041666666664,290,648,540
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,44791.041666666664,1265.5,1265.5,1265.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,,44782.041666666664,1000,1000,1000
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Suez Recycling and Recovery UK Ltd (was Sita UK Ltd),44803.041666666664,29062.62,34875.14,29062.62
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Tresco Estate,44803.041666666664,3033.33,3640,3033.33
