Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
05/01/2024,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,MONEY AND PENSIONS SERVICE,"£23,128,000"
12/01/2024,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£20,000,000"
03/01/2024,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£11,974,906"
29/01/2024,DIG - WIFI REFRESH DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,SOFTCAT PLC,"£9,484,533"
19/01/2024,DIG SAS VIYA,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SAS SOFTWARE LTD,"£7,574,069"
26/01/2024,PCP ESTATES SECURITY DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD-2WM,"£6,353,887"
12/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD - 2WM,"£5,413,278"
09/01/2024,CHG UC PROGRAMME NON-STRAND,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,CITIZENS ADVICE,"£5,175,075"
11/01/2024,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,"£3,386,125"
24/01/2024,STR HEALTH & WELLBEING MESOTHELIOMA 2014,EXP - SOCIAL ASSISTANCE BENEFITS - 2014 DIFFUSE MESOTHELIOMA SCHEME,DAVIES GROUP LIMITED,"£3,000,000"
11/01/2024,CMG OPS EXTERNAL CONTRACTS/SLAS EASTERN PAYMENTS NI,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£2,847,921"
09/01/2024,CMG OPS EXTERNAL CONTRACTS/SLAS EASTERN PAYMENTS NI,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£2,774,257"
25/01/2024,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,PEGASYSTEMS LTD,"£2,761,093"
17/01/2024,STR PENSION PROTECTION FUND,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,PENSION PROTECTION FUND,"£2,722,000"
