Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852821,"1,097.03",Revenue,Redacted personal data,29826
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852823,"1,020.00",Revenue,Redacted personal data,29827
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852825,725.68,Revenue,Redacted personal data,30639
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852826,553.20,Revenue,Redacted personal data,32401
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852827,643.32,Revenue,Redacted personal data,36853
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852828,"1,150.91",Revenue,Redacted personal data,38671
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852831,562.21,Revenue,Redacted personal data,41050
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852832,723.09,Revenue,Redacted personal data,43403
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852834,"1,057.45",Revenue,Redacted personal data,47042
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852841,903.24,Revenue,Redacted personal data,53345
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852844,"1,338.57",Revenue,Redacted personal data,60823
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852847,"1,691.24",Revenue,Redacted personal data,62900
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852857,"1,351.26",Revenue,Redacted personal data,70122
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852862,952.31,Revenue,Redacted personal data,72650
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852867,643.93,Revenue,Redacted personal data,74166
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852870,"1,109.07",Revenue,Redacted personal data,74782
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852874,621.24,Revenue,Redacted personal data,80599
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852878,589.60,Revenue,Redacted personal data,81533
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852879,590.33,Revenue,Redacted personal data,81815
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852881,852.23,Revenue,Redacted personal data,82245
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852889,"4,211.55",Revenue,Redacted personal data,84326
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852893,"1,623.60",Revenue,Redacted personal data,85418
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852894,757.61,Revenue,Redacted personal data,85852
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852899,545.08,Revenue,Redacted personal data,87143
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852902,932.00,Revenue,Redacted personal data,87982
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852909,525.25,Revenue,Redacted personal data,89053
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852912,"1,253.18",Revenue,Redacted personal data,89349
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852916,"1,069.56",Revenue,Redacted personal data,89641
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852926,"2,224.32",Revenue,Redacted personal data,90567
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852932,"1,015.59",Revenue,Redacted personal data,90756
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,03/03/2025,9804852937,564.54,Revenue,Redacted personal data,91036
