Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Net Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Abacus Nursery,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000005|S0018695|5637147586,32579.82,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,ABBEY PRE-SCHOOL,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000006|S0018670|5637147587,19383.76,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,2 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000007|S0031568|5637147588,702.7,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,ACORN NURSERY SCHOOL,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000008|S0018494|5637147589,36698.5,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Acorns Pre-School,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000009|S0018650|5637147590,9602.78,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000010|S0010069|5637147591,1632.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,EY Additional Hours,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000011|S0024291|5637147592,1073.21,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,All Hallows School Trust Ltd,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000012|S0006328|5637147593,5800.3,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000013|S0020791|5637147594,1441.74,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000014|S0022248|5637147595,2762.1,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000015|S0026842|5637147936,3063.42,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000016|S0030153|5637147937,639.91,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000017|S0025829|5637147938,3066.56,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,APPLETREE NURSERY LTD,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000018|S0018634|5637147939,40568.4,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Ashill Primary School and Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000019|S0018624|5637147940,6560.73,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Avishayes Primary & Early Years Cen,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000020|S0007177|5637147941,20037.53,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Margaret Hartwell (Babushka TLC),2023-04-12 00:00:00,SC01-000000180|SC-SID-100000021|S0028974|5637147942,8590.09,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,The Wincanton Early Years Centre Lt,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000022|S0015085|5637147943,46850.68,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Barton St David Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000023|S0018498|5637147944,5674.86,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,BECKINGTON PRE-SCHOOL GROUP,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000024|S0018500|5637147945,7403.27,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,The Beehive Day Nursery Ltd,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000025|S0021951|5637147946,45056.14,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000026|S0029020|5637147947,753.3,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Bishops Hull Community Playgroup,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000027|S0018503|5637147948,10568.88,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Bishops Lydeard Church School Nurse,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000028|S0013564|5637147949,7871.99,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Bizzi Kids Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000029|S0018667|5637147950,10003.5,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Blackdown Children's Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000030|S0020229|5637147951,24324.62,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Bouncy Bear Childcare,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000031|S0005462|5637147952,36975.2,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,The Brambles Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000032|S0012151|5637147953,35872.34,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Brent Knoll Primary School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000033|S0013239|5637147954,22904.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Bridgwater & Taunton College,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000034|S0001301|5637147955,38177.45,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Isambard Kingdom Brunel Primary School Blackdown Education Partnership,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000035|S0014355|5637147956,43274.81,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Bright Stars Childcare Ltd,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000036|S0020687|5637147957,71613.85,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,BROCK HOUSE DAY NURSERY LTD,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000037|S0018738|5637147958,61000.69,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,BROOK GREEN EARLY YEARS,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000038|S0018726|5637147959,16356.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Brookside Academy Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000039|S0021663|5637147960,56710.19,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Brue Farm Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000040|S0020389|5637147961,27966.27,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Buckland St Mary Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000041|S0018505|5637147962,4780.12,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,The Bush Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000042|S0018682|5637147963,9960.75,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Axbridge CofE First School Academy,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000043|S0007966|5637147964,15931.25,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Buttercups Nursery School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000044|S0023961|5637147965,54242.24,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Butterflies Day Nursery @ Bower,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000045|S0018621|5637147966,48728.75,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Butterflies Day Nursery @ Woodlands,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000046|S0018716|5637147967,54779.51,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Cannington Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000047|S0018511|5637147968,22360.31,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000048|S0023142|5637147969,3821.34,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000049|S0020911|5637147970,838.37,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000050|S0022344|5637147971,1812.11,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000051|S0023294|5637147972,4214.3,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000052|S0027450|5637147973,790.97,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Chard NNI & Schools Out,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000053|S0002010|5637147974,35645.4,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,CHARD SCHOOL,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000054|S0018652|5637147975,5913.41,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000055|S0015593|5637147976,2145.24,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000056|S0020726|5637147977,1632.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Cheddar First School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000057|S0014077|5637147978,37602.23,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Cheekie Monkeys (Ilminster) Limited,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000058|S0009057|5637147979,4090.84,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Cheeky Cherubs Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000059|S0005218|5637147980,41569.31,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Cheeky Chimps Playgroup,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000060|S0018514|5637147981,15767.34,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000061|S0028480|5637147982,732.38,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,St Andrews Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000062|S0018681|5637147983,37861.68,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Chuggers Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000063|S0008896|5637147984,22346.6,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Churchfield Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000064|S0010151|5637147985,49114.98,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Churchinford Preschool,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000065|S0018518|5637147986,6783.8,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000066|S0021664|5637147987,1506.6,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000067|S0031073|5637147988,5607.9,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000069|S0028058|5637147990,1841.4,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Comeytrowe Under Fives Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000070|S0018519|5637147991,41672.14,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,COMMUNITY KIDS PLAYGROUP (BRUTON),2023-04-12 00:00:00,SC01-000000180|SC-SID-100000071|S0018520|5637147992,11697.08,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Wincanton Community Venture,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000072|S0036997|5637147993,34199.82,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Countess Gytha FSU,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000073|S0013098|5637147994,17877.98,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Court Fields Community Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000075|S0018521|5637147996,26080.88,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Cranmore & Doulting Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000076|S0018685|5637147997,7219.02,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Creech St Michael Community Pre-Sch,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000077|S0018693|5637147998,23509.24,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Crewkerne Methodist Church Pre-Scho,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000078|S0018714|5637147999,8506.87,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,S & D Childcare Ltd t/a Cuddles & Care Children's Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000079|S0008688|5637148000,19354.59,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000080|S0021520|5637148001,816.08,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Dolphins Childcare Centre,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000081|S0006494|5637148002,63475.81,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Draycott and Rodney Stoke First Sch,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000082|S0014076|5637148003,11824.72,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,DUNKERY PRE SCHOOL,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000083|S0018692|5637148004,7118.69,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Dunster Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000084|S0018524|5637148005,13468.52,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,EAGER BEAVERS NURSERY GROUP,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000085|S0018623|5637148006,8654.58,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,East Brent Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000086|S0013902|5637148007,6590.34,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,EAST COKER PLAYGROUP,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000087|S0018526|5637148008,9784.6,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000089|S0021025|5637148010,3419.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,FINCA TLC Limited (Emily Grieve),2023-04-12 00:00:00,SC01-000000180|SC-SID-100000090|S0015413|5637148011,4733.24,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000091|S0032099|5637148012,1594.49,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Millmoots Little Boots Childcare,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000092|S0013985|5637148013,1496.14,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,EXPLORERS,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000093|S0018705|5637148014,8817.5,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,FAIR START NURSERY LTD,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000094|S0018696|5637148015,19007.26,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Fairfield Montessori School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000095|S0018628|5637148016,39347.45,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000096|S0028184|5637148017,2448.23,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,First Class Nurseries,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000097|S0018704|5637148018,45618.41,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Neroche Primary School Blackdown Education Partnership,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000098|S0014584|5637148019,19352.03,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,FIRST STEPS PRE-SCHOOL,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000099|S0018528|5637148020,39521.26,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,First Steps Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000100|S0018649|5637148021,33082.09,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Folly Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000101|S0026877|5637148022,18309.31,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Footprints Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000102|S0024612|5637148023,14921.17,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Forget Me Not Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000103|S0016168|5637148024,24798.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000104|S0022283|5637148025,1866.51,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,The Garden Nursery Frome Ltd,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000105|S0016236|5637148026,30330.72,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Hassockmoor Childcare & Out of Scho,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000106|S0015308|5637148027,31652.79,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Hatch Beauchamp C of E Primary Scho,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000107|S0012551|5637148028,2415.74,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000108|S0021906|5637148029,1590.3,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,KINGS SCHOOL BRUTON,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000109|S0018653|5637148030,17288.24,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000110|S0023047|5637148031,991.85,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000111|S0022771|5637148032,3130.38,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,HIGH HAM PRE-SCHOOL,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000112|S0018536|5637148033,17717.36,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Holway Park Pre-School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000113|S0033079|5637148034,14022.72,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Holy Trinity Primary School,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000114|S0011789|5637148035,23861.04,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Holyrood Playgroup,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000115|S0018538|5637148036,6535.62,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Rose Cutters Childcare,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000116|S0021020|5637148037,36010.25,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Hornbeams @ Hemington Primary,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000117|S0012670|5637148038,6556.68,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,HORRINGTON HOUSE PRE SCHOOL,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000118|S0018662|5637148039,8658.77,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Hunnybears Day Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000119|S0018710|5637148040,16320.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Jabberwocky Children's Nursery Ltd,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000120|S0011042|5637148041,61095.9,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000121|S0025460|5637148042,1632.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Willows Childcare,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000122|S0020321|5637148043,1397.79,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000123|S0011585|5637148044,2125.98,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000124|S0030178|5637148045,690.53,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000125|S0028091|5637148046,2611.44,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000126|S0021536|5637148047,795.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Jigsaw Preschool,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000128|S0015168|5637148049,21554.35,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000129|S0017374|5637148050,1860.24,TPP Payments To Clients - Nursery Voucher Grants
