Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,Baltonsborough Primary School,Baltonsborough Village Hall And Playing Field Trust,2023-07-03 00:00:00,SC01-000027896|SC-ISC-100015032|S0000013|5642151640,1060.15,Grounds Maintenance - Planned Grounds Maintenance
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Devon County Council,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015050|S0002504|5642152508,563,Training - Course Fees
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,TTS Group Ltd,2023-07-03 00:00:00,SC01-000027509|SC-ISC-100014911|S0002739|5642084111,789.7,Fixtures & Fitting - Fixtures & Fittings
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,TTS Group Ltd,2023-07-03 00:00:00,SC01-000027509|SC-ISC-100014912|S0002739|5642084112,729.7,Fixtures & Fitting - Fixtures & Fittings
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,TTS Group Ltd,2023-07-03 00:00:00,SC01-000027509|SC-ISC-100014913|S0002739|5642084113,1019.85,Fixtures & Fitting - Fixtures & Fittings
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,SOMERSET COUNTY COUNCIL,2023-07-03 00:00:00,SC01-000027510|SC-ISC-100014914|S0002850|5642084114,630.01,Equip Furn Mat - Equipment - Teaching (schools only)
Somerset Council,2023-09-30 00:00:00,Butleigh Primary School,Teaching Personnel Ltd,2023-07-03 00:00:00,SC01-000027033|SC-ISC-100014729|S0002959|5642054611,763.4,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Westonzoyland Primary School,WFL (UK) Ltd,2023-07-03 00:00:00,SC01-000027539|SC-ISC-100014959|S0002976|5642083687,2695.08,Energy - Oil
Somerset Council,2023-09-30 00:00:00,Chewton Mendip Primary School,PGL TRAVEL LTD,2023-07-03 00:00:00,SC01-000027957|SC-ISC-100015074|S0003014|5642152533,1215,Sup & Serv Oth - Visits & Activities
Somerset Council,2023-09-30 00:00:00,Stoberry Park Primary School,Travel Class Ltd t/a JCA Adventure,2023-07-03 00:00:00,SC01-000027547|SC-ISC-100014972|S0003324|5642084770,1520,Sup & Serv Oth - Visits & Activities
Somerset Council,2023-09-30 00:00:00,Westlands - Front of House,BFS Group Ltd t/a Bidfood,2023-07-03 00:00:00,SC01-000022413|14461|S0003466|5642153336,668.46,Catering - Catering Provisions
Somerset Council,2023-09-30 00:00:00,CLA - Yeovil,NBA Solutions Ltd,2023-07-03 00:00:00,SC01-000027313|17683|S0003675|5642150992,2941.8,Fees & Hired - Consultant & Professional Fees
Somerset Council,2023-09-30 00:00:00,Taunton Deane Partnership College,Ecoserv FM Group Limited,2023-07-03 00:00:00,SC01-000028019|SC-ISC-100015078|S0003701|5642153188,604.41,Cleaning & Domestic Supplies - Contract Cleaning
Somerset Council,2023-09-30 00:00:00,Adoption Support Fund SGO,West Country Self Drive Ltd t/a Dorset Vehicle Rentals,2023-07-03 00:00:00,SC01-000009906|6371|S0003703|5642084896,1440,Car Allowances - Vehicle Mileage Allowance
Somerset Council,2023-09-30 00:00:00,Wadham Secondary School,West Country Self Drive Ltd t/a Dorset Vehicle Rentals,2023-07-03 00:00:00,SC01-000020931|SC-ISC-100010569|S0003703|5641156708,-628.59,Direct Transport - Unscheduled Repair and Maintenance
Somerset Council,2023-09-30 00:00:00,St Johns Primary Sch (Frome),Ruth Miskin Literacy Limited,2023-07-03 00:00:00,SC01-000027520|SC-ISC-100014937|S0004023|5642083434,1912.5,Subscriptions - Learning Resources
Somerset Council,2023-09-30 00:00:00,Westonzoyland Primary School,Hays Specialist Recruitment Ltd,2023-07-03 00:00:00,SC01-000027539|SC-ISC-100014955|S0004148|5642083683,949.95,Employee Agency
Somerset Council,2023-09-30 00:00:00,Dunster Primary School,RM Education Ltd,2023-07-03 00:00:00,SC01-000027567|SC-ISC-100014995|S0004300|5642085041,1814.56,Subscriptions - Learning Resources
Somerset Council,2023-09-30 00:00:00,BEREAVEMENT SERVICES - TAUNTON,TotalEnergies Gas & Power Ltd,2023-07-03 00:00:00,SC01-000023287|15022|S0004359|5642151059,5672.92,Energy - Gas
Somerset Council,2023-09-30 00:00:00,St Bartholomews Primary School,ParentPay Limited,2023-07-03 00:00:00,SC01-000027509|SC-ISC-100014908|S0004301|5642084108,535.7,Print Stationery Office Exp - Stationery
Somerset Council,2023-09-30 00:00:00,Ilchester Primary School,Yorkshire Purchasing Organisation,2023-07-03 00:00:00,SC01-000028028|SC-ISC-100015103|S0004372|5642153281,970.04,Equip Furn Mat - Equipment - Teaching (schools only)
Somerset Council,2023-09-30 00:00:00,Taunton Deane Partnership College,Reach Alternative Education SW Ltd,2023-07-03 00:00:00,SC01-000028019|SC-ISC-100015084|S0005636|5642153194,1155,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Taunton Deane Partnership College,Reach Alternative Education SW Ltd,2023-07-03 00:00:00,SC01-000028019|SC-ISC-100015085|S0005636|5642153195,1155,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Beckington Primary School,Direct Cleaning Services,2023-07-03 00:00:00,SC01-000027073|SC-ISC-100014797|S0006345|5642058099,814.38,Cleaning & Domestic Supplies - Contract Cleaning
Somerset Council,2023-09-30 00:00:00,Beckington Primary School,Direct Cleaning Services,2023-07-03 00:00:00,SC01-000027073|SC-ISC-100014798|S0006345|5642058101,814.38,Cleaning & Domestic Supplies - Contract Cleaning
Somerset Council,2023-09-30 00:00:00,Chewton Mendip Primary School,Direct Cleaning Services,2023-07-03 00:00:00,SC01-000027957|SC-ISC-100015070|S0006345|5642152529,1278.3,Cleaning & Domestic Supplies - Contract Cleaning
Somerset Council,2023-09-30 00:00:00,St John's School Wellington,Diocese of Bath & Wells,2023-07-03 00:00:00,SC01-000027412|SC-ISC-100014863|S0006861|5642080031,1837.66,Premises Other - Building Work - Revenue
Somerset Council,2023-09-30 00:00:00,North Newton Primary School,Eastern Shires Purchasing Organisat,2023-07-03 00:00:00,SC01-000027764|SC-ISC-100015052|S0007257|5642152510,733.8,Equip Furn Mat - Equipment - Teaching (schools only)
