Organisation Name,Organisation Code,Organisational Structure Tier 1(T),Cost Centre(T),Cost Centre,Supplier ID(T),Supplier ID,Pay Date,Trans Number,Net Amount,Account(T),Account,Proclass Level 1,Proclass Level 1 - code,Proclass Level 2,Proclass Level 2 - code,Proclass Level 3,Proclass Level 3 - code
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,HRA,C300012,Forhousing,12508695,45201,12300198377,404308.36,"Conversion, Renovation & Improvement",C1101,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,PPP Unitary Payment Charges,R304451,Cobco 450 Ltd,12503046,45201,12300198379,213142.64,Services - Fees and Charges,R4401,Financial Services,P1011,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Comensura,12503843,45201,12300199500,179383.07,Agency Staff,R1100,Human Resources,P1018,Temporary & Agency Staff,P2157,Temporary & Agency Staff,P3215
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Northwich Adult Community Social Care team,R202105,AMG Nursing & Care Services,12501702,45201,129000469034,161923.3099999999,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Water Plus Limited,12513845,45201,12300199496,101243.43,Water Services,R2400,Utilities,P1029,Water,P2222,Water,P3385
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Property,C300010,Gareth Morris Construction Ltd,12533357,45201,12300196135,37095.05,"Plant, Equipment & Machinery",C3000,"Works - Construction, Repair & Maintenance",P1031,Buildings,P2231,Construction,P3394
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,ADF - recharge to BCF code,R202122,AMG Nursing & Care Services,12501702,45201,129000469033,36425,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,Esland North Limited,12529140,45201,12300200558,22321.06,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200239,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200240,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200304,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200336,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200356,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200366,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200384,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200392,21056,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,West Kirby Residential School,12500422,45201,12300200289,16058,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,Chaigeley Educational Foundation Ltd,12506142,45201,12300200313,14140,Services - Fees and Charges,R4401,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Learning Disability CH&EP Team,R202108,Focus Care Supported Living Limited,12530228,45201,129000469037,14110.41,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Adult,P1024,Domiciliary Care,P2188,Domiciliary Care,P3280
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,AJ And Friends C.I.C,12527571,45201,12300200429,13020,Services - Fees and Charges,R4401,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,AJ And Friends C.I.C,12527571,45201,12300200428,11067,Services - Fees and Charges,R4401,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Northwich Adult Community Social Care team,R202105,ICS Operations Limited T/A Xyla Health and Social,12531469,45201,12300200207,8914,Service Charges,R2205,Human Resources,P1018,Recruitment & Assessment,P2156,Recruitment & Assessment,P3214
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Public Health,Equality and Diversity,R203123,Hong Kong In Chester,12531803,45201,12300199925,7500,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,AJ And Friends C.I.C,12527571,45201,12300200278,6954.5,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Property and Systems,R305202,Idox Software Limited,12503055,45201,12300200337,5250,Computer Software,R4531,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,Keys PCE Limited,12509241,45201,12300200571,5227.66,Services - Fees and Charges,R4401,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Specialist Needs,P3334
