Organisation Name,Organisation Code,Organisational Structure Tier 1(T),Cost Centre(T),Cost Centre,Supplier ID(T),Supplier ID,Pay Date,Trans Number,Net Amount,Account(T),Account,Proclass Level 1,Proclass Level 1 - code,Proclass Level 2,Proclass Level 2 - code,Proclass Level 3,Proclass Level 3 - code
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Mersey Forest General,R308800,City of Trees Trust,12535393,45293,12300217155,312885,Grant Payments,R4700,Horticultural,P1016,Trees & Shrubs,P2145,Trees & Shrubs,P3203
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Mersey Forest General,R308800,Wirral Borough Council,12502152,45293,12300216853,226889.71,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Emotional Health and Wellbeing Service,R201109,Polaris Children’s Services Limited,12504757,45293,12300216556,100500,Services - Fees and Charges,R4401,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Public Health,Integrated Substance Misuse Service,R203112,VIA Community Ltd,12517869,45293,12300217703,100366,Services - Fees and Charges,R4401,Social Community Care Supplies & Services - Adult,P1024,Alcohol & Drug Rehabilitation,P2183,Alcohol & Drug Rehabilitation,P3275
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,3+4 Year Old Funding,R161041,Ashton House Nursery Ltd,12501418,45293,129000504761,99204.34,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Options,R306005,O P H Property Holdings Limited (Quarterz Ltd),12523472,45293,12300221091,76854.17,Accommodation Costs,R4900,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Northgate Market Chester,R309256,Savills (UK) Limited,12525415,45293,12300214985,54566,Service Charges,R2205,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing,C300011,Forhousing,12508695,45293,12300215255,41325.9,"Conversion, Renovation & Improvement",C1101,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Strategy (Homelessness - Accommodation Security),R304460,Cowest Services Limted T/A Qwest Services,12505847,45293,12300217532,40010.82,Services - Security,R4405,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Adults,Ellesmere Port Adult Community Social Care Team,R202101,Millbrook Healthcare Ltd,12533755,45293,12300217972,39304.44,Service Charges,R2205,Social Community Care Supplies & Services - Adult,P1024,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
