Cost Centre,Supplier,Date,Account,Amount
Administration Services,ABBOTT TOXICOLOGY LTD,19/04/2023,Medical & Hygiene Supplies,1800.00
Administration Services,ACS TECHNOLOGY GROUP LTD,24/05/2023,Stationery & Office Consumables,918.20
Administration Services,ADECCO UK LTD,05/04/2023,Agency / Temp Staff,1809.10
Administration Services,ADECCO UK LTD,05/04/2023,Agency / Temp Staff,1644.01
Administration Services,ADECCO UK LTD,19/04/2023,Agency / Temp Staff,1097.26
Administration Services,ADECCO UK LTD,19/04/2023,Agency / Temp Staff,877.80
Administration Services,ADECCO UK LTD,03/05/2023,Agency / Temp Staff,877.80
Administration Services,ADECCO UK LTD,10/05/2023,Agency / Temp Staff,987.53
Administration Services,ADECCO UK LTD,17/05/2023,Agency / Temp Staff,1170.41
Administration Services,ADECCO UK LTD,17/05/2023,Agency / Temp Staff,936.32
Administration Services,ADECCO UK LTD,24/05/2023,Agency / Temp Staff,687.61
Administration Services,ADECCO UK LTD,14/06/2023,Agency / Temp Staff,577.89
Administration Services,ADECCO UK LTD,28/06/2023,Agency / Temp Staff,907.06
Administration Services,ADECCO UK LTD,28/06/2023,Agency / Temp Staff,1155.78
Administration Services,ANTALIS LTD,05/04/2023,Paper (Photocopiers & Printers),1019.00
Administration Services,BIDFOOD LTD,10/05/2023,Detained Persons - Meals / Refreshments,154.20
Administration Services,CHARLES FELLOWS SUPPLIES LTD,24/05/2023,Detained Persons - Clothing,133.50
Administration Services,FAST KEY SERVICES LIMITED,23/06/2023,Fixtures & Fittings,631.20
Annual Vehicle Replacement,BLUELITE GRAPHICS LTD,05/04/2023,Vehicles - Road,2474.00
Annual Vehicle Replacement,BLUELITE GRAPHICS LTD,12/04/2023,Vehicles - Road,2998.50
Annual Vehicle Replacement,BMW GROUP (MAIN),13/04/2023,Vehicles - Road,23780.59
Annual Vehicle Replacement,BMW GROUP (PARK LANE),21/06/2023,Vehicles - Road,23780.59
Annual Vehicle Replacement,BMW GROUP (PARK LANE),28/06/2023,Vehicles - Road,23780.59
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,07/06/2023,Vehicles - Road,22816.22
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,07/06/2023,Vehicles - Road,22816.22
Annual Vehicle Replacement,INCHCAPE RETAIL LTD (MERCEDES) WARRINGTON,28/06/2023,Vehicles - Road,32113.00
Annual Vehicle Replacement,INSTRUMENT REPAIR SERVICE (NOTTINGHAM) LTD,14/06/2023,Vehicles - Road,616.00
Annual Vehicle Replacement,INTOMOVE LTD,19/04/2023,Vehicles - Road,6782.71
Annual Vehicle Replacement,INTOMOVE LTD,19/04/2023,Vehicles - Road,1050.00
Annual Vehicle Replacement,INTOMOVE LTD,19/04/2023,Vehicles - Road,17458.14
Annual Vehicle Replacement,INTOMOVE LTD,26/04/2023,Vehicles - Road,13565.42
Annual Vehicle Replacement,INTOMOVE LTD,03/05/2023,Vehicles - Road,17458.14
Annual Vehicle Replacement,INTOMOVE LTD,31/05/2023,Vehicles - Road,32913.81
