Cost Centre,Supplier,Date,Account,Amount
Administration Services,ADECCO UK LTD,11/07/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,12/07/2023,Agency / Temp Staff,1097.26
Administration Services,ADECCO UK LTD,19/07/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,26/07/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,02/08/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,09/08/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,09/08/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,16/08/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,23/08/2023,Agency / Temp Staff,530.34
Administration Services,ADECCO UK LTD,30/08/2023,Agency / Temp Staff,1159.52
Administration Services,ADECCO UK LTD,20/09/2023,Agency / Temp Staff,1078.97
Administration Services,ADECCO UK LTD,20/09/2023,Agency / Temp Staff,1078.97
Administration Services,ADECCO UK LTD,20/09/2023,Agency / Temp Staff,1075.32
Administration Services,ADECCO UK LTD,27/09/2023,Agency / Temp Staff,1157.88
Administration Services,SOLON SECURITY LTD,13/09/2023,Specialist Equipment,304.00
Annual Vehicle Replacement,BLUELITE GRAPHICS LTD,26/07/2023,Vehicles - Road,2211.78
Annual Vehicle Replacement,BLUELITE GRAPHICS LTD,30/08/2023,Vehicles - Road,1310.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,16/08/2023,Vehicles - Road,34296.19
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,16/08/2023,Vehicles - Road,34296.19
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,30/08/2023,Vehicles - Road,28369.38
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,30/08/2023,Vehicles - Road,26123.79
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,20/09/2023,Vehicles - Road,26123.79
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,20/09/2023,Vehicles - Road,28369.38
Annual Vehicle Replacement,INCHCAPE RETAIL LTD (MERCEDES) NOTTINGHAM,07/07/2023,Vehicles - Road,32113.00
Annual Vehicle Replacement,INTOMOVE LTD,05/07/2023,Vehicles - Road,13565.42
Annual Vehicle Replacement,INTOMOVE LTD,26/07/2023,Vehicles - Road,1350.00
Annual Vehicle Replacement,INTOMOVE LTD,02/08/2023,Vehicles - Road,5651.70
Annual Vehicle Replacement,INTOMOVE LTD,20/09/2023,Vehicles - Road,19648.55
Annual Vehicle Replacement,JRM PLASTICS LTD,09/08/2023,Vehicles - Road,2600.00
Annual Vehicle Replacement,MERCEDES-BENZ UK LTD,05/07/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MERCEDES-BENZ UK LTD,05/07/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MERCEDES-BENZ UK LTD,05/07/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MERCEDES-BENZ UK LTD,05/07/2023,Vehicles - Road,44252.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,19/07/2023,Vehicles - Road,28732.30
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,24/07/2023,Vehicles - Road,10699.46
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,10699.46
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,23/08/2023,Vehicles - Road,10699.46
