Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,03/01/2023,601479861,1600.00,0.00,1600.00,Ans Property Investments Ltd,People (Adults) - CHSC,Rents
Salford City Council,03/01/2023,601479862,1600.00,0.00,1600.00,Ans Property Investments Ltd,People (Adults) - CHSC,Rents
Salford City Council,03/01/2023,1600702187,7890.00,1315.00,6575.00,Broxap Ltd,Place Directorate,Equipment Purchase
Salford City Council,03/01/2023,1600702156,1586.93,264.49,1322.44,Capita Business Services Ltd,Place Directorate,Printing & Photocopying
Salford City Council,03/01/2023,601479867,1141.05,0.00,1141.05,Care Today Childrens Services,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/01/2023,601479869,8200.00,0.00,8200.00,Care Today Childrens Services,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/01/2023,601479889,3709.01,115.01,3594.00,Dartington Hall Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/01/2023,601479866,179276.30,29864.31,149411.99,Drax Energy Solutions,Place Directorate,Electricity
Salford City Council,03/01/2023,601479864,401079.52,49588.79,351490.73,Drax Energy Solutions,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,03/01/2023,601479878,511.80,85.30,426.50,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,03/01/2023,601479884,572.55,95.43,477.12,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,03/01/2023,601479881,609.95,101.66,508.29,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,03/01/2023,601479877,629.07,104.85,524.22,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,03/01/2023,601479879,629.30,104.89,524.41,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,03/01/2023,1600702027,110880.00,0.00,110880.00,Gmw Mental Health Nhs Ft,Public Health,Payments to Agencies
Salford City Council,03/01/2023,1600702178,3718.60,619.77,3098.83,J Fletcher Engineers Ltd,Place Directorate,UV Heating Repairs
Salford City Council,03/01/2023,1600702182,5984.40,997.40,4987.00,J Fletcher Engineers Ltd,Capital Expenditure,Works & Building
Salford City Council,03/01/2023,1600702155,1620.05,270.01,1350.04,Lightoaks Garage Ltd,Place Directorate,VMS Materials (Non Stock)
Salford City Council,03/01/2023,601479868,85713.95,14285.66,71428.29,Oxford Innovation Ltd Re: Salford I,Place Directorate,Other Professional Fees
Salford City Council,03/01/2023,601479778,10956.00,0.00,10956.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,03/01/2023,601479779,17605.00,0.00,17605.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,03/01/2023,601479752,1808.74,301.46,1507.28,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,03/01/2023,601479753,1808.74,301.46,1507.28,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,03/01/2023,601479863,1600.00,0.00,1600.00,Properties Beyond Investment & Mana,People (Adults) - CHSC,Rents
Salford City Council,03/01/2023,1600702175,1430.00,0.00,1430.00,Redacted Data,People (Childrens) Service Group,Children & Young Persons Act-Section 17
Salford City Council,03/01/2023,601479860,1500.00,0.00,1500.00,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,03/01/2023,601479871,21896.58,0.00,21896.58,Reed Specialist Recruitment Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/01/2023,601479870,113502.59,18917.03,94585.56,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,03/01/2023,1600702029,23400.00,0.00,23400.00,Salford Community & Voluntary Services,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/01/2023,1600702030,55000.00,0.00,55000.00,Salford Community & Voluntary Services,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/01/2023,1600702031,448706.00,0.00,448706.00,Salford Royal Nhs Foundation Trust,Public Health,Payments to Agencies
Salford City Council,03/01/2023,1600702088,11220.00,1870.00,9350.00,Social Value Portal Ltd,Capital Expenditure,External Fees - Other
Salford City Council,03/01/2023,1600702179,2684.40,447.40,2237.00,Soft Surfaces Limited,Capital Expenditure,Payments to Contractors - Improvements
Salford City Council,03/01/2023,1600702181,3315.60,552.60,2763.00,Soft Surfaces Limited,Capital Expenditure,Works & Building
Salford City Council,03/01/2023,1600702022,248248.05,0.00,248248.05,St John Vianney School,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,04/01/2023,1600701884,546.00,91.00,455.00,Bid Group Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,04/01/2023,1600702247,583.69,97.28,486.41,Click Fire & Security Ltd - 24 Acco,Place Directorate,Works & Building
Salford City Council,04/01/2023,601479952,575.00,0.00,575.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,04/01/2023,601479973,7702.00,0.00,7702.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,04/01/2023,601479930,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479897,545.02,90.84,454.18,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601480030,546.20,91.03,455.17,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479908,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,04/01/2023,601479982,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
