Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/11/2023,601505848,763.5,127.25,636.25,Premier Education,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505849,763.5,127.25,636.25,Premier Education,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505838,-798.96,-133.16,-665.8,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505834,998.7,166.45,832.25,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505836,998.7,166.45,832.25,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505837,1997.4,332.9,1664.5,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505846,539.1,89.85,449.25,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,601505806,1056,176,880,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/11/2023,6003802475,4300,0,4300,One4All,Service Reform (Corp Bus & Transform),Clothing & Uniforms
Salford City Council,01/11/2023,6003802451,769,0,769,Www.Johnlewis.Com,People (Childrens) Service Group,Clothing & Uniforms
Salford City Council,01/11/2023,1600718937,1992,0,1992,Toilets On The Go,Service Reform (Corp Bus & Transform),Contract Hire
Salford City Council,01/11/2023,6003802429,535.2,0,535.2,A. Venning Limited,Place Directorate,Equipment Purchase
Salford City Council,01/11/2023,6003802506,537.6,0,537.6,A. Venning Limited,Place Directorate,Equipment Purchase
Salford City Council,01/11/2023,6003802433,619,0,619,Ao Retail Limited,People (Childrens) Service Group,Equipment Purchase
Salford City Council,01/11/2023,601505819,637.5,0,637.5,The Award Scheme Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,01/11/2023,1600719498,955.2,159.2,796,A  Venning Ltd,Place Directorate,Equipment Repair
Salford City Council,01/11/2023,6003802468,611.26,0,611.26,Wm Morrisons Store Pick,People (Childrens) Service Group,Food and refreshments
Salford City Council,01/11/2023,1600721517,795.68,132.61,663.07,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,01/11/2023,1600721515,961.01,160.17,800.84,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,01/11/2023,1600721514,964.87,160.81,804.06,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,01/11/2023,1600721516,1061.29,176.88,884.41,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,01/11/2023,1600721511,2016,336,1680,Viatec (Uk) Ltd,Place Directorate,Materials
Salford City Council,01/11/2023,601505803,576,96,480,Rm Education Ltd,People (Childrens) Service Group,Other Professional Fees
Salford City Council,01/11/2023,601505802,600,100,500,Rm Education Ltd,People (Childrens) Service Group,Other Professional Fees
Salford City Council,01/11/2023,1600721526,583.2,97.2,486,Working Office Wonders Ltd,People (Childrens) Service Group,Other Professional Fees
Salford City Council,01/11/2023,1600721488,1764,294,1470,M & A Brown (Engravers) Ltd,Place Directorate,Programme Maintenance & Works
Salford City Council,01/11/2023,601505835,11570,0,11570,Harris Fowler Ltd,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,01/11/2023,601505843,725,0,725,Chris Wilkinson Limited,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,601505792,1304.94,0,1304.94,Great Places Housing Association,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,601505832,3230.76,0,3230.76,Hunters Estate Agent,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802525,1224,0,1224,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802442,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802472,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802524,1428,0,1428,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802432,6324,0,6324,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802485,6324,0,6324,Barton Huxley Management,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802440,5320,0,5320,Imperial Salford Hotel,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802478,5880,0,5880,Imperial Salford Hotel,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,6003802515,6324,0,6324,Sq *Parkview Residence,People (Adults) - CHSC,Rents
Salford City Council,01/11/2023,1600721522,4000,0,4000,Greater Manchester Poverty Action,Public Health,Subscriptions
Salford City Council,01/11/2023,1600721363,599.05,99.84,499.21,Schofield & Sons Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,01/11/2023,1600718547,2227.6,371.27,1856.33,J Fletcher Engineers Ltd,Place Directorate,UV Heating Repairs
Salford City Council,01/11/2023,1600721493,506.05,84.34,421.71,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721494,540,90,450,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721496,540,90,450,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721497,550.28,91.71,458.57,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721492,578.52,96.42,482.1,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721498,578.52,96.42,482.1,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721495,601.72,100.29,501.43,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721499,601.72,100.29,501.43,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721501,601.72,100.29,501.43,Reflex Vehicle Hire Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/11/2023,1600721518,5952,992,4960,Kool-It-Services Ltd,Capital Expenditure,Works & Building
Salford City Council,01/11/2023,1600718419,918,153,765,Spectra Security,Place Directorate,Works & Building
Salford City Council,02/11/2023,6003803396,679.99,0,679.99,Dri*Nuance,People (Adults) - CHSC,Computer Software (no annual fee)
Salford City Council,02/11/2023,1600721578,3330,555,2775,Bloom Procurement Services Ltd,Place Directorate,Consultants
Salford City Council,02/11/2023,1600721563,712.32,118.72,593.6,Arco Ltd,Place Directorate,Equipment Purchase
Salford City Council,02/11/2023,1600721562,2194.8,365.8,1829,Falco Uk Ltd,Place Directorate,Equipment Purchase
Salford City Council,02/11/2023,601505901,553.57,0,553.57,Bidfresh T/A R Noone & Son,Place Directorate,Food and refreshments
Salford City Council,02/11/2023,601506034,1750,0,1750,Iconic Sounds,Place Directorate,Other Professional Fees
Salford City Council,02/11/2023,1600721344,4590,765,3825,Reed Talent Solutions,People (Childrens) Service Group,Other Professional Fees
Salford City Council,02/11/2023,1600721552,10701.99,1783.66,8918.33,Mark Harrod Ltd,Capital Expenditure,Payments to Contractors - Improvements
Salford City Council,02/11/2023,601505844,1500,0,1500,Emma Evans Studio,Place Directorate,Payments to Voluntary Organisations
Salford City Council,02/11/2023,1600721555,1753.13,292.19,1460.94,Electoral Reform Services,Service Reform (Corp Bus & Transform),Printing & Photocopying
Salford City Council,02/11/2023,1600721549,1225,0,1225,Thompsons Academy Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,02/11/2023,1600721559,761.4,126.9,634.5,Furniture@Work Ltd,Capital Expenditure,Purchase of Furniture & Equipment
Salford City Council,02/11/2023,1600721550,2203.2,367.2,1836,Furniture@Work Ltd,Capital Expenditure,Purchase of Furniture & Equipment
Salford City Council,02/11/2023,6003803463,2502.5,0,2502.5,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,02/11/2023,6003803447,4004,0,4004,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,02/11/2023,601506047,2000,0,2000,Horizon Property Partners,People (Adults) - CHSC,Rents
Salford City Council,02/11/2023,6003803424,1088.86,0,1088.86,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,02/11/2023,6003803441,1113.86,0,1113.86,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,02/11/2023,1600721560,630,105,525,Skills And Education Group,People (Childrens) Service Group,Subscriptions
Salford City Council,02/11/2023,1600721554,1620,270,1350,The Assoc Of Electoral Admin,Service Reform (Corp Bus & Transform),Training expenses
Salford City Council,02/11/2023,1600721582,2050,0,2050,Big Toes Little Toes,People (Childrens) Service Group,Training of Staff
Salford City Council,02/11/2023,1600721548,-87192.17,0,-87192.17,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,02/11/2023,1600721546,-45204.86,0,-45204.86,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,02/11/2023,1600721545,54245.83,9040.97,45204.86,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,02/11/2023,1600721547,104630.6,17438.43,87192.17,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,02/11/2023,1600720263,644.18,107.36,536.82,Schofield & Sons Ltd,People (Childrens) Service Group,UV Day to Day Repairs
Salford City Council,02/11/2023,1600719149,2146.67,357.78,1788.89,Schofield & Sons Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,02/11/2023,601506028,1994.87,0,1994.87,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601506029,2018.74,0,2018.74,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601506027,2028.06,0,2028.06,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601506026,3550.38,0,3550.38,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601506023,5140.58,0,5140.58,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601506016,5245.2,0,5245.2,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601505927,5481.16,0,5481.16,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,601506024,5536.25,0,5536.25,Turning Point Services Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,02/11/2023,1600721577,1862.99,310.5,1552.49,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,02/11/2023,1600721579,3431.84,571.97,2859.87,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,02/11/2023,1600721580,9000,1500,7500,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,03/11/2023,1600721086,17250,2875,14375,Reed Talent Solutions,People (Childrens) Service Group,Agency Fees
Salford City Council,03/11/2023,601506084,799.92,133.32,666.6,Rm Education Ltd,People (Childrens) Service Group,Computer Software (no annual fee)
Salford City Council,03/11/2023,1600721170,12523.1,2087.18,10435.92,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,03/11/2023,1600721168,26985.19,4497.53,22487.66,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,03/11/2023,6003803711,5411.4,0,5411.4,Age Concern Salford T/A Age Uk Salf,People (Adults) - CHSC,Day Care
Salford City Council,03/11/2023,6003803714,5482.5,0,5482.5,Age Concern Salford T/A Age Uk Salf,People (Adults) - CHSC,Day Care
Salford City Council,03/11/2023,6003803650,20950.21,0,20950.21,M & N Bland,People (Adults) - CHSC,Day Care
Salford City Council,03/11/2023,601506064,604.08,24.23,579.85,Brake Bros Ltd,People (Childrens) Service Group,Food and refreshments
Salford City Council,03/11/2023,1600721107,27589,0,27589,Salford Womens Employment ,Public Health,Grants
Salford City Council,03/11/2023,6003803783,787.72,0,787.72,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803552,11319.62,0,11319.62,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803738,15914.96,0,15914.96,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803743,16245.92,0,16245.92,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803689,31966.98,0,31966.98,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803605,32664.34,0,32664.34,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803673,40879.67,0,40879.67,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803776,48937.46,0,48937.46,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,6003803753,50627.89,0,50627.89,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,03/11/2023,601506078,1620,270,1350,Mills & Reeve Llp,Place Directorate,Legal Fees
Salford City Council,03/11/2023,1600721609,895.45,149.24,746.21,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/11/2023,1600721608,968.73,161.46,807.27,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/11/2023,1600721607,970.66,161.78,808.88,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/11/2023,1600721606,1971.35,328.55,1642.8,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,03/11/2023,1600721610,3552,592,2960,Viatec (Uk) Ltd,Place Directorate,Materials
Salford City Council,03/11/2023,1600721604,13904.4,2317.4,11587,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,03/11/2023,1600721519,690.23,115.04,575.19,Bilway Marine Ltd,Place Directorate,non -UV Building Repairs & Maintenance
Salford City Council,03/11/2023,1600721520,690.23,115.04,575.19,Bilway Marine Ltd,Place Directorate,non -UV Building Repairs & Maintenance
Salford City Council,03/11/2023,1600721139,26206.08,0,26206.08,Progress School,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,03/11/2023,1600721101,308611.39,51435.23,257176.16,Manchester City Council,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,03/11/2023,1600721257,34536.72,5756.12,28780.6,G Jones Builders Ltd,Capital Expenditure,Other Works
Salford City Council,03/11/2023,1600717987,1320,220,1100,K2L Marketing Ltd,Capital Expenditure,Other Works
Salford City Council,03/11/2023,601506070,-8713.57,0,-8713.57,Meadows Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/11/2023,601506069,35892.81,0,35892.81,Meadows Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,03/11/2023,1600721116,16000,0,16000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payments to Agencies
