Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,02/10/2023,1600719671,1306.8,217.8,1089,A  Venning Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,02/10/2023,1600719645,5885.09,980.85,4904.24,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,02/10/2023,1600719647,9500.06,1583.34,7916.72,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,02/10/2023,1600719646,13125.68,2187.61,10938.07,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,02/10/2023,1600719513,2600,0,2600,Air Quality Solutions Ltd,Capital Expenditure,External Fees - Other
Salford City Council,02/10/2023,601503242,570,0,570,Aldi Stores Ltd,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,02/10/2023,1600719537,683.98,114,569.98,Anchor Removals Ltd,Capital Expenditure,Other Works
Salford City Council,02/10/2023,1600719562,1020,170,850,Applewood Data Services Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,02/10/2023,1600719634,1176,196,980,Bid Group Ltd,Place Directorate,UV Minor Decoration and Flooring
Salford City Council,02/10/2023,1600719540,648,0,648,Blake Envelopes,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,02/10/2023,1600719670,2736,456,2280,Bloom Procurement Services Ltd,Place Directorate,Contract Hire
Salford City Council,02/10/2023,601503253,650.68,26.91,623.77,Brake Bros Ltd,People (Childrens) Service Group,Food and refreshments
Salford City Council,02/10/2023,601503329,1191.96,0,1191.96,Care Chiefs,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,02/10/2023,601503359,554.4,0,554.4,Clk Childcare Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,02/10/2023,601503185,990.1,165.02,825.08,Communitybrands,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,02/10/2023,1600719567,1968,328,1640,Cornthwaite Agricultural Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,02/10/2023,1600719568,1968,328,1640,Cornthwaite Agricultural Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,02/10/2023,601503247,2860,0,2860,Csin Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,02/10/2023,1600719555,5508,918,4590,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,02/10/2023,1600719549,7691.76,1281.96,6409.8,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,02/10/2023,1600719660,2874.05,479.01,2395.04,Ecg Facilities Services Ltd,Place Directorate,UV Air conditioning and handling
Salford City Council,02/10/2023,1600719661,4066.13,677.69,3388.44,Ecg Facilities Services Ltd,Place Directorate,UV Air conditioning and handling
Salford City Council,02/10/2023,1600719552,1678.15,279.69,1398.46,Eco Air Control Ltd,Service Reform (Corp Bus & Transform),Equipment Maintenance
Salford City Council,02/10/2023,1600719669,9866.67,0,9866.67,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
