Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,03/06/2024,1600734685,64350,0,64350,Active Ark Ltd,People (Childrens),Payments to Agencies
Salford City Council,03/06/2024,1600734751,11359.42,0,11359.42,Advocacy Focus,People (Childrens),Payments to Agencies
Salford City Council,03/06/2024,1600735215,594,99,495,Alan Franklin Builders Ltd,Place,UV Day to Day Repairs
Salford City Council,03/06/2024,1600735216,594,99,495,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,03/06/2024,6003916836,921,0,921,Ao Retail Limited,People (Adults),Equipment Purchase
Salford City Council,03/06/2024,601524811,50783,0,50783,Arbour Academy,People (Childrens),Works & Building
Salford City Council,03/06/2024,601524812,2600,0,2600,Arbour Academy,People (Childrens),Works & Building
Salford City Council,03/06/2024,1600735213,914.31,0,914.31,Birtenshaw Hall,People (Childrens),Pupil Assistance
Salford City Council,03/06/2024,6003916828,2513.7,0,2513.7,Bkg*Hotel At Booking.C,People (Adults),Staff Travel
Salford City Council,03/06/2024,1600734761,24227.67,0,24227.67,Bright Futures Care Ltd T/A Corners,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/06/2024,1600734763,20771.67,0,20771.67,Bright Futures Care Ltd T/A Corners,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/06/2024,1600734765,20771.67,0,20771.67,Bright Futures Care Ltd T/A Corners,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/06/2024,1600735219,9965.28,1660.88,8304.4,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,03/06/2024,1600734320,1975.61,329.27,1646.34,Capita Business Services Ltd,Place,Printing & Photocopying
Salford City Council,03/06/2024,6003916884,2345.05,0,2345.05,Chicken Joes Ltd,Place,Food and refreshments
Salford City Council,03/06/2024,6003916864,1674.63,0,1674.63,Creamline Dairies Red Ban,Place,Food and refreshments
Salford City Council,03/06/2024,6003916876,1760,0,1760,Divrse Ltd,People (Adults),Rents
Salford City Council,03/06/2024,601524808,21129.6,3521.6,17608,Dwf  Law Llp - Manchester,Place,Legal Fees
Salford City Council,03/06/2024,601524999,290000,0,290000,Ecf (General Partner) Ltd,Capital Expenditure,External Fees - Other
Salford City Council,03/06/2024,1600734671,25443.54,4240.59,21202.95,Exclusec Group Ltd,Place,Contractors
Salford City Council,03/06/2024,1600734666,10206.41,1701.07,8505.34,Exclusec Group Ltd,Resources & Transformation,Security Services
Salford City Council,03/06/2024,601524809,2823,470.5,2352.5,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,03/06/2024,1600734822,10027.2,1671.2,8356,Forge Leisure Ltd,Capital Expenditure,Works & Building
Salford City Council,03/06/2024,601524888,3000,0,3000,From The Other Ltd,Place,Payments to Voluntary Organisations
Salford City Council,03/06/2024,601524911,1500,0,1500,Great Electronics Ltd,People (Adults),Grants
Salford City Council,03/06/2024,6003916842,1974.85,0,1974.85,Hb Clark And Co Successor,Place,Food and refreshments
Salford City Council,03/06/2024,601524997,2391,0,2391,Ladybird Private Day Nursery,People (Childrens),Works & Building
