Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,02/04/2024,601519103,1800,300,1500,0161 Project Ltd,People (Childrens),Classroom Supplies Capitation
Salford City Council,02/04/2024,1600731788,5274,879,4395,A  Venning Ltd,Place,delegated kitchen formula
Salford City Council,02/04/2024,1600731795,5568,928,4640,A  Venning Ltd,Place,delegated kitchen formula
Salford City Council,02/04/2024,1600731785,744,124,620,A  Venning Ltd,Place,Other Office Expenses
Salford City Council,02/04/2024,1600731787,744,124,620,A  Venning Ltd,Place,Other Office Expenses
Salford City Council,02/04/2024,1600731784,824.4,137.4,687,A  Venning Ltd,Place,Other Office Expenses
Salford City Council,02/04/2024,1600731679,1885,0,1885,Adullam Homes Housing Assoc Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/04/2024,1600731201,34586.82,5764.47,28822.35,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other
Salford City Council,02/04/2024,1600731786,526.4,0,526.4,Alcedo Orange Limited,People (Childrens),Payments to Agencies
Salford City Council,02/04/2024,6003884212,3351.12,0,3351.12,Alpha Plus Fostering  Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/04/2024,601519185,653.61,0,653.61,Redacted Data,People (Adults),Rents
Salford City Council,02/04/2024,601519281,19500,0,19500,Arbour Academy,People (Childrens),Mandat Student
Salford City Council,02/04/2024,601519280,49115,0,49115,Arbour Academy,People (Childrens),Mandat Student
Salford City Council,02/04/2024,1600731781,-20430.89,0,-20430.89,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731777,7685.09,1280.85,6404.24,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731758,8045.44,1340.91,6704.53,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731771,11875.33,1979.22,9896.11,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731775,12271.9,2045.32,10226.58,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731779,14519.64,2419.94,12099.7,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731780,20430.89,0,20430.89,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731776,22296.59,3716.1,18580.49,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731753,31298.17,5216.36,26081.81,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731755,34519.51,5753.25,28766.26,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731765,37468.34,6244.72,31223.62,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731734,38640.1,6440.02,32200.08,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731778,40209.3,6701.55,33507.75,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731764,43825.25,7304.21,36521.04,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731767,44113.69,7352.28,36761.41,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731766,58407.73,9734.62,48673.11,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,02/04/2024,1600731773,86443.93,14407.32,72036.61,Argyle (North West) Construction Lt,Place,Contractors
