Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,02/01/2024,601510824,4985,0,4985,3S Adolescent Care,People (Childrens) Service Group,Payments to Agencies
Salford City Council,02/01/2024,1600724898,876.17,146.03,730.14,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,02/01/2024,1600724893,789.6,0,789.6,Alcedo Orange Limited,People (Childrens) Service Group,Payments to Agencies
Salford City Council,02/01/2024,1600724908,671.1,111.85,559.25,Alliance Disposables Ltd,Place Directorate,Cleaning Materials
Salford City Council,02/01/2024,1600724936,759.65,126.61,633.04,Alliance Disposables Ltd,Place Directorate,Cleaning Materials
Salford City Council,02/01/2024,1600724895,877.2,146.2,731,Barclay & Mathieson Ltd,Place Directorate,Equipment Purchase
Salford City Council,02/01/2024,601510878,1070.56,178.43,892.13,Berkeley Scott Ltd,Place Directorate,Agency Fees
Salford City Council,02/01/2024,601510820,871.24,145.21,726.03,Choice Teachers Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,02/01/2024,1600724964,2700,450,2250,Concerto Support Services Ltd,Capital Expenditure,Purchase of Furniture & Equipment
Salford City Council,02/01/2024,1600724965,2700,450,2250,Concerto Support Services Ltd,Capital Expenditure,Purchase of Furniture & Equipment
Salford City Council,02/01/2024,601510884,8852.67,0,8852.67,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,02/01/2024,601510886,11316.12,0,11316.12,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,02/01/2024,1600724892,614.4,102.4,512,Encore Envelopes Ltd,Service Reform (Corp Bus & Transform),Equipment Hire
Salford City Council,02/01/2024,1600724886,704,0,704,Happy Feet Day Nursery,People (Adults) - CHSC,Grants
Salford City Council,02/01/2024,1600724907,608.71,101.45,507.26,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,02/01/2024,1600724905,829.54,138.26,691.28,K J Lines Ltd,Place Directorate,Contractors
Salford City Council,02/01/2024,601510888,11000,0,11000,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,02/01/2024,1600724949,1339.2,223.2,1116,Kingsfield It,Service Reform (Corp Bus & Transform),Computer Equipment purchase
Salford City Council,02/01/2024,1600724947,1351.2,225.2,1126,Kingsfield It,Service Reform (Corp Bus & Transform),Computer Equipment purchase
Salford City Council,02/01/2024,1600724952,1351.2,225.2,1126,Kingsfield It,Service Reform (Corp Bus & Transform),Computer Equipment purchase
Salford City Council,02/01/2024,1600724955,1351.2,225.2,1126,Kingsfield It,Service Reform (Corp Bus & Transform),Computer Equipment purchase
Salford City Council,02/01/2024,1600724884,8614.8,1435.8,7179,Kingsfield It,Capital Expenditure,Purchase of Computer Equipment
Salford City Council,02/01/2024,1600724956,1254.67,209.11,1045.56,Ladybrook Nursery,Place Directorate,Materials
Salford City Council,02/01/2024,1600724931,752.54,125.43,627.11,Landscape Supply Company,Place Directorate,Equipment Purchase
Salford City Council,02/01/2024,1600724946,3640,0,3640,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,02/01/2024,1600724918,25524,4254,21270,Pakflatt (Uk) Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
