Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/11/2024,6003994992,14136,0,14136,Abbotsound Limited,People (Adults),Other Professional Fees
Salford City Council,01/11/2024,6003995045,20925,0,20925,Abbotsound Limited,People (Adults),Other Professional Fees
Salford City Council,01/11/2024,6003994729,6873,0,6873,Age Concern Salford T/A Age Uk Salf,People (Adults),Day Care
Salford City Council,01/11/2024,6003994725,6884.15,0,6884.15,Age Concern Salford T/A Age Uk Salf,People (Adults),Day Care
Salford City Council,01/11/2024,601538442,1507.97,0,1507.97,Agnes Hopkins Centre,Capital Expenditure,Other Works
Salford City Council,01/11/2024,6003995020,549,0,549,Amazon* Tr2879M34,People (Childrens),Food and refreshments
Salford City Council,01/11/2024,1600746207,3536.67,0,3536.67,Ashgate Specialist Support Primary,People (Childrens),Payments to Other Local Authorities
Salford City Council,01/11/2024,6003995051,594.4,0,594.4,Birchall Foodservice,Place,Other Professional Fees
Salford City Council,01/11/2024,1600746221,11411,0,11411,Birtenshaw Hall,People (Childrens),SEN Topups
Salford City Council,01/11/2024,1600745963,1575,262.5,1312.5,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/11/2024,1600745799,3908.12,651.35,3256.77,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/11/2024,1600745898,35136,5856,29280,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/11/2024,1600745440,13962.66,2327.11,11635.55,Bloom Procurement Services Ltd,Resources & Transformation,Legal Fees
Salford City Council,01/11/2024,1600745960,1548,258,1290,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Expenses
Salford City Council,01/11/2024,1600745936,-30240,-5040,-25200,Bloom Procurement Services Ltd,Place,Other Professional Fees
Salford City Council,01/11/2024,1600745961,1391.04,231.84,1159.2,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,01/11/2024,1600745958,3431.84,571.97,2859.87,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,01/11/2024,1600745904,5782.8,963.8,4819,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,01/11/2024,1600745959,5852.7,975.45,4877.25,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,01/11/2024,1600746203,8500,0,8500,Brookhaven School,People (Childrens),Payments to Other Local Authorities
Salford City Council,01/11/2024,601538444,4000,0,4000,Cadishead Youth & Community,Capital Expenditure,Other Works
Salford City Council,01/11/2024,601538356,1210.98,201.83,1009.15,Chubb Fire & Security Ltd,People (Childrens),Boradband services
Salford City Council,01/11/2024,1600745680,31995.5,5332.58,26662.92,Cityfibre Ltd,Capital Expenditure,Other Works
Salford City Council,01/11/2024,1600745634,56717.02,9452.84,47264.18,Civica Election Services Ltd,Resources & Transformation,Printing & Photocopying
Salford City Council,01/11/2024,601538507,587.5,0,587.5,Connect Group,Resources & Transformation,Hire of Facilities
Salford City Council,01/11/2024,1600745870,71130,11855,59275,Connell Bros Ltd,Capital Expenditure,Works & Building
Salford City Council,01/11/2024,6003995024,9622.2,0,9622.2,Divrse P1 Ltd,People (Adults),Rents
Salford City Council,01/11/2024,1600746201,1620,0,1620,Dragon Football Academy Ltd,People (Childrens),SEN Topups
Salford City Council,01/11/2024,1600746202,2025,0,2025,Dragon Football Academy Ltd,People (Childrens),SEN Topups
Salford City Council,01/11/2024,1600745851,39936.1,6656.02,33280.08,Eric Wright Civil Engineering Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/11/2024,601538410,1848,308,1540,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,01/11/2024,601538439,5000,0,5000,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,01/11/2024,601538437,7500,0,7500,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,01/11/2024,1600746197,4000,0,4000,Greater Manchester Poverty Action G,Public Health,Subscriptions
Salford City Council,01/11/2024,1600746229,1279.36,0,1279.36,Hillgate Health Group Ltd,People (Childrens),Supported Tenancies
Salford City Council,01/11/2024,1600746230,1279.36,0,1279.36,Hillgate Health Group Ltd,People (Childrens),Supported Tenancies
