Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/08/2024,1600738994,33177.78,5529.63,27648.15,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,01/08/2024,1600739177,15048,2508,12540,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,02/08/2024,1600739391,14976,2496,12480,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,02/08/2024,1600739467,16560,2760,13800,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,02/08/2024,1600739668,16800,2800,14000,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,05/08/2024,601530888,109139.27,18189.98,90949.29,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,06/08/2024,1600740488,1232.75,205.46,1027.29,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,06/08/2024,601530917,2767.5,461.25,2306.25,Time Recruitment Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,07/08/2024,601530963,1489.46,248.26,1241.2,Tinies North West,People (Childrens),Agency Fees
Salford City Council,07/08/2024,601530954,1137.6,189.6,948,Tradewind Recruitment Ltd,People (Childrens),Agency Fees
Salford City Council,09/08/2024,1600739787,16560,2760,13800,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,09/08/2024,1600739938,16056,2676,13380,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,12/08/2024,1600740676,3150,525,2625,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,12/08/2024,601531360,1055.5,175.92,879.58,Time Recruitment Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,13/08/2024,601531376,124818.48,20803.15,104015.33,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,13/08/2024,1600740181,16800,2800,14000,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,14/08/2024,601531462,84679.97,14113.41,70566.56,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,15/08/2024,1600741196,2550,425,2125,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,16/08/2024,1600740376,16800,2800,14000,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,19/08/2024,1600741452,600,100,500,H & C Plant Hire Ltd,Place,Agency Fees
Salford City Council,19/08/2024,601531723,3600,600,3000,Time Recruitment Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,20/08/2024,1600740865,14605.45,2434.24,12171.21,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,21/08/2024,601531876,123867.1,20644.65,103222.45,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,21/08/2024,601531877,113673.43,18945.64,94727.79,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,21/08/2024,601531879,103840.35,17306.78,86533.57,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,21/08/2024,601531880,104322.93,17387.22,86935.71,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,22/08/2024,1600741586,2550,425,2125,Reed Talent Solutions,People (Childrens),Agency Fees
