Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,02/12/2024,1600748212,1080,180,900,6 Alpha Associates Ltd,Capital Expenditure,External Fees - Other
Salford City Council,02/12/2024,1600748224,5852.7,975.45,4877.25,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building
Salford City Council,02/12/2024,1600748229,1938.74,323.12,1615.62,Capita Business Services Ltd,Place,Printing & Photocopying
Salford City Council,02/12/2024,1600747770,38631.67,6438.61,32193.06,Civica Election Services Ltd,Resources & Transformation,Postage
Salford City Council,02/12/2024,601542993,2240,0,2240,Csin Cic,People (Childrens),Payments to Agencies
Salford City Council,02/12/2024,601543016,9972.67,1349.61,8623.06,First City Fire & Security Ltd,People (Childrens),Unclassified Road Maintenance
Salford City Council,02/12/2024,601543120,10056,0,10056,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,02/12/2024,601542840,3144,504,2640,G & A Taylor Hotels Ltd,People (Adults),Rents
Salford City Council,02/12/2024,601542841,3582,597,2985,G & A Taylor Hotels Ltd,People (Adults),Rents
Salford City Council,02/12/2024,1600747761,21792.92,0,21792.92,Gmw Mental Health Nhs Ft,People (Adults),Payments to Health Authority
Salford City Council,02/12/2024,1600748230,808.8,134.8,674,Granart Memorials,Place,General Resaleable Items
Salford City Council,02/12/2024,1600748216,1000,0,1000,Greater Manchester Travelcards Ltd,People (Childrens),Training expenses
Salford City Council,02/12/2024,1600748263,572.32,0,572.32,H Jenkinson & Company Ltd,People (Childrens),Other Professional Fees
Salford City Council,02/12/2024,1600748228,1176,196,980,Hirequirements Ltd,Public Health,Other Professional Fees
Salford City Council,02/12/2024,601543029,5430,0,5430,Kosher Savers Ltd,People (Adults),Security Services
Salford City Council,02/12/2024,1600748205,25600,0,25600,Mds Mini Buses (Manchester) Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/12/2024,1600747780,22028.4,3671.4,18357,Nationwide Cycling Academy Ltd,Place,Subscriptions
Salford City Council,02/12/2024,601543022,1458.46,0,1458.46,Nijjar Dairies Ltd,Place,Food and refreshments
Salford City Council,02/12/2024,1600748225,3400,0,3400,NWSAC,People (Childrens),Payments to Agencies
Salford City Council,02/12/2024,601543109,4011,0,4011,Paypoint Plc,People (Adults),Gas
Salford City Council,02/12/2024,601543021,3088.75,0,3088.75,Places For People Living+ Ltd,People (Childrens),Supported Tenancies
Salford City Council,02/12/2024,601543018,3469.2,0,3469.2,Places For People Living+ Ltd,People (Childrens),Supported Tenancies
Salford City Council,02/12/2024,601543017,3902.85,0,3902.85,Places For People Living+ Ltd,People (Childrens),Supported Tenancies
Salford City Council,02/12/2024,601543003,1500,0,1500,Property Services Mcr Ltd,People (Adults),Contractors
Salford City Council,02/12/2024,601543019,780,130,650,Property Services Mcr Ltd,People (Adults),Furniture
Salford City Council,02/12/2024,1600748213,1200,200,1000,Redacted Data,Outside Hierarchy,Other Professional Fees
Salford City Council,02/12/2024,1600748182,3584.81,597.47,2987.34,Reed Talent Solutions,People (Childrens),Payments to Agencies
Salford City Council,02/12/2024,1600748215,540,0,540,Salford Community Leisure Ltd,People (Childrens),Training of Others
Salford City Council,02/12/2024,1600748214,5667,0,5667,Salford Community Leisure Ltd,People (Childrens),Training of Others
Salford City Council,02/12/2024,1600748150,719.06,119.84,599.22,Schofield & Sons Ltd,Place,non -UV Building Repairs & Maintenance
Salford City Council,02/12/2024,1600748139,525.54,87.59,437.95,Schofield & Sons Ltd,Place,UV Day to Day Repairs
Salford City Council,02/12/2024,601543012,792,132,660,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543006,898.5,149.75,748.75,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543008,898.5,149.75,748.75,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543009,898.5,149.75,748.75,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543010,898.5,149.75,748.75,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543005,1059.36,176.56,882.8,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543004,1341.3,223.55,1117.75,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543007,1560.06,260.01,1300.05,Teaching Personnel Ltd,People (Childrens),Agency Fees
Salford City Council,02/12/2024,601543105,687.5,0,687.5,The Citywall Project Community Inte,People (Childrens),Pupil Assistance
Salford City Council,02/12/2024,601543106,1155,0,1155,The Citywall Project Community Inte,People (Childrens),Pupil Assistance
Salford City Council,02/12/2024,1600748210,6685.25,0,6685.25,The Citywall Project Community Inte,People (Childrens),SEN Topup
Salford City Council,02/12/2024,601542990,3675,0,3675,Thompsons Academy Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/12/2024,601542991,3675,0,3675,Thompsons Academy Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/12/2024,601543096,647.71,0,647.71,Vision For Education Ltd,People (Childrens),Pupil Assistance
Salford City Council,02/12/2024,601543097,809.64,0,809.64,Vision For Education Ltd,People (Childrens),Pupil Assistance
Salford City Council,02/12/2024,601543101,809.64,0,809.64,Vision For Education Ltd,People (Childrens),Pupil Assistance
Salford City Council,02/12/2024,601543085,577,0,577,Vspg Housing 2 Ltd,People (Adults),Food and refreshments
Salford City Council,02/12/2024,601543086,18800,0,18800,Vspg Housing 2 Ltd,People (Adults),Rents
Salford City Council,03/12/2024,1600748235,588,98,490,A  Venning Ltd,Place,Equipment Purchase
Salford City Council,03/12/2024,6004010551,3080.71,0,3080.71,Adobe,Resources & Transformation,Computer Software (no annual fee)
Salford City Council,03/12/2024,1600748308,850.39,141.73,708.66,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748311,860.02,143.33,716.69,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748306,861.95,143.66,718.29,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748307,863.88,143.98,719.9,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748310,867.73,144.62,723.11,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748305,875.44,145.91,729.53,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748312,901.28,150.21,751.07,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748302,929.43,154.91,774.52,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748303,954.39,159.06,795.33,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748309,956.76,159.46,797.3,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748304,979.44,163.24,816.2,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748331,1018.67,169.78,848.89,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748333,1067.38,177.9,889.48,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748327,1235.59,205.93,1029.66,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748323,1241.38,206.9,1034.48,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748325,1285.3,214.21,1071.09,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748322,1678.62,279.77,1398.85,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,1600748320,1682.51,280.42,1402.09,Aggregates Industries Uk Ltd,Place,Materials
Salford City Council,03/12/2024,6004010702,524.16,87.36,436.8,Arrow County Supplies,Place,Cleaning Materials
Salford City Council,03/12/2024,6004010690,616.98,102.83,514.15,Arrow County Supplies,Place,Cleaning Materials
Salford City Council,03/12/2024,6004010661,980,0,980,Barton Huxley Management,People (Adults),Staff Travel
Salford City Council,03/12/2024,6004010468,1428,0,1428,Barton Huxley Management,People (Adults),Staff Travel
Salford City Council,03/12/2024,6004010483,1428,0,1428,Barton Huxley Management,People (Adults),Staff Travel
Salford City Council,03/12/2024,6004010491,1428,0,1428,Barton Huxley Management,People (Adults),Staff Travel
Salford City Council,03/12/2024,6004010496,1428,0,1428,Barton Huxley Management,People (Adults),Staff Travel
Salford City Council,03/12/2024,6004010525,1428,0,1428,Barton Huxley Management,People (Adults),Staff Travel
Salford City Council,03/12/2024,6004010514,2754,0,2754,Barton Huxley Management,People (Adults),Staff Travel
