Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,07/02/2023,601482798,800.00,0.00,800.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,07/02/2023,1600704157,3451.62,575.27,2876.35,Rr Consultancy Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,07/02/2023,601482855,816.00,136.00,680.00,Rtriibe,People (Childrens) Service Group,Agency Fees
Salford City Council,07/02/2023,1600704095,691.20,115.20,576.00,S & S Marquees Ltd,Service Reform (Corp Bus & Transform),Contract Hire
Salford City Council,07/02/2023,601482860,651.00,0.00,651.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,07/02/2023,6003648953,36291.43,0.00,36291.43,Sandcastle Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,07/02/2023,601482779,8591.27,1431.88,7159.39,Stanley Security Solutions Ltd,People (Childrens) Service Group,non -UV Building Repairs & Maintenance
Salford City Council,07/02/2023,6003648144,1450.00,0.00,1450.00,Sumup *Lmac Roofing,People (Adults) - CHSC,Subscriptions
Salford City Council,07/02/2023,1600704146,1320.00,220.00,1100.00,Survey Operations Ltd,Capital Expenditure,External Fees - Other
Salford City Council,07/02/2023,6003648962,18370.90,0.00,18370.90,Swiis Fostercare Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,07/02/2023,1600704133,1200.00,200.00,1000.00,T/A Labc Training,Place Directorate,Training expenses
Salford City Council,07/02/2023,1600704166,3173.00,0.00,3173.00,Tameside Mbc,Place Directorate,Other Professional Fees
Salford City Council,07/02/2023,6003648964,30601.57,0.00,30601.57,The National Fostering Agency,People (Childrens) Service Group,Payments to Agencies
Salford City Council,07/02/2023,1600704085,510.00,85.00,425.00,The Training Company,People (Childrens) Service Group,Training expenses
Salford City Council,07/02/2023,1600704102,786.00,131.00,655.00,Thinkproject Uk Limited,Capital Expenditure,Other Works
Salford City Council,07/02/2023,6003648974,12007.34,461.82,11545.52,Three Circles Fostering,People (Childrens) Service Group,Payments to Agencies
Salford City Council,07/02/2023,1600704151,725.76,120.96,604.80,Till & Whitehead Ltd,Place Directorate,Equipment Purchase
Salford City Council,07/02/2023,1600703372,16853.93,0.00,16853.93,Together Trust,People (Childrens) Service Group,Pupil Assistance
Salford City Council,07/02/2023,1600703371,18401.35,0.00,18401.35,Together Trust,People (Childrens) Service Group,Pupil Assistance
Salford City Council,07/02/2023,1600703373,20606.80,0.00,20606.80,Together Trust,People (Childrens) Service Group,Pupil Assistance
Salford City Council,07/02/2023,601482829,800.00,0.00,800.00,Toras Emes Primary School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,07/02/2023,1600704186,1242.00,207.00,1035.00,Vivid Resourcing,Place Directorate,Agency Fees
Salford City Council,07/02/2023,601482886,3000.00,0.00,3000.00,Warrington Borough Council,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,07/02/2023,6003648965,2396.00,0.00,2396.00,Wigan Council,People (Childrens) Service Group,Payments to Agencies
Salford City Council,07/02/2023,6003648174,1572.36,262.06,1310.30,Www.Paper.Co.Uk,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,07/02/2023,6003648968,9535.60,0.00,9535.60,Your Chapter Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,08/02/2023,1600704261,5178.00,863.00,4315.00,A  Venning Ltd,Place Directorate,delegated kitchen formula
Salford City Council,08/02/2023,1600704316,570.00,95.00,475.00,Advanced Transport Research Ltd,Capital Expenditure,Miscellaneous Expenses
Salford City Council,08/02/2023,1600704265,841.03,140.17,700.86,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704273,844.65,140.77,703.88,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704292,4725.00,787.50,3937.50,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other
Salford City Council,08/02/2023,6003649498,618.11,0.00,618.11,Brakes (Stored Cards),Place Directorate,Food and refreshments
Salford City Council,08/02/2023,601482998,835.29,0.00,835.29,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,08/02/2023,1600704291,1933.18,322.20,1610.98,Bunzl Uk Ltd,Place Directorate,Clothing & Uniforms
Salford City Council,08/02/2023,1600704324,1240.72,59.08,1181.64,Calor Gas Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704319,3762.00,627.00,3135.00,Carrington Riding Centre,People (Childrens) Service Group,Pupil Assistance
Salford City Council,08/02/2023,1600704241,2105.55,0.00,2105.55,Child Action Northwest,People (Childrens) Service Group,Payments to Agencies
Salford City Council,08/02/2023,1600704266,1500.00,0.00,1500.00,Chris Dennison Consulting Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,08/02/2023,601483001,1457.00,0.00,1457.00,Croft Riding Centre,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,08/02/2023,6003649383,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,08/02/2023,6003649461,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,08/02/2023,6003649392,7887.88,0.00,7887.88,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,08/02/2023,1600704263,5664.00,944.00,4720.00,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,08/02/2023,601482040,-1602.18,-267.03,-1335.15,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,08/02/2023,1600704275,9353.65,539.83,8813.82,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,08/02/2023,601483097,503.20,83.87,419.33,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483038,512.88,85.49,427.39,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483092,528.99,88.16,440.83,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483076,534.37,89.06,445.31,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601482911,543.87,90.65,453.22,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483010,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483017,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483059,566.64,94.44,472.20,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483088,574.70,95.79,478.91,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483094,615.02,102.51,512.51,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483072,617.18,102.87,514.31,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483002,623.62,103.93,519.69,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483051,676.19,112.70,563.49,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601482910,695.66,115.94,579.72,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483008,813.65,135.61,678.04,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483040,835.26,139.21,696.05,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483028,854.92,142.49,712.43,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601482917,906.87,151.14,755.73,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483000,910.85,151.81,759.04,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483080,928.13,154.69,773.44,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483013,931.64,155.27,776.37,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483026,961.03,160.17,800.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483043,961.03,160.17,800.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483030,1020.73,170.12,850.61,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483064,1095.35,182.55,912.80,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483041,1114.39,185.73,928.66,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483032,1114.58,185.76,928.82,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483082,1122.51,187.08,935.43,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483012,1163.07,193.85,969.22,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483029,1193.38,198.90,994.48,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483021,1242.05,207.01,1035.04,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483005,1291.11,215.18,1075.93,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483004,1436.18,239.36,1196.82,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601483007,1564.65,260.77,1303.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601482916,1567.13,261.19,1305.94,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,601482997,1613.33,268.89,1344.44,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,08/02/2023,1600704310,583.20,97.20,486.00,George Parish & Sons Ltd,Place Directorate,Refuse Disposal
Salford City Council,08/02/2023,1600704311,985.65,164.27,821.38,George Parish & Sons Ltd,Place Directorate,Refuse Disposal
Salford City Council,08/02/2023,1600704306,2118.00,353.00,1765.00,J M Carroll Ltd,Place Directorate,Furniture
Salford City Council,08/02/2023,1600704330,1863.60,310.60,1553.00,J M Carroll Ltd,Place Directorate,Programme Maintenance & Works
Salford City Council,08/02/2023,1600704240,2770.56,461.76,2308.80,Keolis Amey Metrolink Limited,Capital Expenditure,External Fees - Other
Salford City Council,08/02/2023,1600704274,26197.00,0.00,26197.00,Langdon College,People (Childrens) Service Group,Pupil Assistance
Salford City Council,08/02/2023,1600704328,512.46,0.00,512.46,Leeds Commercial Ltd,Place Directorate,Contract Hire
Salford City Council,08/02/2023,1600704279,2592.00,432.00,2160.00,M & A Brown (Engravers) Ltd,Place Directorate,Contractors
Salford City Council,08/02/2023,1600704331,1872.00,312.00,1560.00,M & A Brown (Engravers) Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704297,2340.00,390.00,1950.00,M & A Brown (Engravers) Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704260,1063.50,177.25,886.25,Mott Macdonald Ltd,Place Directorate,Other Professional Fees
Salford City Council,08/02/2023,1600703876,17999.64,2999.94,14999.70,Otis Limited,Capital Expenditure,Works & Building
Salford City Council,08/02/2023,1600704280,608.76,101.46,507.30,Peter James Packaging Company Ltd,Place Directorate,Equipment Purchase
Salford City Council,08/02/2023,1600704315,1020.00,170.00,850.00,Pf Cusack (Tools Supplies) Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704229,1242.00,207.00,1035.00,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601483050,645.22,107.54,537.68,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,08/02/2023,601483068,843.74,140.62,703.12,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,08/02/2023,601482909,1502.09,0.00,1502.09,Redacted Data,Public Health,Payments to Agencies
Salford City Council,08/02/2023,601482920,653.61,0.00,653.61,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,08/02/2023,1600704327,2553.72,0.00,2553.72,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,08/02/2023,601483058,780.00,130.00,650.00,Sennen Education,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601483054,1248.00,208.00,1040.00,Sennen Education,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601483060,1248.00,208.00,1040.00,Sennen Education,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601483056,1560.00,260.00,1300.00,Sennen Education,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,1600704323,5316.66,0.00,5316.66,Southern Cross School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,08/02/2023,1600704325,5316.66,0.00,5316.66,Southern Cross School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,08/02/2023,1600704321,8400.00,0.00,8400.00,Southern Cross School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,08/02/2023,1600704259,5625.00,0.00,5625.00,Special Spirits,People (Childrens) Service Group,Payments to Agencies
Salford City Council,08/02/2023,1600704228,7324.20,1220.70,6103.50,Synectics Systems Group Ltd,Place Directorate,Contractors
Salford City Council,08/02/2023,1600704262,1100.34,183.39,916.95,T/A Tudor Environmental,Capital Expenditure,Purchase of Vehicles & Plant
Salford City Council,08/02/2023,601482899,558.00,93.00,465.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482890,695.76,115.96,579.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482897,831.60,138.60,693.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482889,856.50,142.75,713.75,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482898,923.76,153.96,769.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482901,923.76,153.96,769.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482896,1020.00,170.00,850.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601482894,1413.00,235.50,1177.50,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,601483048,1793.76,298.96,1494.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,08/02/2023,1600704282,940.00,0.00,940.00,The Broughton Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,08/02/2023,1600704284,600.00,0.00,600.00,Thornleigh Salesian College,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,08/02/2023,601482962,2398.00,0.00,2398.00,Together Housing Association Ltd,People (Adults) - CHSC,Rents
Salford City Council,08/02/2023,6003649424,1126.85,0.00,1126.85,Travelodge Gb0000,People (Adults) - CHSC,Staff Travel
Salford City Council,08/02/2023,1600704276,1994.40,332.40,1662.00,Viatec (Uk) Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704283,3600.00,600.00,3000.00,Viatec (Uk) Ltd,Place Directorate,Materials
Salford City Council,08/02/2023,1600704286,2070.00,345.00,1725.00,Vivid Resourcing,Place Directorate,Agency Fees
Salford City Council,08/02/2023,1600704289,2070.00,345.00,1725.00,Vivid Resourcing,Place Directorate,Agency Fees
Salford City Council,08/02/2023,1600704314,1728.00,288.00,1440.00,Xma Ltd,Service Reform (Corp Bus & Transform),Computer Equipment purchase
Salford City Council,08/02/2023,1600704237,3044.83,507.47,2537.36,Xma Ltd,Capital Expenditure,Purchase of Computer Equipment
Salford City Council,08/02/2023,6003649440,630.00,0.00,630.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,09/02/2023,1600704470,5430.00,905.00,4525.00,A  Venning Ltd,Capital Expenditure,Works & Building
Salford City Council,09/02/2023,1600704497,501.91,83.65,418.26,Alliance Disposables Ltd,Place Directorate,Cleaning Materials
Salford City Council,09/02/2023,1600704405,5962.09,993.68,4968.41,Apem Ltd,Place Directorate,General Contractor Work
Salford City Council,09/02/2023,601483135,2970.00,495.00,2475.00,Aspin And Company Ltd,Place Directorate,Other Professional Fees
Salford City Council,09/02/2023,1600704171,544.80,90.80,454.00,Bid Group Ltd,Place Directorate,UV Minor Decoration and Flooring
Salford City Council,09/02/2023,1600704390,1009.97,0.00,1009.97,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,09/02/2023,1600704388,2460.08,0.00,2460.08,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,09/02/2023,1600704389,2460.08,0.00,2460.08,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,09/02/2023,1600704468,1862.00,0.00,1862.00,Bright Futures Educational Trust,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,09/02/2023,1600704529,1652.16,275.36,1376.80,British Telecommunications Plc,Capital Expenditure,External Fees - Other
Salford City Council,09/02/2023,1600704360,3027.50,0.00,3027.50,Brompton Hall Special School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,09/02/2023,1600704363,5420.00,0.00,5420.00,Brompton Hall Special School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,09/02/2023,1600704404,690.00,115.00,575.00,Broxap Ltd,Capital Expenditure,Purchase of Vehicles & Plant
Salford City Council,09/02/2023,1600704500,897.60,149.60,748.00,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,09/02/2023,1600704413,3000.00,500.00,2500.00,Ca Telecom Ltd,Capital Expenditure,External Fees - Other
Salford City Council,09/02/2023,601483132,21013.52,0.00,21013.52,Care 4 Every Child Limited,People (Childrens) Service Group,Payments to Agencies
Salford City Council,09/02/2023,1600704419,3225.80,0.00,3225.80,Central Manchester University,Public Health,Payments to Agencies
Salford City Council,09/02/2023,1600704418,3228.70,0.00,3228.70,Central Manchester University,Public Health,Payments to Agencies
Salford City Council,09/02/2023,1600704420,4230.87,0.00,4230.87,Central Manchester University,Public Health,Payments to Agencies
Salford City Council,09/02/2023,1600704356,594.63,99.10,495.53,Click Fire & Security Ltd - 24 Acco,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,09/02/2023,6003650394,966.54,0.00,966.54,Creamline Dairies Red Bank,Place Directorate,Food and refreshments
Salford City Council,09/02/2023,1600704398,1338.00,223.00,1115.00,D And S Services Ltd,Capital Expenditure,Works & Building
Salford City Council,09/02/2023,6003650379,1204.00,0.00,1204.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,09/02/2023,6003650309,1484.00,0.00,1484.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,09/02/2023,6003650336,2996.00,0.00,2996.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,09/02/2023,6003650315,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,09/02/2023,6003650353,1690.00,0.00,1690.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,09/02/2023,6003650356,2795.00,0.00,2795.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,09/02/2023,1600704428,900.00,150.00,750.00,Dunelm Ecology Ltd,Capital Expenditure,External Fees - Other
Salford City Council,09/02/2023,1600704444,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,09/02/2023,1600704448,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,09/02/2023,1600704451,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,09/02/2023,1600704459,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,09/02/2023,1600704443,4086.42,681.07,3405.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,09/02/2023,1600704416,8333.33,0.00,8333.33,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,09/02/2023,1600704494,958.18,159.70,798.48,Enterprise Flex E-Rent,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704531,6336.00,0.00,6336.00,Federation Of Community Services,People (Adults) - CHSC,Grants
Salford City Council,09/02/2023,1600704401,1050.00,0.00,1050.00,Food Safety Consult Ltd,Place Directorate,Salaries and Wages reallocated
Salford City Council,09/02/2023,601483173,548.11,91.35,456.76,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483120,556.56,92.76,463.80,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483129,578.37,96.40,481.97,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483119,856.17,142.69,713.48,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483123,875.21,145.87,729.34,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483175,914.44,152.41,762.03,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483174,1152.43,192.08,960.35,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483126,1263.34,210.55,1052.79,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483172,1768.31,294.71,1473.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483131,1896.30,316.05,1580.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,09/02/2023,601483065,8972.53,400.01,8572.52,Georgemead Ltd T/A Cohens Chemist,Public Health,Payments to Agencies
Salford City Council,09/02/2023,1600704379,6667.00,0.00,6667.00,Gmw Mental Health Nhs Ft,Public Health,Payments to Agencies
Salford City Council,09/02/2023,1600704457,504.00,84.00,420.00,Griffin Care Training Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,09/02/2023,1600704489,557.94,92.99,464.95,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704495,557.94,92.99,464.95,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704455,558.00,93.00,465.00,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704465,558.00,93.00,465.00,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704471,581.92,96.99,484.93,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704478,581.92,96.99,484.93,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704491,581.92,96.99,484.93,Hireway Rentals Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,09/02/2023,1600704498,4620.00,0.00,4620.00,Hm Prison & Probation Service,People (Childrens) Service Group,Payments to Agencies
Salford City Council,09/02/2023,1600704378,6476.06,1079.34,5396.72,Horticon Ltd,People (Childrens) Service Group,Works & Building
Salford City Council,09/02/2023,1600704440,1977.12,329.52,1647.60,Insight Direct (Uk) Limited,Capital Expenditure,Purchase of Computer Equipment
Salford City Council,09/02/2023,601483144,630.00,105.00,525.00,Integrated Digital Cctv Systems Ltd,Place Directorate,Building Security Equipment
Salford City Council,09/02/2023,601483136,690.00,115.00,575.00,Interpower Ltd,People (Adults) - CHSC,Contractors
Salford City Council,09/02/2023,1600704532,8536.32,0.00,8536.32,Irk Valley Community School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,09/02/2023,1600704533,6100.00,0.00,6100.00,King David High School,People (Childrens) Service Group,Release of Provision
Salford City Council,09/02/2023,1600704403,2894.40,482.40,2412.00,Lone Worker Solutions Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,09/02/2023,1600704347,528.00,88.00,440.00,M & A Brown (Engravers) Ltd,Place Directorate,Contractors
Salford City Council,09/02/2023,601483161,1420.00,0.00,1420.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,09/02/2023,6003650374,1149.95,0.00,1149.95,Multi E-Commerce,People (Childrens) Service Group,Furniture
Salford City Council,09/02/2023,1600704525,9500.00,0.00,9500.00,Nationwide Headstone Company Ltd,Capital Expenditure,External Fees - Other
Salford City Council,09/02/2023,1600704475,540.00,90.00,450.00,Norseman Direct Ltd,Capital Expenditure,Works & Building
Salford City Council,09/02/2023,1600702788,4019.65,669.94,3349.71,Otis Limited,Service Reform (Corp Bus & Transform),UV Lift Maintenance
Salford City Council,09/02/2023,1600704447,3339.30,0.00,3339.30,Patrol,Place Directorate,Mediation Service between SCC and Bolton MBC
Salford City Council,09/02/2023,601482849,600.00,0.00,600.00,Property Services Northwest Ltd,People (Adults) - CHSC,Contractors
Salford City Council,09/02/2023,601483163,650.00,0.00,650.00,Property Services Northwest Ltd,People (Adults) - CHSC,Contractors
Salford City Council,09/02/2023,1600704530,993.60,165.60,828.00,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,09/02/2023,1600704393,5000.00,0.00,5000.00,Redacted Data,People (Childrens) Service Group,Equipment Purchase
Salford City Council,09/02/2023,6003650123,691.32,0.00,691.32,Redacted Data,People (Childrens) Service Group,Short Break-Disability
Salford City Council,09/02/2023,1600704450,56268.24,9378.04,46890.20,Rothwell Plumbing Services Ltd,Capital Expenditure,Other Works
Salford City Council,09/02/2023,1600704386,6921.75,0.00,6921.75,Salford Community & Voluntary Servi,Place Directorate,Grants - Externally Funded
Salford City Council,09/02/2023,1600704178,518.40,86.40,432.00,Schofield & Sons Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,09/02/2023,1600704180,563.10,93.85,469.25,Schofield & Sons Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,09/02/2023,1600704368,111626.65,18604.44,93022.21,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,09/02/2023,601483101,960.00,160.00,800.00,Sedgwick International Uk,Service Reform (Corp Bus & Transform),Premises Insurance
Salford City Council,09/02/2023,1600704515,6000.00,0.00,6000.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,09/02/2023,1600704507,9150.00,0.00,9150.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,09/02/2023,601483171,1000.00,0.00,1000.00,St Paul'S Ce Primary Heathside,People (Childrens) Service Group,delegated kitchen formula
Salford City Council,09/02/2023,1600704442,3933.60,655.60,3278.00,Standard Fuel Oils Ltd,Place Directorate,Vehicle Ancillary Costs
Salford City Council,09/02/2023,601483103,766.50,127.75,638.75,T/A Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,09/02/2023,1600704446,2662.80,443.80,2219.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
