Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/04/2024,05/04/2024,Purchase,100,Voucher Express
JB,26/04/2024,26/03/2024,Purchase,100,Tenpin Ltd - 186
JR,26/04/2024,22/04/2024,ATM Cash Withdrawal,100,Natwest Bank /
JB,26/04/2024,26/03/2024,Purchase,100.2,Homebase.Co.Uk
AA,26/04/2024,02/04/2024,Purchase,101.16,Paypal *toolchimp Limi
JB,26/04/2024,17/04/2024,Purchase,105.99,Amazon* 205-3394224-04
JB,26/04/2024,17/04/2024,Purchase,106,Bkg*hotel At Booking.C
DS,26/04/2024,08/04/2024,Purchase,106,Ovo Energy Ltd
JR,26/04/2024,31/03/2024,Purchase,107.1,Amazon* 204-9415888-98
AA,26/04/2024,02/04/2024,Credit Voucher,107.7,Severn Trent Water
JR,26/04/2024,03/04/2024,Purchase,107.88,Twinkl
JB,26/04/2024,26/03/2024,Purchase,108.11,Amazon* 204-8987796-49
JB,26/04/2024,31/03/2024,Purchase,109.9,Disney Plus
AA,26/04/2024,16/04/2024,Purchase,111.49,Trainline
JB,26/04/2024,21/04/2024,Purchase,113.96,Amazon* Jonathan / Cra
JB,26/04/2024,24/04/2024,Purchase,114.01,Travelodge Gb0000
JR,26/04/2024,28/03/2024,Purchase,114.05,Booker Ltd - 38598984
JR,26/04/2024,23/04/2024,Purchase,114.14,Booker Limited Ecom
JR,26/04/2024,29/03/2024,Purchase,114.28,Amazon* 204-2498121-51
JB,26/04/2024,13/04/2024,Purchase,115,Travelodge Gb0000
AA,26/04/2024,22/04/2024,Purchase,115,Travelodge Gb0000
JR,26/04/2024,26/03/2024,Purchase,116,Farmfoods 604
JR,26/04/2024,25/04/2024,Purchase,116,Farmfoods 604
DS,26/04/2024,26/03/2024,Purchase,116.47,Rontec Trench Lock
JB,26/04/2024,23/04/2024,Purchase,119.99,Amazon* 202-4589811-94
JB,26/04/2024,27/03/2024,Purchase,120,Green Skip Hire
JB,26/04/2024,05/04/2024,Purchase,120,Green Skip Hire
JR,26/04/2024,12/04/2024,Purchase,120,Green Skip Hire
JR,26/04/2024,12/04/2024,Purchase,120,Green Skip Hire
DS,26/04/2024,19/04/2024,Purchase,120,Shop Locally Telford L
AA,26/04/2024,16/04/2024,Purchase,120.98,Amazon* 026-1121062-27
JB,26/04/2024,19/04/2024,Purchase,121.09,Trainline
JB,26/04/2024,06/04/2024,Purchase,122,Bkg*hotel At Booking.C
JR,26/04/2024,27/03/2024,Credit Voucher,124.3,Defib Pad
AA,26/04/2024,02/04/2024,Purchase,124.36,Facebk 42xjl3grl2
JB,26/04/2024,22/04/2024,Purchase,125,Amazon.Co.Uk*hd7908s54
AA,26/04/2024,23/04/2024,Purchase,126,Travelodge Gb0000
AA,26/04/2024,02/04/2024,Purchase,127.93,Facebk 42xjl3grl2
JR,26/04/2024,27/03/2024,Purchase,128,Amazon* 204-5936159-28
JR,26/04/2024,20/04/2024,Purchase,128.62,Holiday Inn Express Swind
JR,26/04/2024,16/04/2024,Purchase,129.23,Booker Limited Ecom
JB,26/04/2024,03/04/2024,Purchase,129.99,Amazon* 206-0210499-35
JB,26/04/2024,04/04/2024,Purchase,130,Www.Argos.Co.Uk
JR,26/04/2024,16/04/2024,Purchase,131.01,Travelodge Gb0000
JR,26/04/2024,14/04/2024,Purchase,131.4,Lavazza Pro
AA,26/04/2024,16/04/2024,Credit Voucher,134,Premier Inn
AA,26/04/2024,24/04/2024,Purchase,134,Travelodge Gb0000
AA,26/04/2024,27/03/2024,Purchase,134.04,Tesco Stores 3290
JR,26/04/2024,03/04/2024,Purchase,134.75,Amazon.Co.Uk*he84k6f94
