Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,126 High Street Cowes,Uniform Business Rates,45413,3500004273,1175.25,Isle Of Wight Council
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45429,3110122802,1496.14,One Time Vendor
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45432,3110122874,5556.61,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45434,3110122936,9695.23,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALVINGTON MAST,Uniform Business Rates,45413,3500004272,790.1,Isle Of Wight Council
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Council Tax,45413,3500004255,1100,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45432,3110122867,1703.83,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45434,3110122932,849.22,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Water - Metered,45425,3110122570,801.07,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45427,3500004288,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45414,2200215674,2072,Ellis Electrical Limited
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45428,2200216481,3134,RENTOKIL INITIAL SERVICES LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45440,2200217068,218421.07,D M Habens The Builder Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Hired and Contracted Services,45425,2200216257,1213.99,ROCON CONTRACTORS LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Hired and Contracted Services,45426,2200216306,565,Bournemouth White Lining Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45413,2200215593,18213.06,Hampshire Partitioning Contracts Lt
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45423,2200216186,859.3,MB Garage Equipment Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45426,2200216261,653.94,Snap On Diagnostics
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45441,2200217108,783,MB Garage Equipment Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45441,2200217192,563.8,V.O.R Services Ltd
Hampshire & Isle of Wight Constabulary,BASINGSTOKE POLICE STATION (PARKLANDS),Rent,45413,2200215508,53233.28,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Uniform Business Rates,45432,3500004293,1435,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Uniform Business Rates,45413,3500004256,1223,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45432,3110122813,1216.19,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Uniform Business Rates,45413,3500004254,4239.5,Southampton City Council
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45415,2200215676,1040,Sepura Plc
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45427,2200216405,808.4,Sepura Plc
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Radio Costs,45420,2200216001,619.59,Co Star Components
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45419,2200215832,1100,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CAIT,Technical and Professional Consultant F,45435,3110122971,1357.19,One Time Vendor
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45413,2200215577,5793.29,DHL Supply Chain Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45413,2200215568,627.7,Medtree
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45413,2200215566,4324.74,Try & Lilly Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45414,2200215637,5149.9,Mehler Vario System Gmbh
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45414,2200215635,507.5,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45415,2200215715,735,Arktis Endurance Textiles Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45415,2200215731,1400,Arktis Endurance Textiles Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45415,2200215728,2156.25,Endura Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45415,2200215712,692.85,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45415,2200215729,1081.33,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45426,2200216291,4185,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45427,2200216323,621.1,Engelbert Strauss LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45433,2200216715,6204.29,DHL Supply Chain Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45433,2200216712,1070,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45434,2200216785,1019.74,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45434,2200216796,1780.5,Mehler Vario System Gmbh
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45434,2200216799,4003.65,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45434,2200216801,1400,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45434,2200216795,1751.55,Tch Uk Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45434,2200216802,606.66,Tran Am Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216814,1715,Clifton Canvas Developments Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216815,1590,Clifton Canvas Developments Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216828,2112.05,Endura Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216893,2449.12,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216824,617.05,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216868,602.7,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45435,2200216831,5446.4,Try & Lilly Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45436,2200217015,2223.55,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45436,2200217029,-1751.55,Tch Uk Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Equipment,45419,2200215909,5711.5,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Equipment,45421,2200216016,-5711.5,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Equipment,45421,2200216049,5711.5,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Equipment,45433,2200216652,7350,CIVIL DEFENCE SUPPLY LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Equipment,45435,2200216881,36621,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Equipment,45440,2200217067,2606,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CONTACT MANAGEMENT CENTRE,"Publicity, Promotions and Advertisement",45428,2200216448,2750,Bauer Radio Limited
Hampshire & Isle of Wight Constabulary,CONTACT MANAGEMENT CENTRE,"Publicity, Promotions and Advertisement",45428,2200216449,1720,Bauer Radio Limited
Hampshire & Isle of Wight Constabulary,CONTACT MANAGEMENT CENTRE,"Publicity, Promotions and Advertisement",45428,2200216450,1790,Bauer Radio Limited
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Other Employee Expenses,45442,3110123157,56486.86,HM Revenue & Customs APSS300 & APSS
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Other Services,45442,2200217203,2126.16,HAMPSHIRE PENSION FUND
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Professional Subscriptions,45433,2200216645,20000,CIPFA Business Limited
Hampshire & Isle of Wight Constabulary,Corporate insights,Technical and Professional Consultant F,45425,3110122549,900,One Time Vendor
Hampshire & Isle of Wight Constabulary,COSHAM POLICE STATION (PN),Non System - Water - Metered,45425,3110122603,666.69,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,COSHAM POLICE STATION (PN),Uniform Business Rates,45413,3500004242,4914,Portsmouth City Council
Hampshire & Isle of Wight Constabulary,CRABWOOD MAST,Non System - Electricity,45432,3110122824,722,NPOWER
Hampshire & Isle of Wight Constabulary,CRABWOOD MAST,Uniform Business Rates,45413,3500004265,761,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45426,2200216278,1693.17,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45435,2200216902,1415.5,THOMAS KNEALE & CO LTD
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45436,2200216963,697.2,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Catering Provisions,45425,2200216206,16780.94,BAXTERSTOREY LIMITED
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45413,2200215572,733.32,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45426,2200216275,1355.08,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45432,2200216546,1073.23,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45432,2200216561,645.58,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45432,2200216562,5037.03,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Equipment,45428,2200216439,20480,INTOXIMETERS UK LTD
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Laundry and Dry Cleaning,45413,2200215589,4123.26,Berendsen Uk Ltd
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Laundry and Dry Cleaning,45421,2200216085,-4123.26,Berendsen Uk Ltd
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Laundry and Dry Cleaning,45442,3110123171,-16691.22,Berendsen Uk Ltd
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Medical and Counselling Fees,45419,2200215830,139994.17,Partnering Health Limited
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Technical and Professional Consultant F,45436,2200216975,41532.78,D.A. LANGUAGES
Hampshire & Isle of Wight Constabulary,CUSTODY IOW PIC,Equipment,45435,2200216903,1377.5,THOMAS KNEALE & CO LTD
Hampshire & Isle of Wight Constabulary,CUSTODY NORTHERN PIC,Equipment,45419,2200215810,570.75,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY NORTHERN PIC,Equipment,45428,2200216427,1240.25,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY NORTHERN PIC,Equipment,45435,2200216882,1121,THOMAS KNEALE & CO LTD
Hampshire & Isle of Wight Constabulary,CUSTODY WESTERN PIC,Equipment,45413,2200215587,1325.56,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY WESTERN PIC,Equipment,45428,2200216407,1147.8,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY WESTERN PIC,Staff Use of Public Transport,45422,2200216093,1051.05,RADIO TAXIS (SOUTHAMPTON)
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45426,2200021309,115212.29,Hp Contracts Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45426,2200021311,21803.52,Hp Contracts Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45426,2200021310,1227,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45428,2200021329,16407.18,SPECIALIST COMPUTER CENTRES
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45435,2200021382,-16407.18,SPECIALIST COMPUTER CENTRES
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45440,2200021407,66639.32,DM Habens The Builder Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45440,2200021408,103328.78,DM Habens The Builder Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45441,2200021422,16407.18,SPECIALIST COMPUTER CENTRES
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Site Works,45429,2200021337,549,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45413,2200021201,9454.79,Cartwright Vehicle Conversions Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45413,2200021206,29003.41,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45414,2200021215,-19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45414,2200021216,19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45414,2200021217,-19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45414,2200021218,19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45414,2200021219,-19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45414,2200021220,19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45420,2200021237,23195,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45420,2200021239,23195,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45422,2200021283,21517.12,Toyota GB PLC
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45422,2200021284,21517.11,Toyota GB PLC
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45422,2200021285,21517.12,Toyota GB PLC
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45422,2200021286,21517.12,Toyota GB PLC
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45422,2200021287,21517.11,Toyota GB PLC
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45433,2200021357,20060.98,Toyota GB PLC
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45436,2200021395,3488.19,tscomms Ltd
Hampshire & Isle of Wight Constabulary,Digital Policing,Payments to Other PC,45415,2200215695,21952.27,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,Digital Policing,Payments to Other PC,45415,2200215696,27539.38,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45413,3110122427,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45415,3110122470,835,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45415,3110122471,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45415,3110122473,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45415,3110122474,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45428,3110122791,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45428,3110122792,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Specsavers,Medical and Counselling Fees,45432,2200216579,772.76,Specsavers
Hampshire & Isle of Wight Constabulary,DIRECT F2F Counselling Health assured,Medical and Counselling Fees,45419,2200215910,4695.6,Health Assured Limited
Hampshire & Isle of Wight Constabulary,DIRECT- Psychological Screening Core,Medical and Counselling Fees,45414,2200215665,5200,NTA Psychological Screening Ltd
Hampshire & Isle of Wight Constabulary,DIRECT- Psychological Screening Core,Medical and Counselling Fees,45414,2200215666,850,NTA Psychological Screening Ltd
Hampshire & Isle of Wight Constabulary,DIRECT- Psychological Screening Core,Medical and Counselling Fees,45419,2200215912,2450,NTA Psychological Screening Ltd
Hampshire & Isle of Wight Constabulary,District CID Head Office,Materials,45435,2200216886,1550,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District CID West Head Office,Equipment,45428,2200216485,1100,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police East HO,Equipment,45432,2200216572,1598,JNE Security Ltd.
Hampshire & Isle of Wight Constabulary,District Police East HO,Materials,45419,2200215816,2168.75,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police North HO,Equipment,45440,2200217093,1225,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police North HO,Materials,45419,2200215817,2168.75,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police West HO,Materials,45419,2200215814,2168.75,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45414,2200215662,640,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45422,2200216088,827.5,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45433,2200216684,749.8,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45442,2200217204,827.5,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216335,507.34,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216336,507.34,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216337,582.76,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216338,634.18,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216339,634.18,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216340,634.18,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216341,634.18,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216342,621.6,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,Agency Staff,45427,2200216374,634.18,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Driver Awareness,IT Software,45414,2200215608,3790,Clarity Information Solutions Ltd
Hampshire & Isle of Wight Constabulary,DRIVER EDUCATION - RESERVE,Other Training Courses and Qualification,45429,2200216505,948,Cubic Transportation Systems
Hampshire & Isle of Wight Constabulary,Drone Project,Equipment,45427,2200216321,3200,iRed Limited
Hampshire & Isle of Wight Constabulary,Drone Project,Insurance Costs,45414,2200215630,-3465.02,Marsh Ltd
Hampshire & Isle of Wight Constabulary,Drones BVLS Project,IT Software,45421,2200216053,18700,Idroneimages Ltd
