DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Resources Directorate,01/06/2023, 820.00 ,REDACTED PERSONAL DATA,Invoice,HB Overpayments
Resources Directorate,01/06/2023, 711.00 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances
Resources Directorate,01/06/2023, 861.34 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances
Resources Directorate,01/06/2023," 2,031.91 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances
Resources Directorate,01/06/2023," 1,934.61 ",PA HOUSING,Invoice,Rent Allowances
Resources Directorate,01/06/2023," 12,865.79 ",SPEAR,Invoice,Rent Allowances
Resources Directorate,01/06/2023," 1,520.00 ",REGENT HOUSING LTD,Invoice,Rent Allowances
Environment & Community Services Directorate,01/06/2023, 700.00 ,REDACTED PERSONAL DATA,Invoice,Consultants Fees
Capital Expenditure,01/06/2023," 2,000.00 ",REDACTED PERSONAL DATA,Invoice,CAPEXP Housing Grants Analysis
Chief Executives Directorate,01/06/2023," 5,000.00 ",Rotary Club ofTwickenham upon,Invoice,Grants to Other Groups
Environment & Community Services Directorate,01/06/2023," 2,754.00 ",Burges Salmon,Invoice,Miscellaneous Income
Environment & Community Services Directorate,01/06/2023," 3,000.00 ",Burges Salmon,Invoice,Miscellaneous Income
Chief Executives Directorate,01/06/2023," 4,000.00 ",Barnes Common Ltd,Invoice,Grants to Other Groups
Chief Executives Directorate,01/06/2023," 4,000.00 ",Barnes Common Ltd,Invoice,Grants to Other Groups
Housing & Regeneration Directorate,01/06/2023," 4,420.00 ",Stewart & Young Ltd,Invoice,Social Fund Payments
Capital Expenditure,01/06/2023," 1,862.40 ",P W SECURE-IT LTD,Invoice,CAPEXP Other Building Reltd Wk
Housing & Regeneration Directorate,01/06/2023," 12,748.07 ",BT Redcare,Invoice,Security & Fire Protection
Environment & Community Services Directorate,01/06/2023," 2,087.49 ",Dawsongroup Vans Ltd,Invoice,Transport Hire & Leasing Costs
Adult Social Services Directorate,01/06/2023," 6,308.32 ",REDACTED PERSONAL DATA,Invoice,Third Party Pymt - Health
Capital Expenditure,01/06/2023," 19,824.00 ",K & A Construction,Invoice,CAPEXP Other Building Reltd Wk
Housing & Regeneration Directorate,01/06/2023," 2,829.02 ",WEC Electrical Contractors Ltd,Invoice,Planned Maintenance - Bldgs
Capital Expenditure,01/06/2023," 107,441.85 ",F M Conway Limited,Invoice,CAPEXP Construction Work
Housing & Regeneration Directorate,01/06/2023," 7,420.80 ",STULZ UK Ltd,Invoice,Planned Maintenance - Bldgs
Capital Expenditure,01/06/2023," 1,466.85 ",ASTON CORD LIMITED,Invoice,CAPEXP Housing Grants Analysis
Housing & Regeneration Directorate,01/06/2023," 4,076.03 ",Ansador Limited,Invoice,Security & Fire Protection
Resources Directorate,01/06/2023," 18,144.00 ",LONDON BOROUGH OF CROYDON,Invoice,Internal Audit Contract
Capital Expenditure,01/06/2023," 35,297.03 ",ACR LONDON LTD,Invoice,CAPEXP Other Building Reltd Wk
Adult Social Services Directorate,01/06/2023," 2,047.20 ",PORTMASTER LTD T/A CAPITAL CAR,Invoice,Transport Hire & Leasing Costs
Capital Expenditure,01/06/2023," 7,137.60 ",WESTMINSTER BUILDING SERVICES ,Invoice,CAPEXP Other Building Reltd Wk
Housing & Regeneration Directorate,01/06/2023, 688.20 ,PUBLIC CLOCKS LTD,Invoice,Reactive maintenance - bldgs
Housing & Regeneration Directorate,01/06/2023," 1,408.52 ",T BROWN GROUP LTD,Invoice,Reactive maintenance - bldgs
Housing & Regeneration Directorate,01/06/2023," 1,860.00 ",COMMERCIAL KITCHEN SERVICES(LO,Invoice,Planned Maintenance - Bldgs
Housing & Regeneration Directorate,01/06/2023," 1,160.64 ",HOME COUNTY FIRE CATERHAM LTD,Invoice,Planned Maintenance - Bldgs
Capital Expenditure,01/06/2023," 4,982.35 ",Smith ,Invoice,CAPEXP Construction Work
Capital Expenditure,01/06/2023," 1,462.50 ",REDACTED PERSONAL DATA,Invoice,CAPEXP Other Building Reltd Wk
Environment & Community Services Directorate,01/06/2023," 3,407.18 ",Flowbird Smart City UK Limited,Invoice,PDQ Charges
Capital Expenditure,01/06/2023, 810.00 ,MICHAEL BARCLAY PARTNERSHIP LL,Invoice,CAPEXP Other Building Reltd Wk
Adult Social Services Directorate,01/06/2023," 1,441.60 ",GLEBE ROAD SURGERY,Invoice,Third Party Pymt - Health
Housing & Regeneration Directorate,01/06/2023," 39,309.60 ",DEBA UK LTD,Invoice,Planned Maintenance - Bldgs
Capital Expenditure,01/06/2023," 5,526.13 ",MILLWOOD SERVICING LTD,Invoice,CAPEXP Other Building Reltd Wk
Capital Expenditure,01/06/2023," 11,861.77 ",Pool Tech Services Ltd,Invoice,CAPEXP Other Building Reltd Wk
Housing & Regeneration Directorate,01/06/2023, 685.20 ,First Fire Services Ltd,Invoice,Planned Maintenance - Bldgs
Housing & Regeneration Directorate,01/06/2023," 9,837.60 ",A.D.M.I Doors Ltd,Invoice,Planned Maintenance - Bldgs
Capital Expenditure,01/06/2023," 1,085.12 ",Guardian Industrial Doors Ltd,Invoice,CAPEXP Other Building Reltd Wk
Environment & Community Services Directorate,01/06/2023," 1,333.33 ",Bibby Factors Leicester Ltd,Invoice,Agency Staff
Housing & Regeneration Directorate,01/06/2023, 696.00 ,Frankham Risk Management Servi,Invoice,Planned Maintenance - Bldgs
Housing & Regeneration Directorate,01/06/2023, 936.00 ,PORTERS PEST CONTROL LTD,Invoice,Reactive maintenance - bldgs
Environment & Community Services Directorate,01/06/2023," 6,636.96 ",Leading Construction Ltd,Invoice,General Grounds Maintenance
Housing & Regeneration Directorate,01/06/2023, 946.93 ,ICAB (Hotel) Bookings,Invoice,B&B Payments
Capital Expenditure,01/06/2023," 1,104.00 ",Lightning Protection Services,Invoice,CAPEXP Other Building Reltd Wk
Housing & Regeneration Directorate,01/06/2023," 2,688.00 ",AMALGAMATED LIFTS LTD,Invoice,Planned Remedials - Bldgs
Housing & Regeneration Directorate,01/06/2023," 1,536.00 ",Envirosurv Ltd,Invoice,Planned Remedials - Bldgs
Housing & Regeneration Directorate,01/06/2023, 900.00 ,KENWAYS FURNITURE,Invoice,Social Fund Payments
Capital Expenditure,01/06/2023," 1,920.00 ",Cundall Johnston & Partners LL,Invoice,CAPEXP Professional Fees
Capital Expenditure,01/06/2023," 1,584.80 ",JTL Fire Limited,Invoice,CAPEXP Other Building Reltd Wk
Capital Expenditure,01/06/2023," 1,680.00 ",J COFFEY CONSTRUCTION LIMITED,Invoice,CAPEXP Other Building Reltd Wk
Adult Social Services Directorate,01/06/2023," 18,596.80 ",R-H-P Outreach Services Ltd,Invoice,Supported Living
Housing & Regeneration Directorate,02/06/2023," 4,500.00 ",Snellers,Invoice,Homeless Red Act Initiatives
Chief Executives Directorate,02/06/2023," 3,824.48 ",Historic Royal Palaces Agency,Invoice,Returned AP Payments
Environment & Community Services Directorate,02/06/2023," 30,362.40 ",John Hanlon & Company Ltd,Invoice,Transport Hire & Leasing Costs
Housing & Regeneration Directorate,02/06/2023," 24,722.52 ",Salaft Property Investments Lt,Invoice,Premises Insurance
Environment & Community Services Directorate,02/06/2023, 500.00 ,Keystone Masonry,Invoice,Materials
Adult Social Services Directorate,02/06/2023," 6,217.05 ",CHD Living T/A Crest Lodge,Invoice,External Nursing Care
Environment & Community Services Directorate,02/06/2023," 14,715.18 ",Dawsongroup Vans Ltd,Invoice,Transport Hire & Leasing Costs
Resources Directorate,02/06/2023," 1,837.19 ",CFH Docmail Ltd,Invoice,Printing 
Adult Social Services Directorate,02/06/2023," 70,670.23 ",CARE UK COMMUNITY PARTNERSHIP,Invoice,External Residential Care
Environment & Community Services Directorate,02/06/2023," 1,010.50 ",GREATBATCH LTD,Invoice,CPZ Zone Extensions
Housing & Regeneration Directorate,02/06/2023," 1,607.04 ",QUARTIX LTD,Invoice,Fuel
Environment & Community Services Directorate,02/06/2023, 946.74 ,Gaffey Technical Services Ltd,Invoice,Materials
Housing & Regeneration Directorate,02/06/2023," 5,190.00 ",ethical lettings,Invoice,Homeless Red Act Initiatives
Adult Social Services Directorate,02/06/2023," 1,545.60 ",AJ Mobility & Training Service,Invoice,Transport Hire & Leasing Costs
Capital Expenditure,02/06/2023," 30,327.65 ",Leading Construction Ltd,Invoice,CAPEXP Construction Work
Adult Social Services Directorate,02/06/2023," 5,741.86 ",Salutem Shared Services III,Invoice,External Residential Care
Housing & Regeneration Directorate,02/06/2023, 519.36 ,ICAB (Hotel) Bookings,Invoice,B&B Payments
Adult Social Services Directorate,02/06/2023," 2,656.28 ",NonStop Consulting Ltd,Invoice,Agency Staff
Capital Expenditure,02/06/2023," 4,800.00 ",RPS CONSULTING SERVICES LIMITE,Invoice,CAPEXP Professional Fees
Environment & Community Services Directorate,02/06/2023, 575.82 ,Commercial Limited,Invoice,Stationery
Capital Expenditure,02/06/2023," 121,923.00 ",Cromwell Engineering Limited,Invoice,CAPEXP Construction Work
Environment & Community Services Directorate,02/06/2023, 675.00 ,REDACTED PERSONAL DATA,Invoice,Sport Coaching
Adult Social Services Directorate,05/06/2023, 970.00 ,The Paradise Road Practice,Invoice,Third Party Pymt - Health
Adult Social Services Directorate,05/06/2023," 3,260.00 ",REDACTED PERSONAL DATA,Invoice,Third Party Pymt - Health
Chief Executives Directorate,05/06/2023, 785.00 ,Mike Smith Training and Consul,Invoice,Training
Environment & Community Services Directorate,05/06/2023, 728.82 ,REDACTED PERSONAL DATA,Invoice,Sport Coaching
Environment & Community Services Directorate,05/06/2023, 647.00 ,REDACTED PERSONAL DATA,Invoice,Sport Coaching
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023," 4,104.84 ",REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
Resources Directorate,05/06/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Miscellaneous Expenses
