Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
HRA,850,HOUSING SERVICES (HRA),5100,HRA Inclusion,Horticultural Costs,6140300,01/08/2024,5100427489,"1,440.00",Revenue,M J GRANGER GROUNDS MAINTENANC,100150
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Priory House Café,Catering Supplies,6140200,01/08/2024,5100423309,676.10,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Ferndale OPH,Catering Supplies,6140200,01/08/2024,5100424874,705.91,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Catering Supplies,6140200,01/08/2024,5100427109,447.83,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
RESOURCES,150,GOVERNANCE,2500,Coroners,Conveyance of Bodies,6151450,01/08/2024,5100427007,"7,025.00",Revenue,NEVILLE FUNERAL SERVICE LTD,100337
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Ivel Valley Quadrant,Postages,6142000,01/08/2024,5100423925,"5,908.10",Revenue,POSTAGE BY PHONE,100621
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345674,284.76,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345673,284.76,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345672,284.76,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345671,284.76,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345651,297.72,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345650,297.72,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345649,297.72,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345648,297.72,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345647,462.74,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345646,462.74,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345645,462.74,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345644,462.74,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345639,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345638,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345637,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345636,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345632,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345631,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345630,372.15,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,01/08/2024,2100345629,372.15,Revenue,HF TRUST LTD,100631
HRA,850,HOUSING SERVICES (HRA),5100,Repairs cyclical,Legionella Testing,6152101,01/08/2024,5100427196,460.00,Revenue,M C S CONTRACT CLEANING LTD,100705
HRA,850,HOUSING SERVICES (HRA),5100,Repairs cyclical,Legionella Testing,6152101,01/08/2024,5100427228,460.00,Revenue,M C S CONTRACT CLEANING LTD,100705
HRA,850,HOUSING SERVICES (HRA),5100,Repairs cyclical,Legionella Testing,6152101,01/08/2024,5100427229,460.00,Revenue,M C S CONTRACT CLEANING LTD,100705
HRA,850,HOUSING SERVICES (HRA),5100,Repairs cyclical,Legionella Testing,6152101,01/08/2024,5100427230,460.00,Revenue,M C S CONTRACT CLEANING LTD,100705
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,01/08/2024,5100427607,"4,583.33",Revenue,SIGNPOSTS (LUTON),100774
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Public Bus Subsidy,Transport Contracts,6151520,01/08/2024,5100427541,"3,550.00",Revenue,CENTREBUS LTD,100876
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Public Bus Subsidy,Transport Contracts,6151520,01/08/2024,5100427538,"3,750.00",Revenue,STAGECOACH SERVICES LTD,101089
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/08/2024,2100345537,474.94,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/08/2024,2100345536,643.32,Revenue,MENTAUR LTD,101095
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/08/2024,2100345535,643.32,Revenue,MENTAUR LTD,101095
