Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
RESOURCES,150,GOVERNANCE,2500,Reg of Electors,Subscriptions,6144305,01/05/2024,5100407035,"-2,181.00",Revenue,LEXIS NEXIS,0000102896
RESOURCES,150,GOVERNANCE,2500,Reg of Electors,Subscriptions,6144305,01/05/2024,5100329900,"2,181.00",Revenue,LEXIS NEXIS,0000102896
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,Post 16,Voluntary & Independent Schools,6151710,01/05/2024,5100382021,"-10,266.47",Revenue,THE LODDON SCHOOL,0000147533
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,External Legal Costs,6141045,01/05/2024,5100406839,"28,904.01",Capital,One Time Vendor (CHAPS),0000900057
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,02/05/2024,5100407103,"2,077.56",Capital,BSG PROPERTY SERVICES LTD,0000100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,02/05/2024,5100407104,"5,057.07",Capital,BSG PROPERTY SERVICES LTD,0000100091
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Sth,Residential Care Home Placements,6151210,02/05/2024,5100406835,585.43,Revenue,QUANTUM CARE LTD,0000100516
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Ivel Valley Quadrant,Postages,6142000,02/05/2024,5100404060,"5,008.14",Revenue,POSTAGE BY PHONE,0000100621
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,Con & Rev NIHR,Other Payments,6160400,02/05/2024,5100406735,"4,650.00",Revenue,UNIVERSITY OF BEDFORDSHIRE,0000100689
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,02/05/2024,5100406992,"4,583.33",Revenue,SIGNPOSTS (LUTON),0000100774
RESOURCES,150,LEGAL SERVICES,7500,Legal Services,Subscriptions,6144305,02/05/2024,5100405330,"27,637.76",Revenue,THE COPYRIGHT LICENSING AGENCY,0000100805
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100281000,"1,290.32",Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280679,444.84,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280678,444.84,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280677,444.84,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280676,444.84,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280675,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280674,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280673,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280672,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280671,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280670,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280669,748.14,Revenue,MENCAP,0000101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,02/05/2024,2100280668,748.14,Revenue,MENCAP,0000101804
