Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/06/2024,5100413802,"-17,521.20",Revenue,BEDFORD BOROUGH COUNCIL,0000109540
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/06/2024,5100413805,"-16,362.50",Revenue,BEDFORD BOROUGH COUNCIL,0000109540
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/06/2024,5100413801,"-14,210.40",Revenue,BEDFORD BOROUGH COUNCIL,0000109540
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/06/2024,5100367676,"17,521.20",Revenue,BEDFORD BOROUGH COUNCIL,0000109540
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/06/2024,5100381049,"14,210.40",Revenue,BEDFORD BOROUGH COUNCIL,0000109540
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Other LAs SLA's & Recharges,6150200,03/06/2024,5100413963,"16,362.50",Revenue,BEDFORD BOROUGH COUNCIL,0000109540
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,04/06/2024,5100413828,"9,149.70",Capital,BSG PROPERTY SERVICES LTD,0000100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,04/06/2024,5100413829,"2,079.90",Capital,BSG PROPERTY SERVICES LTD,0000100091
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Grounds Maint - Mid,Private Contractors,6151500,04/06/2024,5100413558,"33,488.65",Revenue,M J GRANGER GROUNDS MAINTENANC,0000100150
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Grounds Maint - Mid,Private Contractors,6151500,04/06/2024,5100412531,"12,719.77",Revenue,M J GRANGER GROUNDS MAINTENANC,0000100150
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Priory House Café,Catering Supplies,6140200,04/06/2024,5100411985,399.16,Revenue,BRAKE BROS FOOD SERVICE LTD,0000100299
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Ivel Valley Quadrant,Postages,6142000,04/06/2024,5100409515,918.69,Revenue,POSTAGE BY PHONE,0000100621
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,04/06/2024,2100299842,355.95,Revenue,HF TRUST LTD,0000100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,04/06/2024,2100299841,355.95,Revenue,HF TRUST LTD,0000100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,04/06/2024,2100299840,355.95,Revenue,HF TRUST LTD,0000100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Day Care,6151230,04/06/2024,2100299839,355.95,Revenue,HF TRUST LTD,0000100631
HRA,850,HOUSING SERVICES (HRA),5100,Repairs cyclical,Legionella Testing,6152101,04/06/2024,5100413777,460.00,Revenue,M C S CONTRACT CLEANING LTD,0000100705
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,Early Years SEN Fund,Nursery Providers,6151535,04/06/2024,5100413954,787.75,Revenue,ICKWELL PRE-SCHOOL,0000100721
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,04/06/2024,5100413649,"4,583.33",Revenue,SIGNPOSTS (LUTON),0000100774
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Arts & Culture,Professional Services - Other,6141040,04/06/2024,5100411347,424.80,Revenue,BEDFORD CREATIVE ARTS,0000100951
RESOURCES,150,INFORMATION TECHNOLOGY,7550,MFDs,Printing Services,6140801,04/06/2024,5100409657,577.82,Revenue,RICOH UK LTD,0000101388
