Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
FINANCE,151,REVENUE & BENEFITS,2240,Customer Accounts,Printing Services,6140801,02/12/2024,5100453747,"12,938.71",Revenue,DSI BILLING SERVICES LTD,145960
FINANCE,151,REVENUE & BENEFITS,2240,Customer Accounts,Printing Services,6140801,02/12/2024,5100454768,"-12,938.71",Revenue,DSI BILLING SERVICES LTD,145960
HRA,850,HOUSING SERVICES (HRA),5100,Housing Rent Income,Rent Allowances,6170010,02/12/2024,5100454770,-636.94,Revenue,Personal Payment,900055
HRA,850,HOUSING SERVICES (HRA),5100,Housing Rent Income,Rent Allowances,6170010,02/12/2024,5100454680,636.94,Revenue,Personal Payment,900055
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454331,"3,828.11",Capital,BSG PROPERTY SERVICES LTD,100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454334,"6,041.00",Capital,BSG PROPERTY SERVICES LTD,100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454671,"13,247.80",Capital,BSG PROPERTY SERVICES LTD,100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454672,"3,426.00",Capital,BSG PROPERTY SERVICES LTD,100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454674,"2,050.35",Capital,BSG PROPERTY SERVICES LTD,100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,03/12/2024,5100454675,"2,685.77",Capital,BSG PROPERTY SERVICES LTD,100091
