Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,02/10/2023,4185030-669,"œ2,058.00",4NATURE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/10/2023,4185031-9503,"œ1,296.00",A19 DRILLING LTD.
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,338027,Services,02/10/2023,4185035-28537267,"œ6,480.00",AECOM LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,02/10/2023,4185048-6938992,œ747.48,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,02/10/2023,4185053-115886,"œ3,600.00",BAYDALE CONTROL SYSTEMS LTD.
Resources BK0010,Legal & Democratic Services,Supplies and Services,338057,Services,02/10/2023,4185060-2460,œ894.00,BIOFORTUNA LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,02/10/2023,4185062-168121,œ675.97,BOLINDA DIGITAL LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338035,Services,02/10/2023,4185079-806410110,œ710.00,CITY & GUILDS OF LONDON INSTITUTE.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/10/2023,4185081-2852ABW428,œ668.04,CITY PLUMBING SUPPLIES HOLDINGS LTD.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,02/10/2023,4185098-3910022454,"œ180,916.00",COUNTY DURHAM & DARLINGTON NHS FOUNDATION TRUST (CDDFT).
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,02/10/2023,4185105-7402945897,œ818.22,DELL COMPUTER CORPORATION LTD.
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,02/10/2023,4185105-7402945898,"œ3,402.00",DELL COMPUTER CORPORATION LTD.
