Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,01/11/2023,4197828-168,"œ3,269.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,01/11/2023,4197663-16843,"œ1,054.70",1AB TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/11/2023,4197664-0923/SA,"œ2,916.00",AABAT TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/11/2023,4197664-0923/SG,"œ1,666.00",AABAT TAXIS.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/11/2023,4197671-35192529,"œ1,724.36",AGGREGATE INDUSTRIES UK LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,308011,Furniture,01/11/2023,4197674-179498,"œ4,870.00",ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.
Adult and Health Services,Head of Adults,Supplies and Services,304259,Equipment and Materials,01/11/2023,4197674-179650,"œ3,390.00",ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,01/11/2023,4197675-INV633428,œ900.00,ALPHA BIOLABORATORIES LTD.
Regeneration Economy and Growth,Transport and Contracted Services,Third Party Payments,430106,Rendered by Private Contractors,01/11/2023,4197684-121143,"œ24,051.18",ARRIVA NORTHUMBRIA LTD.
Regeneration Economy and Growth,Transport and Contracted Services,Third Party Payments,430106,Rendered by Private Contractors,01/11/2023,4197684-121144,"œ67,437.21",ARRIVA NORTHUMBRIA LTD.
Regeneration Economy and Growth,Transport and Contracted Services,Third Party Payments,430106,Rendered by Private Contractors,01/11/2023,4197684-121156,"œ68,853.78",ARRIVA NORTHUMBRIA LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,352001,Conference Expenses,01/11/2023,4197686-2023-822,œ950.00,ASPIRE PSYCHOLOGICAL SERVICES LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,352001,Conference Expenses,01/11/2023,4197686-2023-823,"œ2,400.00",ASPIRE PSYCHOLOGICAL SERVICES LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,352001,Conference Expenses,01/11/2023,4197686-2023-824,"œ3,800.00",ASPIRE PSYCHOLOGICAL SERVICES LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/11/2023,4197687-990,"œ2,970.00",AT TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/11/2023,4197689-DCC-12SEPT23,"œ3,643.56",ATLAS TAXIS MANAGEMENT LTD.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,01/11/2023,4197689-DCC-18SEPT23,"œ1,957.18",ATLAS TAXIS MANAGEMENT LTD.
