Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,01/03/2024,4241250-RES-02-2024-408,£765.84,REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,01/03/2024,4241318-054,"£1,282.40",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,01/03/2024,4241329-23052,"£1,638.77",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,01/03/2024,4241470-RES-02-2024-410,"£3,000.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,304259,Equipment and Materials,01/03/2024,4241313-6050,"£6,670.00",CREATIVE CARE TODMORDEN LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/03/2024,4241405-SI-0027636,"£13,158.00",KINGSLEY PLASTICS LIMITED.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/03/2024,4241442-SALE-1544265,£963.22,NEWITT & CO LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384237,Miscellaneous Expenses,01/03/2024,4241519-2240,"£1,200.00",STREETGAMES UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,01/03/2024,4241553-INV-4360,"£14,000.00",WALK UNLIMITED LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338066,Services,01/03/2024,4241242-6985,"£1,210.00",ACADEMY GEOMATICS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338066,Services,01/03/2024,4241242-6986,"£1,210.00",ACADEMY GEOMATICS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,106080,Centrally Controlled Rep and Maint,01/03/2024,4241244-53830020,£769.59,ADT FIRE & SECURITY PLC.
Regeneration Economy and Growth,Corporate Property and Land,Premises,106082,Centrally Controlled Rep and Maint,01/03/2024,4241244-54218094,"£1,225.63",ADT FIRE & SECURITY PLC.
Regeneration Economy and Growth,Corporate Property and Land,Premises,106082,Centrally Controlled Rep and Maint,01/03/2024,4241244-54434146,"£1,605.09",ADT FIRE & SECURITY PLC.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106082,Centrally Controlled Rep and Maint,01/03/2024,4241244-54440343,£671.18,ADT FIRE & SECURITY PLC.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/03/2024,4241260-7005086,£742.31,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Business Durham,Fees,901002,Consultants fees 901002,01/03/2024,4241262-24004774,"£49,063.73",ATKINSREALIS UK LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/03/2024,4241266-SI-7291,"£4,849.00",BELL CONTROL SOLUTIONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,01/03/2024,4241267-36159658,£820.15,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,01/03/2024,4241267-46067214,"£3,158.27",BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,01/03/2024,4241267-46067254,£763.32,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338099,Services,01/03/2024,4241277-17108,£628.00,BORDER SIGNS & GRAPHICS.
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,01/03/2024,4241285-94208,"£1,712.09",CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,01/03/2024,4241285-94209,£599.79,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,01/03/2024,4241285-94210,£593.33,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,01/03/2024,4241285-94211,£577.35,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,01/03/2024,4241285-94212,£862.65,CARE ABILITY HEALTHCARE LTD.
