Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - Grants to voluntary and community service organisations,Women & Health Policy  (Programme),A WAY OUT,WSCCC202225AWAYOUT,"£31,505.00",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,12/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - LEGAL SERVICES - THIRD PARTY LEGAL COSTS,Covid 19 Inquiry Response Team,ADDLESHAW GODDARD LLP,100-1061997,"£35,152.32",Professional services
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - Grants to voluntary and community service organisations,Women & Health Policy  (Programme),ADVANCE ADVOCACY & NON VIOLENCE COMMUNITY EDUCATION,WSCCC202225ADVANCE3,"£37,500.00",Grants to voluntary public private and third sector organisations
MoJ,MoJ HQ,12/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Productivity and Collaboration,ADVANIA,CCSI0010858,"£46,680.00",Information technology related costs
MoJ,MoJ HQ,09/01/24,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST - Specialist / Professional,CTO,ALEXANDER MANN SOLUTIONS LTD,2924909,"£38,280.00",Agency staff
MoJ,MoJ HQ,09/01/24,EXP - PURCHASE OF GOODS/SERVICES - NON-PO INVOICES PENDING REALLOCATION,CTO,ALEXANDER MANN SOLUTIONS LTD,2938132,"£38,280.00",Agency staff
MoJ,MoJ HQ,23/01/24,EXP - PURCHASE OF GOODS/SERVICES - HOSTING - Hosting,Engineering,AMAZON WEB SERVICES EMEA SARL UK BRANCH,EUINGB24-12145,"£1,096,643.57",Information technology related costs
MoJ,MoJ HQ,19/01/24,EXP - PURCHASE OF GOODS/SERVICES - VEHICLE MAINTENANCE - Fleet Insurance,Fleet Management,ARTHUR J GALLAGHER INSURANCE BROKERS LTD,528205339,"£55,160.00",Insurance costs
MoJ,MoJ HQ,19/01/24,EXP - PURCHASE OF GOODS/SERVICES - VEHICLE MAINTENANCE - Fleet Insurance,Fleet Management,ARTHUR J GALLAGHER INSURANCE BROKERS LTD,528204851,"£1,620,924.13",Insurance costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Desktops,EUCS Improvements,ATOS IT SERVICES UK LTD,5584435434,"£35,066.94",Information technology related costs
MoJ,MoJ HQ,08/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584433319,"(£73,448.40)",Information technology related costs
MoJ,MoJ HQ,30/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Technology Services Tech Debt,ATOS IT SERVICES UK LTD,5584437162,"£28,099.68",Information technology related costs
MoJ,MoJ HQ,22/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584433992,"£45,169.20",Information technology related costs
MoJ,MoJ HQ,26/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - APPLICATION MAINTENANCE AND SUPPORT,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435447,"£28,314.20",Information technology related costs
MoJ,MoJ HQ,02/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks VVI,Infrastructure Services - Voice & Video,ATOS IT SERVICES UK LTD,5584433934,"£41,130.92",Information technology related costs
MoJ,MoJ HQ,12/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Laptops,Consolidated IT invoice,ATOS IT SERVICES UK LTD,0230/1223,"£84,910.06",Information technology related costs
MoJ,MoJ HQ,02/01/24,EXP - PURCHASE OF GOODS/SERVICES - NETWORKING - Networks VVI,Infrastructure Services - Voice & Video,ATOS IT SERVICES UK LTD,5584435498,"£41,130.92",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584436238,"£37,078.01",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - OTHER,Infrastructure Services - Print,ATOS IT SERVICES UK LTD,5584435489,"£27,390.22",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Laptops,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435481,"£62,138.88",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Laptops,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435479,"£71,307.00",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Laptops,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435429,"£328,288.61",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Desktops,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435436,"£74,540.95",Information technology related costs
MoJ,MoJ HQ,04/01/24,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Desktops,Infrastructure Services - EUCS,ATOS IT SERVICES UK LTD,5584435426,"£101,632.80",Information technology related costs
