Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,02/01/2024,Tribunal appellant costs,Solicitor's Office & Legal Services,UNIT4 Group Holding B.V  Johan de Wittstrad,1900438923,"45,000.00",Costs awarded against department,1111 AA,,,,
HMRC,HMRC,02/01/2024,Soft Licen Integral,CDIO - Core,TRUSTMARQUE SOLUTIONS LTD,5100057604,"1,675,656.00",Soft Licen Integral,YO41 1LZ,,,,
HMRC,HMRC,02/01/2024,Contin Labor Build,PDC Customer Strategy & Tax Design,EQUAL EXPERTS UK LTD,5100057624,"27,770.63",Software Development,AL1 5HE,,,,
HMRC,HMRC,02/01/2024,Contin Labor Run,HMRC Security,BSI CYBERSECURITY AND INFORMATION,5100057633,"38,280.00",Contin Labor Run,MK5 8PP,,,,
HMRC,HMRC,02/01/2024,Insolvency Services,Debt Management,THE INSOLVENCY SERVICE,5100057667,"-24,466.00",Insolvency Services,B4 6FD,,,,
HMRC,HMRC,02/01/2024,Insolvency Services,Debt Management,THE INSOLVENCY SERVICE,5100057667,"146,796.00",Insolvency Services,B4 6FD,,,,
HMRC,HMRC,02/01/2024,Grant in Aid Funding,Intermediaries,ADVICE NI LTD,5100057668,"27,111.70",Grant in Aid Funding,BT7 3FP,,,,
HMRC,HMRC,02/01/2024,Lifecycle Replace,Estates,OCS UK&I LIMITED,5100057677,"34,204.18",Lifecycle Replace,IP28 6LG,,,,
HMRC,HMRC,02/01/2024,PROJECT Mandays Supp,CDIO - Core,Mastek UK Ltd,5100057679,"967,048.75",PROJECT Mandays Supp,RG1 8BW,,,,
HMRC,HMRC,02/01/2024,GovDept Serv(VAT Ex),Business Assets & International Policy,FINANCIAL REPORTING COUNCIL,5100057683,"42,822.00",GovDept Serv(VAT Ex),EC2Y 5AS,,,,
HMRC,HMRC,02/01/2024,Forensic Services,Fraud Investigation Service,EUROFINS FORENSIC SERVICES LTD,5100057692,"87,721.00",Forensic Services,WV9 5GB,,,,
HMRC,HMRC,02/01/2024,Paper surveys,Knowledge Analysis & Intelligence,OFFICE FOR NATIONAL STATISTICS,5100057700,"39,048.25",Paper surveys,NP10 8XG,,,,
HMRC,HMRC,02/01/2024,Virtual Hosting,CDIO - Core,Amazon Web Services UK,5100057702,"1,567,211.66",Virtual Hosting,EC2A 2FA,,,,
HMRC,HMRC,02/01/2024,SW Lic Sup Off shlf,Fraud Investigation Service,BOXXE LTD,5100057705,"94,119.84",SW Lic Sup Off shlf,YO31 7RE,,,,
HMRC,HMRC,02/01/2024,SW Lic Sup Off shlf,CDIO - Core,COMPUTACENTER (UK) LTD,5100057707,"42,289.92",SW Lic Sup Off shlf,AL10 9TW,,,,
HMRC,HMRC,02/01/2024,PROJECT Mandays Supp,Knowledge Analysis & Intelligence,EQUAL EXPERTS UK LTD,5100057708,"73,602.00",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,02/01/2024,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,Pennant International Limited,5100057714,"24,658.50",Software Development,GL51 6TL,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,EQUAL EXPERTS UK LTD,5100057719,"111,067.20",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,03/01/2024,SW Lic Sup mngd Serv,CDIO - Core,SPECIALIST COMPUTER CTR,5100057722,"215,508.12",SW Lic Sup mngd Serv,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,Atos Holding UK 1 Ltd,5100057724,"21,558.02",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,Cons ad imp (Ir VAT),Transformation DG & Programme Office,ERNST & YOUNG LLP,5100057725,"354,336.00",Cons ad imp (Ir VAT),SE1 2AF,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,Atos Holding UK 1 Ltd,5100057726,"36,942.61",IT contractors,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,CS Learning,Transformation HMRC Change Portfolio,CSL - KPMG LLP,5100057731,"31,010.76",CS Learning,E14 5GL,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Unity Business Services,CGI IT UK LTD,5100057733,"39,378.38",Project Support Labour Hours,CF31 9AP,,,,
HMRC,HMRC,03/01/2024,Employee education,Fraud Investigation Service,CSL - KPMG LLP,5100057743,"172,985.78",Employee education,E14 5GL,,,,
HMRC,HMRC,03/01/2024,Soft Licen Integral,Transformation DG & Programme Office,SAP (UK) LTD,5100057746,"250,776.00",Soft Licen Integral,TW14 8HD,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100057749,"290,919.95",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100057749,"542,793.80",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,Consultancy – IT,CDIO - Core,FINYX CONSULTING LTD,5100057764,"82,773.33",Consultancy – IT,MK11PT,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057771,"34,812.80",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,CDIO Transformation Programmes,EQUAL EXPERTS UK LTD,5100057772,"187,922.09",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057774,"822,035.23",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,Atos Holding UK 1 Ltd,5100057778,"34,979.94",ATWD Test Service,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057782,"612,900.30",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057783,"4,379,726.38",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057784,"194,578.91",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057785,"24,256.23",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100057787,"181,356.74",Customs Declaration Service Contractor Costs,B11 2LE,,,,
HMRC,HMRC,03/01/2024,Contingent Labr-Adm,Commercial Directorate,PRICEWATERHOUSECOOPERS LLP,5100057827,"47,520.00",Contingent Labr-Adm,WC2N 6RH,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays HMRC,Commercial Directorate,Baringa Partners LLP,5100057828,"42,840.00",PROJECT Mandays HMRC,SW1E 6AJ,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100057838,"42,005.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,Atos Holding UK 1 Ltd,5100057839,"409,580.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,Counsel Fee VAT Irre,Solicitor's Office & Legal Services,ELIZABETH WILSON KC,5100057872,"38,934.00",Counsel Fees,WC1R 4EF,,,,
HMRC,HMRC,03/01/2024,SW Lic Sup Off shlf,Transformation DG & Programme Office,ARISTI LTD,5100057878,"25,096.50",SW Lic Sup Off shlf,B31 2TS,,,,
HMRC,HMRC,03/01/2024,Soft Licen Integral,CDIO - Core,COMPUTACENTER (UK) LTD,5100057881,"1,168,649.93",Soft Licen Integral,AL10 9TW,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,Atos Holding UK 1 Ltd,5100057882,"65,785.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,Atos Holding UK 1 Ltd,5100057885,"23,670.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/01/2024,Research (VAT rec),Knowledge Analysis & Intelligence,Ipsos MORI,5100057890,"30,000.00",Research Services,SE1 1FY,,,,
HMRC,HMRC,03/01/2024,Cons ad imp (Ir VAT),CDIO Transformation Programmes,Posterity Milestone Consortium,5100057892,"56,700.00",Cons ad imp (Ir VAT),FY8 4QZ,,,,
HMRC,HMRC,03/01/2024,SW Lic Sup mngd Serv,Operational Excellence & Output Mgmt,IMIMOBILE EUROPE LTD,5100057896,"10,300.59",SW Lic Sup mngd Serv,EC1M 4BH,,,,
HMRC,HMRC,03/01/2024,Landline call chrges,Operational Excellence & Output Mgmt,IMIMOBILE EUROPE LTD,5100057896,"123,790.88",Landline call chrges,EC1M 4BH,,,,
HMRC,HMRC,03/01/2024,Rent (Irrec VAT),Estates,Stratford City Car Park Limited,5100057905,"13,053.60",Rent (Irrec VAT),E14 5HP,,,,
HMRC,HMRC,03/01/2024,Rent (Irrec VAT),Estates,Stratford City Car Park Limited,5100057905,"80,186.40",Rent (Irrec VAT),E14 5HP,,,,
HMRC,HMRC,03/01/2024,Rent (Irrec VAT),Estates,Astral Towers Ltd,5100057906,"55,418.26",Rent (Irrec VAT),W1J 6ER,,,,
