query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,700044,Access To Business,"29,972.00",R4700,Grant Payments,13/07/2023,130395363,External Funding and Digital Projects,"UKSPF - Community Grants			"
INSERTED DETAIL,700220,THE Acme Facilities Group Ltd,525.00,R4010,Equipment - Catering,07/07/2023,130394624,Catering,Education Catering  General Overheads
INSERTED DETAIL,700220,THE Acme Facilities Group Ltd,70.00,R4010,Equipment - Catering,07/07/2023,130394624,Catering,Education Catering  General Overheads
INSERTED DETAIL,700220,THE Acme Facilities Group Ltd,126.00,R4010,Equipment - Catering,07/07/2023,130394624,Catering,Education Catering  General Overheads
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,355.52,R2076,Grounds Maintenance - Non Contract,20/07/2023,130390611,Environmental Services,Arbor Scheme
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),47.88,R4308,Stationery,06/07/2023,130393572,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.46,R4308,Stationery,14/07/2023,130395364,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),9.95,R4308,Stationery,14/07/2023,130395364,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),10.20,R4308,Stationery,14/07/2023,130395364,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.90,R4308,Stationery,14/07/2023,130395364,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),23.39,R4308,Stationery,05/07/2023,130394219,Specialist Support,Upper Pendeford Farm Short Breaks Centre
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),196.09,R4308,Stationery,05/07/2023,130392395,Bereavement Services,Cemeteries
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),52.49,R4308,Stationery,11/07/2023,130394934,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),29.99,R4308,Stationery,07/07/2023,130394024,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),99.98,R4308,Stationery,24/07/2023,130395977,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),13.99,R4308,Stationery,24/07/2023,130395977,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),59.90,R4308,Stationery,24/07/2023,130395977,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),39.90,R4308,Stationery,24/07/2023,130395977,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.99,R4308,Stationery,24/07/2023,130395977,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),54.99,R4308,Stationery,07/07/2023,130393571,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),20.40,R4308,Stationery,11/07/2023,130394023,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),683.74,R4308,Stationery,03/07/2023,130392394,Travel Unit,Passenger Transport  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),-186.99,R4308,Stationery,24/07/2023,130394625,Libraries,Global Budgets
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),49.98,R4308,Stationery,14/07/2023,130394933,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),16.68,R4308,Stationery,25/07/2023,130393823,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.15,R4308,Stationery,25/07/2023,130393823,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.27,R4308,Stationery,25/07/2023,130393823,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.18,R4308,Stationery,25/07/2023,130393823,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),2.54,R4308,Stationery,25/07/2023,130393823,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),4.08,R4308,Stationery,25/07/2023,130393823,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),51.87,R4308,Stationery,13/07/2023,130393013,Bereavement Services,Cemeteries
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),79.96,R4308,Stationery,03/07/2023,130390789,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.34,R4308,Stationery,03/07/2023,130390789,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.36,R4308,Stationery,03/07/2023,130390789,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),0.94,R4308,Stationery,03/07/2023,130390789,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.40,R4308,Stationery,03/07/2023,130390789,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),12.99,R4308,Stationery,03/07/2023,130390789,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),59.96,R4308,Stationery,14/07/2023,130394218,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),38.97,R4308,Stationery,17/07/2023,130395366,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),29.99,R4308,Stationery,17/07/2023,130395366,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),2.36,R4308,Stationery,17/07/2023,130395366,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),250.30,R4308,Stationery,17/07/2023,130385226,Bereavement Services,Cemeteries
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.18,R4308,Stationery,17/07/2023,130395365,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),24.99,R4308,Stationery,17/07/2023,130383795,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),58.00,R4308,Stationery,07/07/2023,130394220,Organisational Development,Newly Qualified Social Workers
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),11.97,R4308,Stationery,05/07/2023,130394221,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),139.73,R4308,Stationery,05/07/2023,130394221,Cleaning,Cleaning of Buildings  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),24.99,R4308,Stationery,25/07/2023,130394224,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),78.99,R4308,Stationery,10/07/2023,130394780,City Events,"Events - Bilston Town Hall 			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),37.98,R4308,Stationery,14/07/2023,130393569,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),225.00,R4000,Equipment - Purchase,10/07/2023,130392782,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),160.31,R4308,Stationery,10/07/2023,130394222,City Events,"Events - Bilston Town Hall 			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),79.96,R4308,Stationery,25/07/2023,130393014,Adults Assessment & Care Management North,Adult Services – North
