,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
INSERTED DETAIL,700044,Access To Business,"9,990.00",R4700,Grant Payments,16/01/2024,130414338,External Funding and Digital Projects,"UKSPF - Community Grants			"
INSERTED DETAIL,700220,THE Acme Facilities Group Ltd,"1,318.00",R4010,Equipment - Catering,15/01/2024,130410653,Catering,Education Catering  General Overheads
INSERTED DETAIL,700220,THE Acme Facilities Group Ltd,80.00,R4010,Equipment - Catering,15/01/2024,130410653,Catering,Education Catering  General Overheads
INSERTED DETAIL,700220,THE Acme Facilities Group Ltd,95.00,R4010,Equipment - Catering,15/01/2024,130410653,Catering,Education Catering  General Overheads
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"5,500.00",R2076,Grounds Maintenance - Non Contract,22/01/2024,130413279,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"7,850.00",R2076,Grounds Maintenance - Non Contract,31/01/2024,130415528,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"1,900.00",R2076,Grounds Maintenance - Non Contract,31/01/2024,130415531,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"3,300.00",R2076,Grounds Maintenance - Non Contract,24/01/2024,130412982,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"3,300.00",R2076,Grounds Maintenance - Non Contract,24/01/2024,130412983,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"5,500.00",R2076,Grounds Maintenance - Non Contract,24/01/2024,130412983,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"1,900.00",R2076,Grounds Maintenance - Non Contract,24/01/2024,130414033,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"1,750.00",R2076,Grounds Maintenance - Non Contract,24/01/2024,130414034,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"4,800.00",R2076,Grounds Maintenance - Non Contract,24/01/2024,130414035,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"4,800.00",R2076,Grounds Maintenance - Non Contract,26/01/2024,130415533,Environmental Services,Arbor Scheme
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),33.40,R4308,Stationery,19/01/2024,130414920,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),2.49,R4308,Stationery,19/01/2024,130414920,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.98,R4308,Stationery,19/01/2024,130414920,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.49,R4308,Stationery,19/01/2024,130414920,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),120.96,R4308,Stationery,02/01/2024,130411383,Adults Assessment & Care Management North,Adult Services – North
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),27.96,R4308,Stationery,30/01/2024,130415534,Catering,Meals on Wheels
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),219.14,R4308,Stationery,03/01/2024,130410363,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),99.98,R4308,Stationery,23/01/2024,130414917,Waste Services,Shaw Road Civic Amenity Site
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.99,R4308,Stationery,23/01/2024,130414917,Waste Services,Shaw Road Civic Amenity Site
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),32.99,R4308,Stationery,23/01/2024,130414918,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),149.94,R4308,Stationery,23/01/2024,130415197,Arts and Culture,Art Gallery Shop
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.70,R4308,Stationery,04/01/2024,130412270,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),2.54,R4308,Stationery,04/01/2024,130412270,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.34,R4308,Stationery,04/01/2024,130412270,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),2.30,R4308,Stationery,04/01/2024,130412270,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),19.99,R4308,Stationery,04/01/2024,130412270,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.88,R4308,Stationery,04/01/2024,130412270,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),12.70,R4308,Stationery,10/01/2024,130412640,Adult Education,"Business Support Services	"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),66.87,R4308,Stationery,05/01/2024,130412723,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),43.48,R4308,Stationery,11/01/2024,130413817,Starting and Developing Well,"Starting and Developing Well			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),41.93,R4308,Stationery,15/01/2024,130414339,Digital and IT,Digital Print Solutions
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),31.99,R4308,Stationery,15/01/2024,130372890,Arts and Culture,Art Gallery
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),132.09,R4308,Stationery,02/01/2024,130411832,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),73.82,R4308,Stationery,17/01/2024,130412722,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),189.90,R4308,Stationery,16/01/2024,130410048,City Events,"Events - Bilston Town Hall 			"
INSERTED DETAIL,700550,Actso Limited,135.00,R4701,Subscriptions,25/01/2024,130415384,Public Protection,Trading Standards
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,417.36,R4101,Provisions (Not for resale),03/01/2024,130411969,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,969.28,R4101,Provisions (Not for resale),03/01/2024,130411969,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,430.38,R4101,Provisions (Not for resale),03/01/2024,130411968,Arts and Culture,Art Gallery Tea Room
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,54.73,R4101,Provisions (Not for resale),03/01/2024,130411968,Arts and Culture,Art Gallery Tea Room
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,109.89,R4101,Provisions (Not for resale),24/01/2024,130415198,Libraries,"Know Your Neighbourhood			"
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,159.68,R4008,Materials for resale,09/01/2024,130413643,Leisure Services,Bert Williams Leisure Centre
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,433.18",R4101,Provisions (Not for resale),10/01/2024,130411966,Leisure Services,WV Active Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,304.60,R4101,Provisions (Not for resale),10/01/2024,130411966,Leisure Services,WV Active Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"4,486.09",R4101,Provisions (Not for resale),10/01/2024,130411967,Catering,Education Catering  General Overheads
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"60,526.68",R4101,Provisions (Not for resale),10/01/2024,130411967,Catering,Education Catering  General Overheads
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,345.28,R4101,Provisions (Not for resale),10/01/2024,130413818,Leisure Services,"WV Active Catering - Central	"
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,046.11",R4101,Provisions (Not for resale),12/01/2024,130413114,Catering,"West Park Tea Room	"
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,791.59,R4101,Provisions (Not for resale),12/01/2024,130413114,Catering,"West Park Tea Room	"
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,322.16,R4101,Provisions (Not for resale),02/01/2024,130411970,Catering,Civic Centre Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,681.10",R4101,Provisions (Not for resale),02/01/2024,130411970,Catering,Civic Centre Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,797.17,R4101,Provisions (Not for resale),02/01/2024,130411971,Catering,Meals on Wheels
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,191.54,R4101,Provisions (Not for resale),02/01/2024,130411971,Catering,Meals on Wheels
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,694.98,R4101,Provisions (Not for resale),02/01/2024,130411972,Catering,"West Park Tea Room	"
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,180.59",R4101,Provisions (Not for resale),02/01/2024,130411972,Catering,"West Park Tea Room	"
INSERTED DETAIL,701056,Age UK Wolverhampton,"8,557.00",R4700,Grant Payments,18/01/2024,130414831,External Funding and Digital Projects,"UKSPF - Community Grants			"
INSERTED DETAIL,701210,Air Methods Limited,119.17,R4003,Equipment - R & M,04/01/2024,191230279,Fleet Services,Fleet Management
INSERTED DETAIL,701210,Air Methods Limited,181.86,R4003,Equipment - R & M,04/01/2024,191230279,Fleet Services,Fleet Management
INSERTED DETAIL,701210,Air Methods Limited,327.78,R4003,Equipment - R & M,04/01/2024,191230279,Fleet Services,Fleet Management
INSERTED DETAIL,701210,Air Methods Limited,"7,330.14",R2001,R&M - Departmental planned (external),18/01/2024,130386895,Project and Works Team – Maintenance Programme,"Civic Centre Repairs & Maintenance	"
INSERTED DETAIL,701243,Airey Consultancy Service Limited,650.00,R4401,Services - Fees and Charges,02/01/2024,130411507,Revenues & Benefits,Revenues
INSERTED DETAIL,701382,Alarm,690.00,R4701,Subscriptions,05/01/2024,130412984,Audit Services,Risk Management & Insurance
INSERTED DETAIL,701385,Albert Jagger Limited,71.29,R4000,Equipment - Purchase,11/01/2024,191234739,Fleet Services,Fleet Management
INSERTED DETAIL,701394,Aldersley High Sch/Aldersley Acad Tr,690.00,R5001,TPP - Grants,02/01/2024,191228152,Children & Young People In Care,LAC Pupil Premium
INSERTED DETAIL,701394,Aldersley High Sch/Aldersley Acad Tr,"29,242.84",R4700,Grant Payments,02/01/2024,191228160,Central Education,High Needs Top Up Academies
INSERTED DETAIL,701394,Aldersley High Sch/Aldersley Acad Tr,"46,568.39",R4700,Grant Payments,02/01/2024,191228159,Central Education,High Needs Top Up Academies
INSERTED DETAIL,701397,Aldridge Trimming,15.00,R4000,Equipment - Purchase,08/01/2024,191232167,Fleet Services,Fleet Management
INSERTED DETAIL,701397,Aldridge Trimming,320.00,R4000,Equipment - Purchase,08/01/2024,191232167,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,"2,076.08",R3000,Petrol,04/01/2024,191230274,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,188.24,R3000,Petrol,04/01/2024,191230274,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,111.63,R3000,Petrol,04/01/2024,191230276,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,177.67,R3000,Petrol,04/01/2024,191230276,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,"1,128.18",R3000,Petrol,04/01/2024,191230276,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,49.40,R3000,Petrol,04/01/2024,191230276,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,4.00,R3000,Petrol,04/01/2024,191230276,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,25.00,R3000,Petrol,04/01/2024,191230275,Fleet Services,Fleet Management
