Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
700044,Access To Business,"9,991.00",R4700,Grant Payments,17/10/2023,130404663,External Funding and Digital Projects,"UKSPF - Community Grants			"
700264,Acorn Environmental Mgt Group Limited,"2,100.00",R2076,Grounds Maintenance - Non Contract,20/10/2023,130403921,Environmental Services,Arbor Scheme
700341,ACS Technology Group (Business Supplies),34.99,R4308,Stationery,02/10/2023,130402723,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),-2.05,R4308,Stationery,25/10/2023,130405390,Adult Education,"Business Support Services	"
700341,ACS Technology Group (Business Supplies),26.57,R4308,Stationery,25/10/2023,130403101,Register Office,Register Office
700341,ACS Technology Group (Business Supplies),149.90,C1100,Construction and Conversion,25/10/2023,130405510,,Safety Programme
700341,ACS Technology Group (Business Supplies),349.20,R4308,Stationery,26/10/2023,130405646,City Events,"ALV - Darts & Comedy			"
700341,ACS Technology Group (Business Supplies),2.05,R4308,Stationery,25/10/2023,130403100,Adult Education,"Business Support Services	"
700341,ACS Technology Group (Business Supplies),34.99,R4308,Stationery,27/10/2023,130405392,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),209.94,R4308,Stationery,27/10/2023,130405648,Adult Education,"Business Support Services	"
700341,ACS Technology Group (Business Supplies),144.12,R4308,Stationery,30/10/2023,130404548,Starting and Developing Well,"Starting and Developing Well			"
700341,ACS Technology Group (Business Supplies),23.98,R4308,Stationery,03/10/2023,130403104,Youth Offending,Youth Offending Team
700341,ACS Technology Group (Business Supplies),136.40,R4308,Stationery,05/10/2023,130402725,Adult Education,"Business Support Services	"
700341,ACS Technology Group (Business Supplies),-111.92,R4308,Stationery,05/10/2023,130403246,Licensing,Licensing  General
700341,ACS Technology Group (Business Supplies),-111.92,R4308,Stationery,05/10/2023,130403247,Licensing,Licensing  General
700341,ACS Technology Group (Business Supplies),119.94,R4308,Stationery,05/10/2023,130403105,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),39.40,R4308,Stationery,09/10/2023,130402585,Libraries,Global Budgets
700341,ACS Technology Group (Business Supplies),236.56,R4308,Stationery,06/10/2023,130402724,Adult Education,"Business Support Services	"
700341,ACS Technology Group (Business Supplies),420.00,R4000,Equipment - Purchase,12/10/2023,130403719,Cleaning,Cleaning of Buildings  General
700341,ACS Technology Group (Business Supplies),44.90,R4000,Equipment - Purchase,12/10/2023,130403720,Catering,Meals on Wheels
700341,ACS Technology Group (Business Supplies),-784.00,R4308,Stationery,12/10/2023,130403241,Waste Services,Waste Collection and Recycling Service  General
700341,ACS Technology Group (Business Supplies),19.99,R4000,Equipment - Purchase,31/10/2023,130405393,Catering,Meals on Wheels
700341,ACS Technology Group (Business Supplies),1.27,R4308,Stationery,31/10/2023,130405650,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),11.97,R4308,Stationery,31/10/2023,130405650,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),1.70,R4308,Stationery,31/10/2023,130405650,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),0.94,R4308,Stationery,31/10/2023,130405650,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),39.98,R4308,Stationery,31/10/2023,130405650,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),4.17,R4308,Stationery,31/10/2023,130405650,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),31.36,R4308,Stationery,12/10/2023,130403102,Starting and Developing Well,"Starting and Developing Well			"
700341,ACS Technology Group (Business Supplies),339.83,R4308,Stationery,12/10/2023,130403103,Strengthening Families,MASH
700341,ACS Technology Group (Business Supplies),89.98,R4308,Stationery,12/10/2023,130404286,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),46.99,R4308,Stationery,13/10/2023,130402586,Governance Services,Electoral Registration
700341,ACS Technology Group (Business Supplies),81.96,R4308,Stationery,19/10/2023,130404821,Community Financial Support,Welfare Rights
700341,ACS Technology Group (Business Supplies),134.95,R4308,Stationery,18/10/2023,130404155,Licensing,"Private Hire Drivers			"
700341,ACS Technology Group (Business Supplies),159.92,R4308,Stationery,19/10/2023,130404958,Support Services,Business Support Unit
700627,Adass,"2,609.00",R4400,Services - Professional Fees,17/10/2023,130404288,Director of Adults services and Additional Monies,Director of Adults Services
700979,Af Blakemore/Blakemore Foodservice,282.58,R4008,Materials for resale,09/10/2023,130403513,Leisure Services,Bert Williams Leisure Centre
700979,Af Blakemore/Blakemore Foodservice,250.91,R4008,Materials for resale,09/10/2023,130403514,Leisure Services,Bert Williams Leisure Centre
700979,Af Blakemore/Blakemore Foodservice,159.67,R4101,Provisions (Not for resale),09/10/2023,130403515,City Events,"Events - Bilston Town Hall 			"
700979,Af Blakemore/Blakemore Foodservice,135.05,R4101,Provisions (Not for resale),12/10/2023,130403512,Waste Services,Waste Collection and Recycling Service  General
701056,Age UK Wolverhampton,"8,558.00",R4700,Grant Payments,19/10/2023,130404959,External Funding and Digital Projects,"UKSPF - Community Grants			"
701243,Airey Consultancy Service Limited,85.00,R1650,Training Expenses,24/10/2023,130404664,Organisational Development,Workforce Development
701393,Aldersley Church Early Learning Committee,"4,133.43",R5035,TPP - Private Nursery Education Funding,03/10/2023,191194798,Early Years,Early Years Entitlement Funding for Disadvantaged 2 Year Olds
701393,Aldersley Church Early Learning Committee,"9,039.74",R5035,TPP - Private Nursery Education Funding,03/10/2023,191194851,Early Years,Early Years Universal Entitlement for 3 and 4 Year Olds
701394,Aldersley High Sch/Aldersley Acad Tr,"8,648.50",R4700,Grant Payments,18/10/2023,191201524,Central Education,High Needs Top Up Academies
701394,Aldersley High Sch/Aldersley Acad Tr,"48,029.85",R4700,Grant Payments,18/10/2023,191201456,Central Education,High Needs Top Up Academies
701405,Alfred Bagnall & Sons (Mids) Limited,"2,445.00",R2001,R&M - Departmental planned (external),11/10/2023,130403106,Project and Works Team – Maintenance Programme,Centralised R&M
701417,All Saints Action Network Limited,402.00,R4100,Catering,02/10/2023,130402914,Youth Offending,Youth Offending Team
701417,All Saints Action Network Limited,"14,288.40",R5035,TPP - Private Nursery Education Funding,03/10/2023,191194799,Early Years,Early Years Entitlement Funding for Disadvantaged 2 Year Olds
701417,All Saints Action Network Limited,"21,258.72",R5035,TPP - Private Nursery Education Funding,03/10/2023,191194852,Early Years,Early Years Universal Entitlement for 3 and 4 Year Olds
701439,Allstar Business Solutions Limited,459.72,R3000,Petrol,27/10/2023,191203989,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,348.81,R3000,Petrol,27/10/2023,191203989,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,"2,253.66",R3000,Petrol,27/10/2023,191203989,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,108.30,R3000,Petrol,27/10/2023,191203989,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,409.55,R3000,Petrol,27/10/2023,191203989,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,3.80,R3000,Petrol,27/10/2023,191203990,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,130.58,R3000,Petrol,27/10/2023,191203990,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,36.51,R3000,Petrol,27/10/2023,191203991,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,1.90,R3000,Petrol,27/10/2023,191203991,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,352.06,R3000,Petrol,27/10/2023,191203992,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,49.98,R3000,Petrol,27/10/2023,191203992,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,271.32,R3000,Petrol,27/10/2023,191203992,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,"2,067.85",R3000,Petrol,27/10/2023,191203992,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,83.60,R3000,Petrol,27/10/2023,191203992,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,78.93,R3000,Petrol,27/10/2023,191203992,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,73.33,R3000,Petrol,27/10/2023,191203993,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,291.44,R3000,Petrol,02/10/2023,191194677,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,85.50,R3000,Petrol,02/10/2023,191194677,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,134.45,R3000,Petrol,02/10/2023,191194677,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,158.96,R3000,Petrol,02/10/2023,191194677,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,"2,186.13",R3000,Petrol,02/10/2023,191194677,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,5.70,R3000,Petrol,02/10/2023,191194678,Fleet Services,Fleet Management
701439,Allstar Business Solutions Limited,124.12,R3000,Petrol,02/10/2023,191194678,Fleet Services,Fleet Management
701448,Alphatec 2000 Limited,71.40,R4003,Equipment - R & M,03/10/2023,130403107,Digital and IT,Digital Print Solutions
701448,Alphatec 2000 Limited,76.00,R4003,Equipment - R & M,03/10/2023,130403107,Digital and IT,Digital Print Solutions
701459,Alzheimer'S Society,"18,223.75",R5501,TPP - Social Care Support Services,20/10/2023,130405090,Commissioning and Transformation,Head of Strategic Commissioning
701502,Andrews Creative Services,130.00,R4612,Hospitality,27/10/2023,130405807,Governance Services,Mayoral Expenses
701534,Antalis Limited,214.25,R4007,Materials,06/10/2023,130403517,Digital and IT,Digital Print Solutions
701534,Antalis Limited,194.74,R4007,Materials,17/10/2023,130404549,Digital and IT,Digital Print Solutions
701547,Apetito Limited,-37.63,R4102,Provisions (Resale),27/10/2023,130405808,Catering,Meals on Wheels
701547,Apetito Limited,-17.22,R4102,Provisions (Resale),27/10/2023,130405809,Catering,Meals on Wheels
