Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
700044,Access To Business,"13,335.00",R4400,Services - Professional Fees,07/08/2023,130397767,Adult Education,Skills for Work
700044,Access To Business,"3,000.00",R4700,Grant Payments,11/08/2023,191177184,Ward Funds,Ward Fund - Bilston North
700044,Access To Business,"9,991.00",R4700,Grant Payments,11/08/2023,130398494,External Funding and Digital Projects,"UKSPF - Community Grants			"
700044,Access To Business,"17,250.00",R5501,TPP - Social Care Support Services,24/08/2023,130399544,Enterprise,Access to Business
700220,THE Acme Facilities Group Ltd,"1,199.00",R4010,Equipment - Catering,04/08/2023,130397092,Catering,Education Catering  General Overheads
700220,THE Acme Facilities Group Ltd,70.00,R4010,Equipment - Catering,04/08/2023,130397092,Catering,Education Catering  General Overheads
700220,THE Acme Facilities Group Ltd,95.00,R4010,Equipment - Catering,04/08/2023,130397092,Catering,Education Catering  General Overheads
700341,ACS Technology Group (Business Supplies),179.88,R4308,Stationery,15/08/2023,130397387,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),54.00,R4308,Stationery,15/08/2023,130397574,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),24.99,R4308,Stationery,30/08/2023,130398498,Customer Services,City Direct
700341,ACS Technology Group (Business Supplies),37.98,R4308,Stationery,30/08/2023,130398498,Customer Services,City Direct
700341,ACS Technology Group (Business Supplies),81.98,R4308,Stationery,22/08/2023,130399066,Governance Services,Electoral Registration
700341,ACS Technology Group (Business Supplies),58.10,R4308,Stationery,22/08/2023,130398090,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),52.98,R4308,Stationery,22/08/2023,130397570,Strengthening Families,EI Area 7 - Low Hill
700341,ACS Technology Group (Business Supplies),44.55,R4308,Stationery,22/08/2023,130398089,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),171.48,R4308,Stationery,22/08/2023,130398382,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),195.92,R4308,Stationery,24/08/2023,130399470,Licensing,Licensing - Licensing Act 2003
700341,ACS Technology Group (Business Supplies),45.98,R4308,Stationery,24/08/2023,130399469,Community Financial Support,Macmillan Welfare Rights Service
700341,ACS Technology Group (Business Supplies),29.98,R4308,Stationery,24/08/2023,130399155,Libraries,Global Budgets
700341,ACS Technology Group (Business Supplies),59.62,R4308,Stationery,24/08/2023,130399153,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),39.99,R4308,Stationery,24/08/2023,130399154,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),39.98,R4308,Stationery,24/08/2023,130399547,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),16.68,R4308,Stationery,24/08/2023,130399547,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),2.54,R4308,Stationery,24/08/2023,130399547,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),30.60,R4308,Stationery,24/08/2023,130399546,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),58.90,R4308,Stationery,25/08/2023,130399548,Libraries,Global Budgets
700341,ACS Technology Group (Business Supplies),2.10,R4308,Stationery,25/08/2023,130397022,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),104.93,R4308,Stationery,02/08/2023,130397384,Inclusion Support,Educational Psychology Service
700341,ACS Technology Group (Business Supplies),104.93,R4308,Stationery,02/08/2023,130397385,Inclusion Support,Educational Psychology Service
700341,ACS Technology Group (Business Supplies),89.99,R4308,Stationery,02/08/2023,130397388,Bereavement Services,Cemeteries
700341,ACS Technology Group (Business Supplies),77.98,R4308,Stationery,04/08/2023,130397572,Libraries,Global Budgets
700341,ACS Technology Group (Business Supplies),103.28,R4308,Stationery,08/08/2023,130397568,Libraries,Blakenhall Community & Healthy Living Centre
700341,ACS Technology Group (Business Supplies),4.10,R4308,Stationery,08/08/2023,130397569,Libraries,Blakenhall Community & Healthy Living Centre
700341,ACS Technology Group (Business Supplies),10.20,R4308,Stationery,08/08/2023,130396661,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),19.95,R4308,Stationery,08/08/2023,130396661,Support Services,Business Support Unit
700341,ACS Technology Group (Business Supplies),56.97,R4308,Stationery,14/08/2023,130398499,Register Office,Register Office
700341,ACS Technology Group (Business Supplies),147.92,R4308,Stationery,16/08/2023,130398807,Arts and Culture,Art Gallery
700341,ACS Technology Group (Business Supplies),4.99,R4308,Stationery,21/08/2023,130399064,Community Financial Support,Welfare Rights
700341,ACS Technology Group (Business Supplies),5.99,R4308,Stationery,21/08/2023,130399064,Community Financial Support,Welfare Rights
700341,ACS Technology Group (Business Supplies),39.98,R4308,Stationery,21/08/2023,130399065,Community Financial Support,Financial Assessments
700341,ACS Technology Group (Business Supplies),18.99,R4308,Stationery,21/08/2023,130399064,Community Financial Support,Welfare Rights
700341,ACS Technology Group (Business Supplies),12.99,R4308,Stationery,21/08/2023,130399064,Community Financial Support,Welfare Rights
700341,ACS Technology Group (Business Supplies),9.99,R4308,Stationery,21/08/2023,130399064,Community Financial Support,Welfare Rights
700341,ACS Technology Group (Business Supplies),56.97,R4308,Stationery,14/08/2023,130398497,Support Services,Business Support Unit
700979,Af Blakemore/Blakemore Foodservice,146.34,R4101,Provisions (Not for resale),16/08/2023,130398091,City Events,"Events - Bilston Town Hall 			"
700979,Af Blakemore/Blakemore Foodservice,"2,227.28",R4101,Provisions (Not for resale),21/08/2023,130399068,Leisure Services,WV Active Catering
700979,Af Blakemore/Blakemore Foodservice,162.05,R4008,Materials for resale,23/08/2023,130398094,Leisure Services,Bert Williams Leisure Centre
700979,Af Blakemore/Blakemore Foodservice,132.68,R4101,Provisions (Not for resale),24/08/2023,130399549,City Events,"Events - Bilston Town Hall 			"
700979,Af Blakemore/Blakemore Foodservice,275.13,R4101,Provisions (Not for resale),25/08/2023,130399551,City Events,"Events - Bilston Town Hall 			"
700979,Af Blakemore/Blakemore Foodservice,11.98,R4101,Provisions (Not for resale),25/08/2023,130399551,City Events,"Events - Bilston Town Hall 			"
700979,Af Blakemore/Blakemore Foodservice,71.95,R4101,Provisions (Not for resale),25/08/2023,130399552,City Events,"Events - Bilston Town Hall 			"
700979,Af Blakemore/Blakemore Foodservice,225.70,R4101,Provisions (Not for resale),25/08/2023,130399553,City Events,"Events - Bilston Town Hall 			"
