Organisation Name,Organisation Code,Unique Ref No ,Effective Date,Directorate where expenditure incurred, Supplier Name ,Payment Date,Net amount,Purpose of Spend,"Procurement Classification
(Higher Level)","Procurement Classification
(Lower Level)",CAPITAL / REVEUNE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5560,31.07.2023,ADULT SOCIAL CARE,NATIONWIDE CARE SERVICES LTD (ERDINGTON),26/07/2023,"1,260.00",6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5561,31.07.2023,ADULT SOCIAL CARE,NATIONWIDE CARE SERVICES LTD (ERDINGTON),26/07/2023,882,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5562,31.07.2023,ADULT SOCIAL CARE,NATIONWIDE CARE SERVICES LTD (ERDINGTON),26/07/2023,"1,431.00",6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5563,31.07.2023,"ECONOMY, ENVIRONMENT & COMMUNITIES",NATIONWIDE PLATFORMS LIMITED,26/07/2023,"2,028.00","6410-Leasing, Hire & Rental of Equipment",SUPPLIES & SERVICES,EQUIPMENT FURNITURE & MATERIALS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5564,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"2,819.08",6541-Nursing EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5565,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"2,705.36",6541-Nursing,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5566,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"3,295.72",6541-Nursing,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5567,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"3,049.12",6541-Nursing,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5568,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"3,312.12",6541-Nursing EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5569,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"3,150.20",6541-Nursing EMI,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5570,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,883.24,6541-Nursing,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5571,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"3,119.64",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5572,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"11,382.12",6541-Nursing,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5573,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"2,505.36",6541-Nursing,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5574,31.07.2023,ADULT SOCIAL CARE,NAVIGATION CARE LTD,04/07/2023,"2,763.80",6541-Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
