FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
LIST,Blackpool Council,Curo Care - Delaheys Care Home,007275,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,567261I,1006747007275567261I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,014854,1006747,8/03/2024,"4,417.10",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,570855I,1006747014854570855I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,022229,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,574674I,1006747022229574674I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,030383,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,578837I,1006747030383578837I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,038879,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,582851I,1006747038879582851I
LIST,Blackpool Council,Tmr Executive Agency Ltd,042693,1001190,18/03/2024,319.13,53.19,Registration Of Electors,61053,63401,General Services,Governance & Partnerships - 1,DEMTOT,BG,Electoral Services - 3,BG2,Electoral Services - 5,SI-187748,1001190042693SI-187748
LIST,Blackpool Council,Tmr Executive Agency Ltd,042694,1001190,18/03/2024,319.13,53.19,Registration Of Electors,61053,63401,General Services,Governance & Partnerships - 1,DEMTOT,BG,Electoral Services - 3,BG2,Electoral Services - 5,SI-187747,1001190042694SI-187747
LIST,Blackpool Council,Tmr Executive Agency Ltd,042695,1001190,18/03/2024,319.13,53.19,Registration Of Electors,61053,63401,General Services,Governance & Partnerships - 1,DEMTOT,BG,Electoral Services - 3,BG2,Electoral Services - 5,SI-187425,1001190042695SI-187425
LIST,Blackpool Council,Curo Care - Delaheys Care Home,048310,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,586872I,1006747048310586872I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,056212,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,590964I,1006747056212590964I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,064186,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,595015I,1006747064186595015I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,074036,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,599196I,1006747074036599196I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,082144,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,602857I,1006747082144602857I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,090329,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,607239I,1006747090329607239I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,097977,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,612209I,1006747097977612209I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,107578,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,616597I,1006747107578616597I
LIST,Blackpool Council,REDACTED PERSONAL DATA,112083,1007661,21/03/2024,500.00,0.00,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,UKRAINIAN SPONSOR PAYMENT,1007661112083UKRAINIAN SPONSOR PAYMENT
LIST,Blackpool Council,Curo Care - Delaheys Care Home,115484,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,621180I,1006747115484621180I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,125711,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,625686I,1006747125711625686I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,133115,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,628776I,1006747133115628776I
LIST,Blackpool Council,Homeless Action,139354,1000747,13/03/2024,881.40,0.00,Prevention Fund,64016,62001,Purchases,Chief Executive - 1,CEXTOT,HOPTION,Housing Options - 3,HOPTION2,Housing Options - 5,001 SWEP,1000747139354001 SWEP
LIST,Blackpool Council,Curo Care - Delaheys Care Home,142663,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,633309I,1006747142663633309I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,150583,1006747,8/03/2024,"3,132.28",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,637776I,1006747150583637776I
LIST,Blackpool Council,Travis Perkins Trading Company Limited,154212,1000056,25/03/2024,"1,634.01",272.34,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,6938 AAE862,10000561542126938 AAE862
LIST,Blackpool Council,Bambers Remedial Contractors Limited,164162,1000516,22/03/2024,"5,096.70",849.45,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,19609,100051616416219609
LIST,Blackpool Council,Curo Care - Delaheys Care Home,165273,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,644654I,1006747165273644654I
LIST,Blackpool Council,Curo Care - Delaheys Care Home,173451,1006747,8/03/2024,"1,566.14",0.00,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,647927I,1006747173451647927I
LIST,Blackpool Council,Travis Perkins Trading Company Limited,175651,1000056,4/03/2024,630.72,105.12,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,2774 AFS868,10000561756512774 AFS868
LIST,Blackpool Council,D G Servicing Limited,176050,1002015,7/03/2024,"6,178.57","1,029.76",,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,SI-2327,1002015176050SI-2327
LIST,Blackpool Council,North Star Environmental Ltd,177399,1002631,1/03/2024,540.00,90.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-30555,1002631177399INV-30555
LIST,Blackpool Council,North Star Environmental Ltd,177401,1002631,1/03/2024,"3,408.00",568.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-30556,1002631177401INV-30556
LIST,Blackpool Council,Wrps Ltd,177415,1003665,4/03/2024,953.84,158.97,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14928,100366517741514928
LIST,Blackpool Council,Travis Perkins Trading Company Limited,177418,1000056,4/03/2024,307.87,51.31,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,2774 AFS867,10000561774182774 AFS867
LIST,Blackpool Council,Wrps Ltd,177420,1003665,4/03/2024,"1,090.37",181.73,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14926,100366517742014926
LIST,Blackpool Council,Wrps Ltd,177423,1003665,4/03/2024,997.08,166.18,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14924,100366517742314924
LIST,Blackpool Council,Wrps Ltd,177425,1003665,4/03/2024,969.22,161.54,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,14922,100366517742514922
