Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,12/10/2023,2200349429,"243,099.18",,Fees,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,09/11/2023,2200354898,"255,853.33",,Fees,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,12/12/2023,2200361860,"218,652.15",,Fees,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,03/10/2023,2200347420,736.00,,Legal Costs,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,06/10/2023,2200348231,"2,818.50",,Legal Costs,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,13/11/2023,2200355522,"17,761.00",,Legal Costs,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,13/11/2023,2200355523,"14,399.50",,Legal Costs,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,13/11/2023,2200355526,776.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,15/12/2023,2200362693,"39,177.42",,Legal Costs,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,20/10/2023,2200350650,"10,430.41",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,13/11/2023,2200355679,"10,430.41",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Sands Catering Ltd ,1231311,,,,22/12/2023,2200364222,649.00,,Creditors Control : AP GRIR,,,,,,0,,,,
