Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Medequip Assistive Technology Ltd ,1234994,,,,18/09/2023,2200344451,"£4,266.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Medequip Assistive Technology Ltd ,1234994,,,,18/09/2023,2200344452,"£4,478.84",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Medequip Assistive Technology Ltd ,1234994,,,,28/09/2023,2200346616,"£11,330.38",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,11/07/2023,2200331431,"£126,873.90",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,04/08/2023,2200336347,"£7,216.73",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,04/09/2023,2200341465,"£144,417.81",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,21/09/2023,2200345218,"£196,807.30",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,14/07/2023,2200332227,£982.00,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,14/07/2023,2200332355,"£7,911.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,14/07/2023,2200332356,"£15,221.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,14/07/2023,2200332357,"£34,748.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,27/07/2023,2200334643,"£97,147.50",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,03/08/2023,2200336232,"£7,006.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,04/08/2023,2200336341,"£1,849.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,16/08/2023,2200338546,£982.00,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,17/08/2023,2200338843,£732.50,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,12/09/2023,2200343046,"£6,430.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,27/09/2023,2200346459,"£4,860.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,13/09/2023,2200343254,"£16,087.80",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,13/09/2023,2200343255,"£1,908.46",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,14/09/2023,2200343821,"£2,691.79",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,24/07/2023,2200333786,"£8,520.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,24/07/2023,2200333852,£856.00,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,25/08/2023,2200340153,£908.00,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,26/09/2023,2200346137,£972.00,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Just Checking Ltd,1260471,,,,23/09/2023,2200345696,"£6,294.30",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,05/07/2023,2200330119,"£3,307.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,24/08/2023,2200340027,"£2,940.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,07/09/2023,2200342193,"£3,675.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,30/08/2023,2200340647,"£5,416.83",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,13/09/2023,2200343256,"£5,845.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Response Ltd ,1235587,,,,24/08/2023,2200340058,"£12,374.70",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,05/07/2023,2200330037,"£3,000.00",,Recruitment Advertising,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,12/07/2023,2200331848,"£3,000.00",,Recruitment Advertising,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,27/07/2023,2200334588,"£6,000.00",,Recruitment Advertising,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,BRG Interim Solutions Limited,1301334,,,,09/08/2023,2200337374,"£2,400.00",,Hired and Contracted Services,,,,,,No
